Original,Perturbed,Is_Equivalent
+-73.74/1.211^-84.57/-91.24+-32.842*-^*93.08*71.43+-38.61/86.25--29.67-12.58+-38.61,+-73.74/1.211^-84.57/-91.24+-32.842*-^*93.08*71.43+-38.61/86.25--29.67-12.58+-38.61,False
2^--12.96--96.16+-83.87--6.08*-20.462^--59.41+-70.85/-33.47-37.25///--75.14-52.62+-67.75,2^--12.96--96.16+-83.87--6.08*-20.462^--59.41+-70.85/-33.47-37.25///--75.14-52.62+-67.75,False
*-83.37*-92.17/+-94.0*-91.88+65.71/85.85+52.06/-58.29/**18.442^+8.0940.33/+37.68,*-83.37*-92.17/+-94.0*-91.88+65.71/85.85+52.06/-58.29/**18.442^+8.0940.33/+37.68,True
+63.1*95.48/39.56/81.91*78.2-63.22+-47.96/-10.8/77.22^+73.54*72.13*39.61*-25.79-58.19,+63.1*95.48/39.56/81.91*78.2-63.22+-47.96/-10.8/77.22^+73.54*72.13*39.61*-25.79-58.19,True
-10.64/-78.73*93.711^+63.63-24.38+-65.7*-36.49-5.17-51.12--32.49*-38.49--43.11-43.3754.38,-10.64/-78.73*93.711^+63.63-24.38+-65.7*-36.49-5.17-51.12--32.49*-38.49--43.11-43.3754.38,True
1^-94.37+/-93.25*--67.45/31.25*96.28/41.02/0.811^--91.6549.73/-36.12--8.01*^,1^-94.37+/-93.25*--67.45/31.25*96.28/41.02/0.811^--91.6549.73/-36.12--8.01*^,False
*79.04--24.48/23.03*93.91^+26.32*-28.36--87.18//-34.59/99.48-16.09+-26.01+87.31/41.89,*79.04--24.48/23.03*93.91^+26.32*-28.36--87.18//-34.59/99.48-16.09+-26.01+87.31/41.89,False
2^-/-2.8-/-57.711^-31.5+29.51-8.8*/26.311^--94.81*-30.82-87.17/62.4,2^-/-2.8-/-57.711^-31.5+29.51-8.8*/26.311^--94.81*-30.82-87.17/62.4,False
/95.19+-2^--64.541^+34.792^+-2^-88.28-26.84+2^-97.5249.91--9.95,/95.19+-2^--64.541^+34.792^+-2^-88.28-26.84+2^-97.5249.91--9.95,True
--8.09*90.94*71.81/75.81*20.9+76.32/-36.62/-66.74*/*-90.03/82.6671.01--90.58*-75.22/51.31,--8.09*90.94*71.81/75.81*20.9+76.32/-36.62/-66.74*/*-90.03/82.6671.01--90.58*-75.22/51.31,False
-^/66.75/-32.35*97.49/85.04*-10.121^/96.86/-99.31*84.63/81.662.0/+-22.2254.51+-76.93,-^/66.75/-32.35*97.49/85.04*-10.121^/96.86/-99.31*84.63/81.662.0/+-22.2254.51+-76.93,False
