Original,Perturbed,Is_Equivalent
-1722/94--77-43/-96--784-30*+-3*-,-1722/94--77-43/-96--784-30*+-3*-,True
341^-1190*-74*-4*282^-93+23-,341^-1190*-74*-4*282^-93+23-,True
686*-35+-53--44--87^-76-47-4783/-,686*-35+-53--44--87^-76-47-4783/-,True
501^-2171/^17-58-936/29*80*+,501^-2171/^17-58-936/29*80*+,False
482^-6787-15+74--231^--94+65-/+,482^-6787-15+74--231^--94+65-/+,True
10-87*991^*42+-701^-6936*+70+,10-87*991^*42+-701^-6936*+70+,False
-7372711^958*-32-801^67-*--/-,-7372711^958*-32-801^67-*--/-,False
59-422^^--2-822+/+-13+-60-37-+,59-422^^--2-822+/+-13+-60-37-+,False
-1583/7*-542^--8981/-27*+61^-,-1583/7*-542^--8981/-27*+61^-,False
-4641/5-32-39*71/--57-61*-1/+39-,-4641/5-32-39*71/--57-61*-1/+39-,False
67-69--401^+69-561-*--37-13*-98+-,67-69--401^+69-561-*--37-13*-98+-,False
-2738+2^95241^/+4671+541^--,-2738+2^95241^/+4671+541^--,False
-86-12/891^*80^45--47-821^*+14+,-86-12/891^*80^45--47-821^*+14+,True
-592^99271^--8926*94/-63/+-64-/,-592^99271^--8926*94/-63/+-64-/,True
95-11--50+8425/16*+11+55+-293*-,95-11--50+8425/16*+11+55+-293*-,False
-100-562/+35-521^*+-41--39+9737*-,-100-562/+35-521^*+-41--39+9737*-,False
681^78-69^*42-78-42*--55-43--9+--,681^78-69^*42-78-42*--55-43--9+--,True
-331+-12--375/+-2+23-902^/76+-,-331+-12--375/+-2+23-902^/76+-,False
5772^10-622^*+-54-40-9+-15+/,5772^10-622^*+-54-40-9+-15+/,False
593671*+86--6051*+-131^41-25*--,593671*+86--6051*+-131^41-25*--,False
-53-23-17-45*72+66--70-11/-8976*+*+,-53-23-17-45*72+66--70-11/-8976*+*+,True
204*-22^/-95542^/--921^+-94-,204*-22^/-95542^/--921^+-94-,False
501-1*+72-502^+66-76-501^+/+,501-1*+72-502^+66-76-501^+/+,False
-137/99--5312-23+32/*-96*+-921^+,-137/99--5312-23+32/*-96*+-921^+,False
91611^-981^+194/-47/+-31-86/-/,91611^-981^+194/-47/+-31-86/-/,False
-19-95^212^--8431^+-9374*46*++,-19-95^212^--8431^+-9374*46*++,True
-8713*41-24+66/66/--661^-63-80*+,-8713*41-24+66/66/--661^-63-80*+,False
-8780--86--491^+8461^-9399/--,-8780--86--491^+8461^-9399/--,False
-13-15-4/-79+10*82*3*-9+51-14+,-13-15-4/-79+10*82*3*-9+51-14+,True
-6-6-66+-282^+-61392/*--50-97++,-6-6-66+-282^+-61392/*--50-97++,True
-61-60^-1--97-48/-52/30/91*55*-6/-,-61-60^-1--97-48/-52/30/91*55*-6/-,False
5250*-9749/53*30/75/-33/-34*-25*+,5250*-9749/53*30/75/-33/-34*-25*+,False
-9934-31*89-34-96+-8+892^--78-/++,-9934-31*89-34-96+-8+892^--78-/++,True
-50-65-1/+-4115/-97*-242^*--301^-,-50-65-1/+-4115/-97*-242^*--301^-,True
-832^13*59261^-22-49*+-82+24-/-,-832^13*59261^-22-49*+-82+24-/-,True
