Original,Perturbed,Is_Equivalent
-0.56+0.04*0.265.48+5.75,-0.56+0.04*0.265.48+5.75,False
/0.23-1.42*5.56-3.555.16,/0.23-1.42*5.56-3.555.16,True
+6.59*8.14-6.788.26+3.06,+6.59*8.14-6.788.26+3.06,False
/*+6.7*4.04-+1.22,/*+6.7*4.04-+1.22,False
-4.01+5.48-6.47/6.695.1,-4.01+5.48-6.47/6.695.1,False
+3.94-4.04+1.643.48*7.6,+3.94-4.04+1.643.48*7.6,True
+3.59+6.566.78/+3.22/,+3.59+6.566.78/+3.22/,False
+8.07*1.66*8.99//2.03,+8.07*1.66*8.99//2.03,False
*4.8-4.08-9.828.04++,*4.8-4.08-9.828.04++,True
/1.93+3.82/0.93*6.079.24,/1.93+3.82/0.93*6.079.24,False
-6.71*+/8.433.44+0.91,-6.71*+/8.433.44+0.91,True
*1.72*3.22//*6.88.1,*1.72*3.22//*6.88.1,False
-*9.87/5.37-4.182.54/,-*9.87/5.37-4.182.54/,True
---3.226.79/+*9.61,---3.226.79/+*9.61,False
*6.65-2.53/3.065.83+0.38,*6.65-2.53/3.065.83+0.38,False
/3.69-0.093.38+6.32+7.34,/3.69-0.093.38+6.32+7.34,True
/9.46+6.13*9.11+-6.02,/9.46+6.13*9.11+-6.02,True
+4.58/2.42*+4.14*1.43,+4.58/2.42*+4.14*1.43,False
/2.07-1.83/4.07*8.118.66,/2.07-1.83/4.07*8.118.66,True
/7.45+9.7-0.38.45/4.32,/7.45+9.7-0.38.45/4.32,True
-1.69--/3.646.15+4.6,-1.69--/3.646.15+4.6,False
+6.34*9.73/7.285.59*2.38,+6.34*9.73/7.285.59*2.38,False
/9.73+-1.92-1.33/4.67,/9.73+-1.92-1.33/4.67,False
/8.77-9.75-4.57/9.075.19,/8.77-9.75-4.57/9.075.19,True
-*-5.53-8.14-5.287.98,-*-5.53-8.14-5.287.98,False
+0.69-0.68/4.37+-8.34,+0.69-0.68/4.37+-8.34,False
-+-2.86/1.92.65/-,-+-2.86/1.92.65/-,False
---1.6+3.7/2.165.68,---1.6+3.7/2.165.68,False
/2.14-1.47/9.26-5.644.94,/2.14-1.47/9.26-5.644.94,True
/0.68*5.97*1.44+8.712.94,/0.68*5.97*1.44+8.712.94,False
*0.21-5.08/8.85*8.533.66,*0.21-5.08/8.85*8.533.66,True
*8.7*9.7++*5.930.91,*8.7*9.7++*5.930.91,False
-7.11-4.737.28//7.451.69,-7.11-4.737.28//7.451.69,False
/8.04+-/2.79-/9.76,/8.04+-/2.79-/9.76,False
-8.82*8.8+0.44-/7.73,-8.82*8.8+0.44-/7.73,True
/5.5-4.14*7.8-4.339.58,/5.5-4.14*7.8-4.339.58,True
*3.79+/-8.964.93*6.66,*3.79+/-8.964.93*6.66,False
/9.68+4.834.42/4.38+3.39,/9.68+4.834.42/4.38+3.39,True
+7.98--+2.65-3.697.64,+7.98--+2.65-3.697.64,True
+8.64-5.5*1.86/7.270.97,+8.64-5.5*1.86/7.270.97,True
-9.68/5.93/7.42+8.427.33,-9.68/5.93/7.42+8.427.33,True
+5.44+2.16+4.07+5.640.5,+5.44+2.16+4.07+5.640.5,True
/0.83/3.43*2.391.87-2.46,/0.83/3.43*2.391.87-2.46,False
*6.6/**+8.31/3.66,*6.6/**+8.31/3.66,False
-/-7.16/6.08-9.424.84,-/-7.16/6.08-9.424.84,False
*3.65+0.79.18-0.89/3.08,*3.65+0.79.18-0.89/3.08,True
*-9.08--+1.73*8.62,*-9.08--+1.73*8.62,False
+2.18+8.85-4.34*6.23/,+2.18+8.85-4.34*6.23/,False
-9.72+/*0.7-2.668.05,-9.72+/*0.7-2.668.05,False
++*--++3.437.92,++*--++3.437.92,False
+9.14/2.89/0.82--0.1,+9.14/2.89/0.82--0.1,False
+8.23/2.87*8.160.61/0.96,+8.23/2.87*8.160.61/0.96,True
-3.27.32-3.37+2.28**,-3.27.32-3.37+2.28**,False
-0.57/9.8*1.115.01-5.24,-0.57/9.8*1.115.01-5.24,True
*+2.21-/7.47-2.0*,*+2.21-/7.47-2.0*,False
*8.01+4.73*--4.414.28,*8.01+4.73*--4.414.28,True
*6.27-6.09-8.24-5.872.0,*6.27-6.09-8.24-5.872.0,True
-9.71*6.43*8.68-++,-9.71*6.43*8.68-++,False
+9.99-8.88-7.944.7+0.7,+9.99-8.88-7.944.7+0.7,True
+5.48/6.19++9.42*3.03,+5.48/6.19++9.42*3.03,False
+1.25/2.82*3.13**1.43,+1.25/2.82*3.13**1.43,True
/4.53+3.73/9.8*7.315.49,/4.53+3.73/9.8*7.315.49,True
*0.67/3.04+9.31/1.64.05,*0.67/3.04+9.31/1.64.05,True
/6.89/6.99+7.350.77+7.33,/6.89/6.99+7.350.77+7.33,False
*2.53+6.68-0.32*3.122.71,*2.53+6.68-0.32*3.122.71,False
*-/3.48+0.81+6.728.49,*-/3.48+0.81+6.728.49,True
-1.22+0.82/2.416.33+-,-1.22+0.82/2.416.33+-,True
-2.27+0.06*0.276.84*4.28,-2.27+0.06*0.276.84*4.28,False
*3.15-2.55*6.44+/1.08,*3.15-2.55*6.44+/1.08,True
*4.11+4.12*/9.89/3.72,*4.11+4.12*/9.89/3.72,True
/5.18+4.72+6.29++3.21,/5.18+4.72+6.29++3.21,True
/6.47*0.458.26+0.54+4.89,/6.47*0.458.26+0.54+4.89,True
-2.44*1.13-8.03/6.36+,-2.44*1.13-8.03/6.36+,True
*7.76-9.6+8.213.65*0.86,*7.76-9.6+8.213.65*0.86,True
*9.1/9.48/8.32*8.474.62,*9.1/9.48/8.32*8.474.62,True
*2.96*7.44+2.08*-6.23,*2.96*7.44+2.08*-6.23,False
-4.62*7.03-6.52++3.61,-4.62*7.03-6.52++3.61,True
-3.84*1.2/5.165.68/+,-3.84*1.2/5.165.68/+,True
+9.44-7.891.89/9.63-7.83,+9.44-7.891.89/9.63-7.83,True
*0.05-4.8/*0.23/7.61,*0.05-4.8/*0.23/7.61,True
+6.55*8.88.931.9/*2.87,+6.55*8.88.931.9/*2.87,True
/9.18-++/*0.326.17,/9.18-++/*0.326.17,False
+1.99/5.47*8.74/3.998.39,+1.99/5.47*8.74/3.998.39,True
*4.398.55-+8.9*5.77/,*4.398.55-+8.9*5.77/,False
+4.19-5.18+--2.06+,+4.19-5.18+--2.06+,True
*1.48+/-4.231.02+-,*1.48+/-4.231.02+-,False
*+**-4.537.99+2.53,*+**-4.537.99+2.53,False
+3.6/1.77-7.52/4.582.92,+3.6/1.77-7.52/4.582.92,True
/8.66/6.81-0.38*0.07/,/8.66/6.81-0.38*0.07/,True
*0.91*4.84/4.05-4.827.25,*0.91*4.84/4.05-4.827.25,True
*7.07-7.65+3.94*1.041.73,*7.07-7.65+3.94*1.041.73,False
/7.46*4.26-4.18+6.590.21,/7.46*4.26-4.18+6.590.21,True
/6.64+0.37+5.211.85*2.56,/6.64+0.37+5.211.85*2.56,True
/8.86+7.77/0.42*-7.54,/8.86+7.77/0.42*-7.54,True
*6.68-6.38/8.76/8.891.62,*6.68-6.38/8.76/8.891.62,True
/8.16/1.52*6.49+7.853.61,/8.16/1.52*6.49+7.853.61,False
*-*9.87*/+6.765.13,*-*9.87*/+6.765.13,True
+/+1.6-8.03/3.121.43,+/+1.6-8.03/3.121.43,False
-*+2.87/0.9+8.542.88,-*+2.87/0.9+8.542.88,False
+1.834.63--0.96+3.512.01,+1.834.63--0.96+3.512.01,True
+5.61*3.4-9.5/3.548.83,+5.61*3.4-9.5/3.548.83,True
*6.55/*/4.66*3.792.06,*6.55/*/4.66*3.792.06,True
*/*0.52+6.83-*9.26,*/*0.52+6.83-*9.26,False
/5.86/*+9.87**1.65,/5.86/*+9.87**1.65,True
/9.55*-*6.82/3.161.42,/9.55*-*6.82/3.161.42,True
/0.53*7.44*5.32-7.957.0,/0.53*7.44*5.32-7.957.0,False
