Original,Perturbed,Is_Equivalent
305315/87/83/-,305315/87/83/-,True
1284+47+6874/+,1284+47+6874/+,True
1447/54+9110*-,1447/54+9110*-,True
7490-76*5670*-,7490-76*5670*-,True
6844-52-14+79+,6844-52-14+79+,False
3028401267++/+,3028401267++/+,True
4833/11+90+80-,4833/11+90+80-,False
66763115*54/-*,66763115*54/-*,False
11342/10+-33-,11342/10+-33-,False
9247/6248-77+/,9247/6248-77+/,False
8536-3136+83-+,8536-3136+83-+,False
3227/7597/76*+,3227/7597/76*+,False
330/93*6065*/,330/93*6065*/,True
5472044-52--+,5472044-52--+,False
3875/34+2415/+,3875/34+2415/+,False
53938945/52*/-,53938945/52*/-,False
24244*+1645/+,24244*+1645/+,True
9836110/-85*+,9836110/-85*+,True
9844+9611/59/+,9844+9611/59/+,True
3018/1436/94--,3018/1436/94--,True
1257/81-737//,1257/81-737//,False
302157*/31/46/,302157*/31/46/,True
6988/65/1684*-,6988/65/1684*-,False
2825/45127+**,2825/45127+**,True
8818-6016/25*+,8818-6016/25*+,False
8758*25/85+47/,8758*25/85+47/,True
3340-61-59-34-,3340-61-59-34-,False
273*5824*43*+,273*5824*43*+,False
356732*14*-13+,356732*14*-13+,True
5096+75-28-13+,5096+75-28-13+,True
963633*+45+30+,963633*+45+30+,False
499+75+42+35-,499+75+42+35-,True
58126179/48*--,58126179/48*--,True
8366*76/4191*-,8366*76/4191*-,True
983462*4177+/+,983462*4177+/+,True
606818*8628+/+,606818*8628+/+,True
79/85/6349**,79/85/6349**,True
29278++92-58+,29278++92-58+,True
3528/96/50/82/,3528/96/50/82/,False
5540*2-3454/-,5540*2-3454/-,False
9483*32*7876/+,9483*32*7876/+,False
9825*38/4367*+,9825*38/4367*+,False
5915*87+5415*-,5915*87+5415*-,False
1599*10/48-36-,1599*10/48-36-,True
2183/535*89/+,2183/535*89/+,False
1671843*13*++,1671843*13*++,True
9997*3167//16-,9997*3167//16-,True
3955*36*5*74+,3955*36*5*74+,True
169567-58+28-+,169567-58+28-+,False
1946/63+12+86+,1946/63+12+86+,True
5547/32+2944*-,5547/32+2944*-,False
519-31+9-77*,519-31+9-77*,False
9594+8764/-77+,9594+8764/-77+,True
1636*2478++39-,1636*2478++39-,False
403775/41+68*-,403775/41+68*-,False
7068/14-85-12-,7068/14-85-12-,False
30943*51/-55-,30943*51/-55-,False
7343-1649+78--,7343-1649+78--,True
964/939762*++,964/939762*++,True
2145/63-69-39/,2145/63-69-39/,False
454758/2995-/+,454758/2995-/+,True
5145-19+35+57+,5145-19+35+57+,True
2612/9744-42+-,2612/9744-42+-,True
4990-73+6828/-,4990-73+6828/-,False
1858*97/30/99+,1858*97/30/99+,False
931192*533*+-,931192*533*+-,False
9913*4461+89+/,9913*4461+89+/,False
845/7/648*/,845/7/648*/,False
2324+11-8991/+,2324+11-8991/+,True
563137/-5172/-,563137/-5172/-,False
6262+15+5411/+,6262+15+5411/+,True
46832/83/85--,46832/83/85--,True
1828-46*3418*-,1828-46*3418*-,True
2395+1815*1/+,2395+1815*1/+,False
9578/14+62-34-,9578/14+62-34-,True
7521/658319/+-,7521/658319/+-,True
5449492774//-*,5449492774//-*,True
7734*342216-/+,7734*342216-/+,True
7926258+13-/-,7926258+13-/-,False
271/90-87/68/,271/90-87/68/,False
3882-4097*+88+,3882-4097*+88+,False
715*93-45*-,715*93-45*-,False
1697-47/3296+*,1697-47/3296+*,True
2879-6315/71-+,2879-6315/71-+,True
947375*+9061-+,947375*+9061-+,False
2399+82-87/80+,2399+82-87/80+,True
9853*8350/99/+,9853*8350/99/+,True
91+60/83+70-,91+60/83+70-,False
32278/-64-20-,32278/-64-20-,False
564059*8155*/-,564059*8155*/-,False
254*56+9771*-,254*56+9771*-,False
9582*85/4317-/,9582*85/4317-/,False
752874*98-64/+,752874*98-64/+,True
9310*92+78-90/,9310*92+78-90/,True
738725*31/+54+,738725*31/+54+,False
7757*29*8164*+,7757*29*8164*+,True
575/296/47*+,575/296/47*+,True
7457/44/34-92+,7457/44/34-92+,False
