Original,Perturbed,Is_Equivalent
5890/9-265*+1113*33/+58-61-6491*9/-1440/+,5890/9-265*+1113*33/+58-61-6491*9/-1440/+,False
2778/20/6-625843737371/+/17*92+12-*42/17*/-,2778/20/6-625843737371/+/17*92+12-*42/17*/-,False
408976*/88/33/64+92/8+64-73524*414*37*+--,408976*/88/33/64+92/8+64-73524*414*37*+--,True
185349*431662*+56-588*14*-46+371/+70-36-/+,185349*431662*+56-588*14*-46+371/+70-36-/+,True
236467-*7689/60*-97766390-9666*/8685/+49+//-,236467-*7689/60*-97766390-9666*/8685/+49+//-,True
9461/71/86*56/22/3+6577*+9833/4680/8-45-/-,9461/71/86*56/22/3+6577*+9833/4680/8-45-/-,True
6697*2155-/56*18*87*17/2*365422*25/-82*25*+,6697*2155-/56*18*87*17/2*365422*25/-82*25*+,False
14615/+14+6071*99/55*-3688*7/-61+71191//-,14615/+14+6071*99/55*-3688*7/-61+71191//-,False
747114/-25-6959/-37246721*-978*+8968*43*-/-,747114/-25-6959/-37246721*-978*+8968*43*-/-,False
8283/19433*-/7695/39/+1168*35/74*+372*+26+,8283/19433*-/7695/39/+1168*35/74*+372*+26+,True
864145/+9236/3233*/+9877--139061+7074/71*+*+,864145/+9236/3233*/+9877--139061+7074/71*+*+,False
76723+*11-182518*-53-44/+7045/49**288754**-,76723+*11-182518*-53-44/+7045/49**288754**-,False
195710--2-585842+89-702595*36/57*68/91/++*+,195710--2-585842+89-702595*36/57*68/91/++*+,False
556981/87*43*1/49/17+*42*48-6528/-61-33+51-,556981/87*43*1/49/17+*42*48-6528/-61-33+51-,False
451281+10-/1+618/25*92*26/41*22*64/78/36*+,451281+10-/1+618/25*92*26/41*22*64/78/36*+,True
831971*+7756*80*94/9416*20*16/7269/67*-96+/+,831971*+7756*80*94/9416*20*16/7269/67*-96+/+,False
4079/5926/-4817*-6366//8542/39/46*88/-72+37+,4079/5926/-4817*-6366//8542/39/46*88/-72+37+,False
6677*88/1519/56-*14+7211/85+7346*80/+44-*-,6677*88/1519/56-*14+7211/85+7346*80/+44-*-,False
534878*59*20/+97+2572*-2794/3378/75*2532+/--,534878*59*20/+97+2572*-2794/3378/75*2532+/--,True
7670/33-80-4374*48*+88-7140*69*48/-9634/+70-,7670/33-80-4374*48*+88-7140*69*48/-9634/+70-,False
44737/-98611256-1231*+68+629172*73-79+*-/*+,44737/-98611256-1231*+68+629172*73-79+*-/*+,True
4870/559181*4119-3870/+3729++12-76-64--96+/+,4870/559181*4119-3870/+3729++12-76-64--96+/+,False
7024*90/29824*7/-/13*966*30/+34-7943*74*+,7024*90/29824*7/-/13*966*30/+34-7943*74*+,False
7422+7269/-78+3759/89/1743/93204832-92-//**+,7422+7269/-78+3759/89/1743/93204832-92-//**+,False
6653/37/7277944872*56/-9034/-167*+92-2-//-,6653/37/7277944872*56/-9034/-167*+92-2-//-,True
8059*5436/+92*91-42+9738*28-8487*+77/-92+45-,8059*5436/+92*91-42+9738*28-8487*+77/-92+45-,False
2437/89/71/62+19+92695-1517*-60-6540*+*-13-,2437/89/71/62+19+92695-1517*-60-6540*+*-13-,False
354251-10+*7618-*1317/3326/-1743/-92-5963---,354251-10+*7618-*1317/3326/-1743/-92-5963---,False
2820*71-83-6062/43*9*985058/5773/1+/93-*++,2820*71-83-6062/43*9*985058/5773/1+/93-*++,False
316321290/+*1*24*-485592+/63+-7747*+50+79-,316321290/+*1*24*-485592+/63+-7747*+50+79-,False
431212/-9960*+7219267747*+58+13-8798*55/+*--,431212/-9960*+7219267747*+58+13-8798*55/+*--,False
754/32*38/76/46-23+5522/+41+252/7/3*7*+,754/32*38/76/46-23+5522/+41+252/7/3*7*+,True
425/99*77*5497/83/-88-1949/+27+507286+6+--,425/99*77*5497/83/-88-1949/+27+507286+6+--,False
768171/95*-73-58-962282*1448*46*-42-79+/-88-,768171/95*-73-58-962282*1448*46*-42-79+/-88-,False
718845/59/11/42-3896/9*2978*+3137+5049*-+*+,718845/59/11/42-3896/9*2978*+3137+5049*-+*+,False
8986/6834-36+47*33//8721/-7721*+323087/6*/-,8986/6834-36+47*33//8721/-7721*+323087/6*/-,False
5240+84/78+22+7451*-722/-82+23-428016/+16*-,5240+84/78+22+7451*-722/-82+23-428016/+16*-,False
321155*-6934*-70-66-8+9651/+8789-+912*-7-,321155*-6934*-70-66-8+9651/+8789-+912*-7-,True
1741*84/23*2+734134*/+9927/17/9863*614*-/-,1741*84/23*2+734134*/+9927/17/9863*614*-/-,True
6660*23512-6131-8-87/+/-193/-355/-9531-+,6660*23512-6131-8-87/+/-193/-355/-9531-+,True
369085/89304462/-18-62+952/+17-/447871**+*+,369085/89304462/-18-62+952/+17-/447871**+*+,False
916038/29/9395405437+61*76*18672411++*/+++/-,916038/29/9395405437+61*76*18672411++*/+++/-,True
2488/51+27+5053/99/+45-7512*29*7262415*+/+-,2488/51+27+5053/99/+45-7512*29*7262415*+/+-,True
2465/98-33+49-87+80+54+3040/30*2/221873/+/+,2465/98-33+49-87+80+54+3040/30*2/221873/+/+,True
7279-44-65-10961612/72-355281+959-96*-//-/+,7279-44-65-10961612/72-355281+959-96*-//-/+,False
