Original,Perturbed,Is_Equivalent
4 7 * 8 / 9 * 4 * 6 3 * 4 / 1 * 2 * +,4 1 * 8 / 9 * 4 * 6 3 * 4 / 1 * 2 * +,False
3 1 / 5 + 9 9 * - 2 1 / 3 * 7 / 9 / /,3 1 / 5 + 9 9 * - 2 1 / 3 * 7 / 9 / -,False
8 9 - 7 8 5 * + 2 2 / - 1 / + 9 + 8 -,8 9 - 7 8 5 * + 2 2 / - 1 / + 9 + 8 -,True
7 3 / 9 * 5 - 1 - 1 2 - 5 + 3 2 / + +,7 3 / 9 * 5 - 1 - 1 7 - 5 + 3 2 / + +,False
5 4 - 3 - 5 + 7 5 * + 7 8 / + 1 - 6 +,5 4 - 3 - 5 + 7 5 * + 7 8 / + 1 - 6 +,True
3 6 8 / - 2 - 6 - 2 7 4 / 5 / 3 + * -,3 6 8 / - 2 - 6 - 2 7 4 / 5 / 3 + * -,True
9 4 / 1 1 / 4 * - 8 8 / 5 / + 8 8 - +,9 4 / 1 1 / 4 * - 8 8 / 5 / + 8 8 - +,True
9 7 + 6 - 6 6 7 3 7 * + / 1 * 8 + * +,9 7 + 6 + 6 6 7 3 7 * + / 1 * 8 + * +,False
7 3 5 / 2 * - 4 + 3 6 / 9 * - 7 + 4 +,7 3 5 / 2 * - 4 + 3 6 / 9 * - 7 + 4 +,True
7 5 + 2 7 5 / 4 * 1 * 3 / 2 / 1 + - -,7 5 + 2 7 5 / 4 * 1 * 3 / 2 / 1 + / -,False
6 2 5 * * 8 + 5 / 7 3 5 * 4 6 * * + -,6 2 5 - * 8 + 5 / 7 3 5 * 4 6 * * + -,False
1 1 6 / + 7 5 / 7 / 8 * 5 - + 3 - 6 -,1 1 6 / + 7 5 / 7 / 8 * 5 * + 3 - 6 -,False
7 7 - 1 * 3 / 8 * 6 * 1 / 8 3 / 8 / -,7 7 - 1 * 3 / 8 * 6 * 1 / 8 3 / 8 / -,True
9 7 1 * - 5 9 / 5 + - 1 4 * 3 * 5 + +,9 7 1 * - 5 9 / 5 + - 1 4 * 3 * 5 * +,False
5 2 * 1 / 6 * 3 / 8 * 6 / 9 / 4 - 3 -,5 2 * 1 / 6 * 3 / 8 * 6 * 9 / 4 - 3 -,False
4 2 * 7 7 * 5 / 3 * + 5 / 5 * 7 7 / +,4 2 * 7 7 * 5 / 3 * + 5 / 5 * 7 7 / +,True
4 8 2 2 / 8 / / 8 / 6 / 7 / 5 * 3 * -,4 8 2 2 / 8 / / 8 / 6 / 7 / 5 * 3 * -,True
2 1 - 7 - 7 - 3 - 8 + 6 5 / + 6 1 - +,2 1 - 7 - 7 - 3 - 8 + 6 5 / + 6 1 - +,True
7 1 * 1 * 3 7 / 7 / - 6 9 * + 2 2 / -,7 1 * 1 * 3 7 / 7 / - 6 9 * + 2 2 / -,True
7 5 / 1 + 2 2 9 4 / 1 / 8 / + 2 - / +,7 5 * 1 + 2 2 9 4 / 1 / 8 / + 2 - / +,False
1 2 - 4 - 8 3 * - 5 - 4 3 / 3 / - 3 +,1 2 - 4 - 8 3 / - 5 - 4 3 / 3 / - 3 +,False
7 4 4 3 * 7 / 1 9 9 6 * - * 2 + * + *,7 4 4 3 * 7 / 1 9 9 6 / - * 2 + * + *,False
3 7 * 6 3 / 8 / 7 * 3 * 7 / 7 / 4 + /,3 7 * 6 3 / 8 / 7 * 3 * 7 / 7 + 4 + /,False
1 5 / 6 / 7 * 5 - 4 1 * + 4 - 3 1 * -,1 5 / 6 / 7 * 6 - 4 1 * + 4 - 3 1 * -,False
2 6 5 - 5 + 1 - 7 - 6 6 4 * 4 / / + +,2 6 5 - 5 + 1 - 7 - 6 6 4 * 4 / / + +,True
9 5 / 8 / 3 / 3 / 6 5 + * 7 9 1 - + -,9 5 / 8 / 3 / 3 / 6 5 + * 7 9 1 - + -,True
4 5 1 - * 6 * 7 * 5 6 * 7 5 * 1 + - +,4 5 1 - * 6 * 7 * 5 6 * 7 5 * 1 + - +,True
5 3 / 8 + 5 + 5 4 * 6 2 8 / 6 / - - +,5 3 / 8 + 5 + 5 4 * 6 2 8 / 6 / - + +,False
7 8 / 3 * 1 5 7 / - 1 4 / - 5 + 1 + *,7 8 / 3 * 1 5 7 / - 1 4 / - 5 + 1 + *,False
3 4 / 6 / 4 9 / - 1 6 * + 7 + 8 9 * +,3 4 / 6 / 4 9 / - 1 6 * + 7 + 8 1 * +,False
5 3 * 5 * 1 / 2 / 5 7 / 7 / - 1 + 7 +,5 3 * 5 * 1 / 2 / 5 7 / 7 / - 1 + 7 +,True
