Original,Perturbed,Is_Equivalent
-729-325--789--39-99/-,-729-325--789--39-99/-,False
340-308546+--328--203+,340-308546+--328--203+,True
244768-739*5/452/+,244768-739*5/452/+,True
-459-202312*27728+/*,-459-202312*27728+/*,False
-321144+576--687--806+,-321144+576--687--806+,False
898278-692-32498-/+-,898278-692-32498-/+-,False
-281183-876//-444+448+,-281183-876//-444+448+,False
-546585523/-792+894+,-546585523/-792+894+,True
-877375167/-227-295/+,-877375167/-227-295/+,False
261964-160406*-588+*-,261964-160406*-588+*-,True
911999748/-384/681/+,911999748/-384/681/+,False
-91075--895*-324*-679*,-91075--895*-324*-679*,True
569-514-616*-400-746++,569-514-616*-400-746++,False
-888627449524-861+-/-,-888627449524-861+-/-,True
-73-363/6*465-252-+,-73-363/6*465-252-+,False
537-436/-143*672694/-,537-436/-143*672694/-,False
278-592-584//-449591/-,278-592-584//-449591/-,False
328-348*-432*317785/+,328-348*-432*317785/+,False
-260-336+311+900*-906-,-260-336+311+900*-906-,False
590407/-531-930-910-+,590407/-531-930-910-+,False
-227-383+356--219732*+,-227-383+356--219732*+,False
-98-702*-828118*805/-,-98-702*-828118*805/-,False
921-180+-215--390--611-,921-180+-215--390--611-,False
479-843/-607--2835*+,479-843/-607--2835*+,True
449900424/431*--884+,449900424/431*--884+,False
248-486940*843+423*-,248-486940*843+423*-,True
493791695/-92+701+/,493791695/-92+701+/,True
259-39/585*593*-97/,259-39/585*593*-97/,False
-724892+-581-647-+672+,-724892+-581-647-+672+,False
532-451/-998-329*254/*,532-451/-998-329*254/*,False
81687*-88764/-223++,81687*-88764/-223++,True
-191631-999+-316-822-+,-191631-999+-316-822-+,True
36768/48299/75/-,36768/48299/75/-,True
-255-510-575+--348*398+,-255-510-575+--348*398+,False
702288+-975--762-336+-,702288+-975--762-336+-,True
261370-369-297/-578+*,261370-369-297/-578+*,True
778983509-949/51*-/,778983509-949/51*-/,True
-639-833429++14-750/-,-639-833429++14-750/-,False
436-133*-862-228*330/-,436-133*-862-228*330/-,True
367-325543639-169*+*-,367-325543639-169*+*-,True
635-651/-381*-188/-584+,635-651/-381*-188/-584+,False
-899460*-355541*--110-,-899460*-355541*--110-,True
-482-46*616-161--958+-,-482-46*616-161--958+-,True
421573-249*-818*-373/-,421573-249*-818*-373/-,True
-209-900-690-284-1-,-209-900-690-284-1-,True
-144-347-233*-173/100**,-144-347-233*-173/100**,False
-62630878/918*-491*+,-62630878/918*-491*+,True
-42-166/-761/507431//,-42-166/-761/507431//,False
-345697458937*984/*/,-345697458937*984/*/,False
-921523/608989**-395/,-921523/608989**-395/,True
810-568*537*-19*220*,810-568*537*-19*220*,True
398-685-586-512*+-965+-,398-685-586-512*+-965+-,True
-106709468/+-618213*+,-106709468/+-618213*+,True
185-436*379+-719/-429+,185-436*379+-719/-429+,True
301-160*-645421*690/*,301-160*-645421*690/*,False
-203-177*-269*-8505**,-203-177*-269*-8505**,False
542-391162+358--335++,542-391162+358--335++,False
591466/453413/-956-/,591466/453413/-956-/,True
-1-697/932/981699/*,-1-697/932/981699/*,False
251-501-682-+880-317/-,251-501-682-+880-317/-,True
142-813-240121+586*-,142-813-240121+586*-,False
-791305-8+993752*-,-791305-8+993752*-,True
393-512-127/+-411+-460+,393-512-127/+-411+-460+,True
-824-269/-576/-1842/-,-824-269/-576/-1842/-,False
232-177704/160*911-+,232-177704/160*911-+,False
-626-665799/-929+-474/*,-626-665799/-929+-474/*,True
715-165/-287+-287-104*+,715-165/-287+-287-104*+,False
-18972-66*-895*-213--,-18972-66*-895*-213--,True
263893949+674-23**-,263893949+674-23**-,False
888-710*-937/-690-439/+,888-710*-937/-690-439/+,True
-80339/-567/-975/368*,-80339/-567/-975/368*,False
988-448--369-370/-823*-,988-448--369-370/-823*-,False
96-638+-652-706/69*-,96-638+-652-706/69*-,True
-957264/-931/66*851+,-957264/-931/66*851+,False
-990320129974-627*/++,-990320129974-627*/++,False
-615-381/-675*384465*-,-615-381/-675*384465*-,False
-686917*-448-286--620+-,-686917*-448-286--620+-,False
-219-635/290+-825/-65+,-219-635/290+-825/-65+,True
-933-51-102/407--949+,-933-51-102/407--949+,False
-20502*-282+589*-738+,-20502*-282+589*-738+,False
421318+-186*469-648/+,421318+-186*469-648/+,False
637930*-925/776*318*,637930*-925/776*318*,False
625-723624++-104-242*/,625-723624++-104-242*/,True
915159/452282*+-726+,915159/452282*+-726+,True
-554643244*-403-100+,-554643244*-403-100+,False
-92862-673/-877*538-+,-92862-673/-877*538-+,True
-191-342/62*-999/-255/,-191-342/62*-999/-255/,True
360-300185*789++-167+,360-300185*789++-167+,False
64344+-997913*-181/+,64344+-997913*-181/+,True
46067*-752+268819*+,46067*-752+268819*+,False
290715/928292801-*+,290715/928292801-*+,False
194-26-56--216909/+,194-26-56--216909/+,True
285-414-273*-847/+245-,285-414-273*-847/+245-,False
-273438-212161-671+/-/,-273438-212161-671+/-/,False
909-648743*+-680-486+,909-648743*+-680-486+,True
-331-759661*-3728+*+,-331-759661*-3728+*+,False
-813908-84/-315*+635+,-813908-84/-315*+635+,False
-283-539933/670-512/++,-283-539933/670-512/++,True
719-326155*11/-138**,719-326155*11/-138**,False
458-109-680*--861-474/-,458-109-680*--861-474/-,True
-157519*442521---812+,-157519*442521---812+,False
422537/-232-773++-488-,422537/-232-773++-488-,False
437876+847-747*565*+,437876+847-747*565*+,False
-575-728+760-108504*+,-575-728+760-108504*+,True
-855529-7-176/-930++,-855529-7-176/-930++,False
-459105/-210*674/-671+,-459105/-210*674/-671+,True
-5092674*29-852*+-,-5092674*29-852*+-,True
-245749/87--972-105*+,-245749/87--972-105*+,False
285961-617/-35/47+-,285961-617/-35/47+-,True
