Original,Perturbed,Is_Equivalent
75-39*43/-68*20+50-75--37-71/84*+,75-39*43/-68*20+50-75--37-71/84*+,True
-7967/82/-74--4177/+-1437*0*-91*-,-7967/82/-74--4177/+-1437*0*-91*-,False
781/38*-5290/--132*-98-14*87*+,781/38*-5290/--132*-98-14*87*+,True
-655*0+-8314/-58/91/--513/12*-,-655*0+-8314/-58/91/--513/12*-,False
-67-39/-56-94*17-95-38*-72-90-38///-*,-67-39/-56-94*17-95-38*-72-90-38///-*,True
1338/75/1*-53/291*-10/35-80--/,1338/75/1*-53/291*-10/35-80--/,True
-9620-35/-19-9/-9--33--35--40+-80-+,-9620-35/-19-9/-9--33--35--40+-80-+,False
-65-39-83/-9+-78-67/90*-60/+1628+-,-65-39-83/-9+-78-67/90*-60/+1628+-,True
0-74-67/+2218*-58/+695*4*-69*+,0-74-67/+2218*-58/+695*4*-69*+,True
-93-3468*-89/+-100-73/-3533/99/-14/+,-93-3468*-89/+-100-73/-3533/99/-14/+,True
-6614-58--97+91-96/+-2+71+32+-67+,-6614-58--97+91-96/+-2+71+32+-67+,True
-5323/-9*-17-89+50-48/-51/-59/+6*,-5323/-9*-17-89+50-48/-51/-59/+6*,True
-4944/65--85*43-23/+1-33/81+-34++,-4944/65--85*43-23/+1-33/81+-34++,False
4183--90-23/-46/48*-53*11*-10/*-25+,4183--90-23/-46/48*-53*11*-10/*-25+,False
-2846*25-12*-63-11/8*-91/7573-/+,-2846*25-12*-63-11/8*-91/7573-/+,False
528796-58/-7+32-23--2360+-7---/-,528796-58/-7+32-23--2360+-7---/-,True
267358/-38*26/94+2+-23+-92--98*+,267358/-38*26/94+2+-23+-92--98*+,True
-50-8-81*-90/+-62--63-12*+-4297*80/+,-50-8-81*-90/+-62--63-12*+-4297*80/+,True
-259-719/+71-698--94-6-18--*+,-259-719/+71-698--94-6-18--*+,True
28-34+-545779-25*3156-5927*+*/+/-,28-34+-545779-25*3156-5927*+*/+/-,False
-33-44*-36-92/23*-54/+-65-100*-28/-68++,-33-44*-36-92/23*-54/+-65-100*-28/-68++,True
52-17--50+2584/37/-33*+-18-8252//+,52-17--50+2584/37/-33*+-18-8252//+,False
830*92*89-43/--7361*-68-77+6*-,830*92*89-43/--7361*-68-77+6*-,True
8604512-35*61/-31-4-75/-/-60-+,8604512-35*61/-31-4-75/-/-60-+,False
-47-16-88*+-25--62+-33+77-146513+-++,-47-16-88*+-25--62+-33+77-146513+-++,True
9961-93--5/+-84--4294/-42*-89*--64-,9961-93--5/+-84--4294/-42*-89*--64-,True
30-73-85+*14/-70+1--3665*-97-+-68+,30-73-85+*14/-70+1--3665*-97-+-68+,True
30-86*-79-76-38*-15*--28--312*-46-+,30-86*-79-76-38*-15*--28--312*-46-+,False
83737489/69-72/+97-71/-*+91+39-,83737489/69-72/+97-71/-*+91+39-,True
-29-2395*-61*-8*80/-91*+-26+36-89++,-29-2395*-61*-8*80/-91*+-26+36-89++,False
-69-53-64/52-90--20--93*-85/73-21*+-+,-69-53-64/52-90--20--93*-85/73-21*+-+,False
814131-6-17//7521*2/70/--70--,814131-6-17//7521*2/70/--70--,False
-39-72/-56-10*+61+-32-53/95*-61-69**/,-39-72/-56-10*+61+-32-53/95*-61-69**/,True
5692+-100-3426/-10*-78/15/95*+-95-,5692+-100-3426/-10*-78/15/95*+-95-,True
-6625--63--63-50*13/-35*1*-7820+*+,-6625--63--63-50*13/-35*1*-7820+*+,False
8456/12*62-1--4037*-42/43/-89*,8456/12*62-1--4037*-42/43/-89*,False
77-82/61-46-39-56-30-8866/--68-*+,77-82/61-46-39-56-30-8866/--68-*+,True
-4774+4922-58/6839-81*56/+-77+/+/,-4774+4922-58/6839-81*56/+-77+/+/,False
-7855/8--51-74/77/83/83/-79/+-86-,-7855/8--51-74/77/83/83/-79/+-86-,True
-37-49+-77-24*-50--33--81-96-47/-98*++,-37-49+-77-24*-50--33--81-96-47/-98*++,False
-3259/-48/39*-51*25-96/+54--54-14--,-3259/-48/39*-51*25-96/+54--54-14--,False
-7261/-82/15*-99-26*+-6020*-95+22-,-7261/-82/15*-99-26*+-6020*-95+22-,False
-408261*-53*-9941*50/-32*7523*--,-408261*-53*-9941*50/-32*7523*--,True
-91-14*-93--6034*--21-53--939*85*-,-91-14*-93--6034*--21-53--939*85*-,False
6637/-93--63-71/+86/-69-20/--1-6+,6637/-93--63-71/+86/-69-20/--1-6+,True
94-44--9+48--22-264133+-73+69+*/+,94-44--9+48--22-264133+-73+69+*/+,True
-77-75-81/-86/-41*45-5-98-73*86*-/-,-77-75-81/-86/-41*45-5-98-73*86*-/-,True
-482-75/+-2416*-6037/79*+10-91-+,-482-75/+-2416*-6037/79*+10-91-+,False
10-2359+72-*48/98-96/-73/5-12*/,10-2359+72-*48/98-96/-73/5-12*/,True
66-38*92/-77-47/+-23+740*-16-38*/+,66-38*92/-77-47/+-23+740*-16-38*/+,False
8215-63/-33/+1--66-2051*-19+-73/+,8215-63/-33/+1--66-2051*-19+-73/+,False
-8154-15*242716-93/-8*2780*-+*-*,-8154-15*242716-93/-8*2780*-+*-*,False
323/-64--74-52/-459//--38--31-4*-,323/-64--74-52/-459//--38--31-4*-,False
1099*-41-1--63-29*-1*/-4733*-78+,1099*-41-1--63-29*-1*/-4733*-78+,False
4914+-641/+49+-47-46/-38*+-6635/-,4914+-641/+49+-47-46/-38*+-6635/-,False
-729792*9/-4866--37*+36-58+73--,-729792*9/-4866--37*+36-58+73--,False
-50734-45*86++7-2/-94+37--48*+,-50734-45*86++7-2/-94+37--48*+,True
-37-60/-51/-84/4-18--4613/-/-95+-24+,-37-60/-51/-84/4-18--4613/-/-95+-24+,True
986-219--28/92/+-28+-2671*--29+,986-219--28/92/+-28+-2671*--29+,True
-64-694860-81-99*-97-26*55/-97+--//-,-64-694860-81-99*-97-26*55/-97+--//-,False
56-21+96728*-71/*-62+13-0+3+,56-21+96728*-71/*-62+13-0+3+,True
-437339/91/-1572***-80+-216//-91+,-437339/91/-1572***-80+-216//-91+,False
-661295-95--87-67*-51/+47+30-58/--,-661295-95--87-67*-51/+47+30-58/--,False
-842+86-20*/-87+35+-46-32*32*+-51-,-842+86-20*/-87+35+-46-32*32*+-51-,False
3674-52-39--71-32**-19--100--1868*+/+,3674-52-39--71-32**-19--100--1868*+/+,True
-65-66*-17-88/72--90--19+8489--67---,-65-66*-17-88/72--90--19+8489--67---,False
-8152-9710-97*-23/-89+3650-46/-+/-,-8152-9710-97*-23/-89+3650-46/-+/-,True
-468-93/8-41*-+32-66-49/-76-11*+-,-468-93/8-41*-+32-66-49/-76-11*+-,True
-5332-90-29-89+8430/-74/-4248*+*-,-5332-90-29-89+8430/-74/-4248*+*-,True
-352--5+33-64*36*--60--93+-6--41-,-352--5+33-64*36*--60--93+-6--41-,True
9-54*-61*-4/69/-25+-698*+575/+,9-54*-61*-4/69/-25+-698*+575/+,False
-24-73/7515//833758+-22+-7933*--,-24-73/7515//833758+-22+-7933*--,True
25597267-59*-*-26--2-79*59/-+39+,25597267-59*-*-26--2-79*59/-+39+,False
34-88-3-40+-3713*+51-96/53*++93-,34-88-3-40+-3713*+51-96/53*++93-,False
-27-35-953--21--21-54*-11/+-68+-15//,-27-35-953--21--21-54*-11/+-68+-15//,False
-40-95*68909*-39-40-*+92-15-57*-+/,-40-95*68909*-39-40-*+92-15-57*-+/,False
-1296--74-16*-10/38*-53-61-19*-42*++,-1296--74-16*-10/38*-53-61-19*-42*++,False
-6-96+46-58-+50-37*-66-63+-6245/++,-6-96+46-58-+50-37*-66-63+-6245/++,True
-1994-95-93-1-31-79/-35*61--27-*+/**,-1994-95-93-1-31-79/-35*61--27-*+/**,False
3-68-54/13*-14-93/-32*6924*+26+/+,3-68-54/13*-14-93/-32*6924*+26+/+,True
49-35*-8023/63*-75--87-10*47/-24*--,49-35*-8023/63*-75--87-10*47/-24*--,True
