Original,Perturbed,Is_Equivalent
* 0.25 / 0.2 / 0.35 / -0.32 * -0.44 0.39,0.39 -0.44 -0.32 0.35 0.2 0.25 + / / / *,False
- -0.06 * 0.01 + 0.02 * 0.23 / -0.36 0.46,0.46 -0.36 0.23 0.02 0.01 -0.06 + * + * /,False
- -0.18 * -0.24 + -0.01 / 0.28 + -0.1 0.32,0.32 -0.1 0.28 -0.01 -0.24 -0.18 - * + / +,True
+ -0.24 + 0.45 * 0.41 - -0.41 * 0.25 -,-0.42 0.25 -0.41 0.41 0.45 -0.24 + + * - *,False
- 0.33 / 0.36 - 0.12 - -0.28 / 0.37 -0.36,-0.36 0.37 -0.28 0.12 0.36 0.33 - / - - /,True
+ -0.32 * 0.38 + + + -0.29 + -0.12 0.38,0.38 -0.12 -0.29 0.06 0.38 -0.32 + * + + +,False
/ / + -0.41 - 0.39 / 0.45 / 0.24 -0.09,-0.09 0.24 0.45 0.39 -0.41 -0.5 / + - / /,False
- 0.0 * -0.45 - -0.2 - 0.04 + -0.23 -0.12,-0.12 -0.23 0.04 -0.2 -0.45 0.0 - * - - +,True
+ -0.13 + -0.08 - 0.38 * -0.11 + -0.13 -0.46,-0.46 -0.13 -0.11 0.38 -0.08 -0.13 + + - * +,True
/ -0.16 * -0.08 / -0.1 * 0.25 - -0.47 -0.43,-0.43 -0.47 0.25 -0.1 -0.08 -0.16 / * / * -,True
/ 0.24 + * + -0.22 + 0.31 / 0.18 0.44,0.44 0.18 0.31 -0.22 -0.47 0.24 / + + + /,False
- 0.44 - 0.11 / 0.07 - -0.34 - 0.42 -0.05,-0.05 0.42 -0.34 0.07 0.11 0.44 - - / - *,False
/ 0.25 + -0.09 + 0.41 * -0.42 / -0.04 *,0.4 -0.04 -0.42 0.41 -0.09 0.25 / + + * /,False
/ 0.28 / -0.16 + 0.17 - -0.34 - + 0.26,0.26 0.36 -0.34 0.17 -0.16 0.28 / / + - -,False
/ -0.04 - -0.37 / -0.44 / -0.17 * 0.1 0.22,0.22 0.1 -0.17 -0.44 -0.37 -0.04 / - + / *,False
+ 0.42 - 0.26 * 0.36 / -0.07 + -0.2 -0.22,-0.22 -0.2 -0.07 0.36 0.26 0.42 + - * / +,True
- -0.35 * -0.18 - 0.38 / 0.13 - -0.04 0.48,0.48 -0.04 0.13 0.38 -0.18 -0.35 - * - / -,True
+ -0.35 * -0.11 - -0.26 + 0.14 * 0.41 -0.45,-0.45 0.41 0.14 -0.26 -0.11 -0.35 + * - + *,True
+ 0.25 - -0.27 + 0.12 + 0.33 * -0.32 -0.1,-0.1 -0.32 0.33 0.12 -0.27 0.25 + - + + *,True
* -0.42 / -0.41 + 0.32 / -0.23 * 0.09 0.07,0.07 0.09 -0.23 0.32 -0.41 -0.42 * / + / *,True
- -0.42 + 0.1 * + - -0.14 * 0.3 0.22,0.22 0.3 -0.14 -0.29 0.1 -0.42 - + * - *,False
* 0.3 + -0.24 * 0.43 / 0.38 - 0.22 *,0.3 0.22 0.38 0.43 -0.24 0.3 * + * / -,False
/ 0.16 * 0.06 * -0.28 / 0.27 / 0.07 0.48,0.48 0.07 0.27 -0.28 0.06 0.16 / * * / /,True
- - / 0.28 - 0.22 * 0.06 * -0.39 0.07,0.07 -0.39 0.06 0.22 0.28 -0.04 - / - * *,False
/ 0.25 / 0.01 * 0.26 - -0.24 * -0.2 0.06,0.06 -0.2 -0.24 0.26 0.01 0.25 / + * - *,False
- -0.01 - 0.36 / -0.23 * 0.35 * -0.46 -0.14,-0.14 -0.46 0.35 -0.23 0.36 -0.01 - - / * *,True
/ 0.16 / -0.49 - 0.41 * 0.27 - 0.16 -0.34,-0.34 0.16 0.27 0.41 -0.49 0.16 / / - * -,True
- 0.06 - 0.07 + 0.38 + 0.19 * 0.41 -0.36,-0.36 0.41 0.19 0.38 0.07 0.06 - - + + *,True
+ 0.21 - -0.44 / / - 0.45 + 0.03 -0.24,-0.24 0.03 0.45 -0.1 -0.44 0.21 + - / - +,False
* 0.32 / 0.38 + -0.03 / 0.22 * -0.06 0.05,0.05 -0.06 0.22 -0.03 0.38 0.32 * / + / *,True
* - - -0.27 * 0.14 * 0.38 * 0.49 -0.18,-0.18 0.49 0.38 0.14 -0.27 -0.3 * - * * *,False
