Original,Perturbed,Is_Equivalent
9.318.668.525.420.6++*/,0.6+5.42+8.52*8.66/9.31,True
5.967.634.457.795.54/--/,5.54/7.79-4.45-7.63/5.96,False
9.60.993.945.10.95/+**,0.95/5.1+3.94*0.99*9.6,False
9.810.654.48-0.16/+--,0.16/8.34+4.48-0.65-9.81,False
4.39.587.180.566.03+++*,6.03/0.56+7.18+9.58*4.3,False
6.510.856.628.848.49**-+,8.49*8.84*6.62-0.85+6.51,True
0.576.277.988.413.93++-/,3.93+8.41+7.98-6.27/0.57,True
8.851.428.565.332.05/-*+,2.05/5.33-8.56*1.42+8.85,True
7.69.522.427.366.63--+-,6.63-7.36-2.42+9.52-7.6,True
2.663.662.289.320.32*+/*,0.32*9.32-2.28/3.66*2.66,False
4.087.343.492.29.84-/+-,9.84-2.2/3.49/7.34-4.08,False
2.735.887.762.150.5***+,0.5*2.15*7.76*5.88+2.73,True
4.177.016.540.57.98+*+-,7.98+0.5*6.54/7.01-4.17,False
8.996.188.956.59.6**/*,9.6*6.5*8.95/6.18*8.99,True
5.346.033.962.177.28*-+/,7.28*2.17-3.96+6.03/5.34,True
2.826.819.084.869.01-+*-,9.01-4.86+9.08*6.81-2.82,True
6.74/8.087.750.97*-*/,0.97*7.75-8.08*0.17/6.74,False
6.737.745.025.867.84*-+/,7.84*5.86-5.02+7.74+6.73,False
+7.927.630.753.56+///,3.56+0.75/7.63/7.92/5.86,False
2.24-2.057.987.75++-/,7.75+7.98+2.05-9.78/2.24,False
1.834.996.433.679.47*+*/,9.47*3.67+6.43*4.99/1.83,True
1.850.286.190.169.6++--,9.6+0.16+6.19-0.28-1.85,True
3.960.314.562.379.76-///,9.76-2.37/4.56/0.31/3.96,True
7.754.374.312.959.9/--+,9.9/2.95-4.31-4.37+7.75,False
7.450.227.354.387.96+/-/,7.96/4.38/7.35-0.22/7.45,False
3.354.357.35.554.12+-+/,4.12+5.55-7.3+4.35/3.35,False
3.054.643.86.766.65*/**,6.65*6.76/3.8*4.64*3.05,True
6.687.951.037.54.12--++,4.12-7.5-1.03+7.95+6.68,True
1.173.74-8.088.16-*/*,8.16-8.08*1.6/3.74*1.17,False
4.410.373.995.877.89///-,7.89/5.87/3.99/0.37-4.41,True
3.183.262.020.520.71*+-+,0.71*0.52+2.02-3.26+3.18,True
3.379.470.432.131.86//*-,1.86/2.13/0.43*9.47-3.37,True
3.144.754.753.867.41*++*,7.41*3.86+4.75+4.75*3.14,True
5.70.825.644.226.0*/**,6.0*4.22/5.64*0.82*5.7,True
7.121.378.02.145.06**-/,5.06*2.14*8.0-1.37/7.12,True
1.074.374.480.49+/-//,4.31/0.49-4.48/4.37/1.07,False
7.671.948.939.379.77+*+*,9.77+9.37*8.93+1.94*7.67,False
4.56+3.860.765.15++--,5.15+0.76+3.86-5.85-4.56,False
7.543.372.254.625.28/+/-,5.28/4.62/2.25/3.37-7.54,False
0.566.031.845.971.8*+/-,1.8*5.97+1.84/6.03-0.56,True
7.013.82.892.7*--+/,1.67-2.7-2.89+3.8/7.01,False
3.457.74.08.86.24+--*,6.24+8.8-4.0-7.7*3.45,True
1.371.88*9.356.93-+*+,6.93-9.35+1.83*1.88+1.37,False
8.818.67*2.783.06/*+-,3.06/2.78*3.36+8.67-8.81,False
0.148.168.772.595.57-*-+,5.57-2.59*8.77-8.16+0.14,True
4.158.749.03.76.91+*+/,6.91+3.7*9.0+8.74/4.15,True
4.674.74.244.657.32**+-,7.32*4.65*4.24+4.7-4.67,True
5.184.07-1.93.35-+-*,3.35-1.9+2.45-4.07*5.18,False
9.420.891.777.636.83*--*,6.83*7.63-1.77-0.89*9.42,True
3.034.917.481.228.16-*--,8.16-1.22*7.48-4.91-3.03,True
2.835.24.817.093.52++-*,3.52+7.09*4.81-5.2*2.83,False
7.335.986.513.085.0*-+-,5.0*3.08-6.51+5.98-7.33,False
4.017.282.899.325.0-*/-,5.0-9.32+2.89/7.28-4.01,False
5.656.453.876.25.66/+*/,5.66/6.2+3.87*6.45/5.65,True
6.38+5.20.892.49+*/+,2.49+0.89*5.2/4.64+6.38,False
6.933.098.814.60.11+*+/,0.11+4.6+8.81+3.09/6.93,False
0.572.820.551.598.45--/*,8.45-1.59-0.55-2.82*0.57,False
9.14.33.147.579.12*--*,9.12*7.57-3.14-4.3*9.1,True
9.576.8+9.573.38*+/-,3.38*9.57+3.96/6.8-9.57,False
2.293.174.589.279.98/**+,9.98/9.27*4.58*3.17+2.29,True
+0.084.41.453.88*--+,3.88*1.45-4.4-0.08+2.67,False
8.873.242.39*1.54--*-,1.54-3.66-2.39*3.24-8.87,False
0.090.50.286.246.2+*--,6.2+6.24*0.28/0.5-0.09,False
1.956.731.846.63/+/**,6.78+6.63/1.84*6.73*1.95,False
6.698.727.776.968.49//*-,8.49/6.96/7.77*8.72-6.69,False
8.528.511.357.766.78+---,6.78+7.76-1.35-8.51-8.52,True
1.058.573.64.68**+*/,9.22*4.68+3.6*8.57/1.05,False
1.865.376.571.61*/*/*,6.47/1.61*6.57/5.37*1.86,False
1.358.00.597.737.9+/-*,7.9+7.73/0.59-8.0+1.35,False
6.627.875.953.183.16//-+,3.16/3.18/5.95-7.87+6.62,True
7.199.496.033.228.98*/-/,8.98*3.22/6.03-9.49/7.19,True
5.049.191.719.938.4----,8.4-9.93-1.71-9.19-5.04,True
6.150.213.72.720.1**++,0.1*2.72*3.7+0.21+6.15,True
0.338.99.510.42.27-*/+,2.27-0.4*9.51/8.9+0.33,True
6.547.278.58.489.22--//,9.22-8.48-8.5/7.27/6.54,True
0.986.640.437.476.53**+*,6.53*7.47*0.43+6.64*0.98,True
1.237.075.011.737.38++//,7.38+1.73+5.01/7.07/1.23,True
2.837.776.49.786.96+/-/,6.96+9.78/6.4-7.77/2.83,True
6.632.631.140.149.82**-/,9.82*0.14*1.14-2.63/6.63,True
8.143.58.455.97+**/-,0.05*5.97*8.45/3.5-8.14,False
2.294.613.411.224.95+*+*,4.95+1.22*3.41+4.61*2.29,True
1.724.252.594.259.49/-+-,9.49/4.25-2.59+4.25-1.72,True
7.348.76-0.366.26*///,6.26*0.36/1.46/8.76/7.34,False
1.85.445.012.657.8--*-,7.8-2.65-5.01*5.44-1.8,True
5.960.477.277.158.27/++/,8.27/7.15+7.27+0.47/5.96,True
3.733.777.964.868.44+-//,8.44+4.86-7.96/3.77/3.73,True
1.79*6.762.143.22*+-/,3.22*2.14+6.76-1.93/1.79,False
4.210.135.569.547.75*+--,7.75*9.54+5.56-0.13-4.21,True
1.026.440.210.28.59+-//,8.59+0.2-0.21/6.44/1.02,True
6.040.285.357.132.26--//,2.26-7.13*5.35/0.28/6.04,False
9.96+6.527.010.04-//-,0.04-7.01/6.52/9.88-9.96,False
6.446.049.42.321.22-/++,1.22-2.32/9.4+6.04+6.44,True
2.567.423.012.868.88-++/,8.88-2.86+3.01+7.42/2.56,True
6.183.253.437.766.88/-/-,6.88/7.76-3.43/3.25-6.18,False
3.272.535.783.373.13+/+-,3.13+3.37/5.78+2.53/3.27,False
0.21-9.34.994.4-+**,4.4-4.99+9.3*0.69*0.21,False
5.664.174.520.72.54*+-/,2.54*0.7+4.52-4.17*5.66,False
2.548.453.116.151.53/---,1.53/6.15-3.11-8.45-2.54,False
3.850.967.861.912.99-*-+,2.99-1.91*7.86-0.96+3.85,False
4.388.416.649.010.97/-/-,0.97/9.01/6.64/8.41-4.38,False
