Original,Perturbed,Is_Equivalent
*-+-7796291018,77-96+29-10+18,False
++-*8115991483,81*15-99+14+83,True
-17/*/78938685,17-78/93*86/85,True
-/*241211*3532,24*12/11-35*32,True
-/368**994364,3/68-99*43*8,False
+-7966**7985,79-66+79*8/5,False
-**/8046944914,80/46*94*49-14,True
--+55/96445915,55+96/44-59-15,False
+++910/958466,9+10+95/84+66,True
+-/2489*837122,24/89-83/71+22,False
+--*555804978,16*5-80-49+78,False
+++867442-8978,86+74+42+89*78,False
+-+1454/901612,14+54-90/16+12,True
+-+*8822389894,88*22+38-98+94,True
++19/5726/5341,19+57/26+53/41,True
/**/479443473,45/94*43*4/73,False
+--25175/6372,2-51-75+63/72,True
-+8964/*427075,89+64-42*70/75,True
*+**316343647,31*63*4/36*47,False
-+-985012*1742,98-50+12-17*42,True
+-*5255/492631,52*55-49/26+31,True
+++-8637826525,86-37+82+65+25,True
+//*9299412940,92*99/41/29+40,True
+*//603338242,60/33/38*24+2,True
---9974*905479,99-74-90*54-79,False
+-365+*397096,3-65+39*70*96,False
-//653047/2651,65/30/47-26/51,True
--/247*11589,2/47-11*5-89,True
+++6625/728846,30+25+72/88+46,False
+-+3180/207830,31+80-20/78+30,True
+-41/4640*5065,41-46/40+50*65,False
//163/*87901,16/3-87*90/1,False
+42/**97797779,42+97*79*77/79,False
-6///46364775,6-46/36/47/75,True
+/*436222*1942,43*58/22+19*42,False
++-+502667251,50+26-6+72+51,False
-++9233-98391,92+33+98*39-1,False
--+77-33794652,77+33/79-46-52,False
++99//53792488,99+53/79/24+88,True
+-52**38328622,52-38*32*4+22,False
++60//64522490,60+64/52/24+90,False
++622/*387538,62+2+38*75/38,True
-5/**12841415,5+12*84*14/15,False
--+86/25462820,86+25/64-28-20,False
++13**8250643,13+82*50*6+47,False
++91/*63915641,91+63*91/56+41,True
+--717221/215,71-72-21+2/15,True
--**3098249777,30*98*24-97-77,True
+-20*331*5158,20-3*31+51*58,True
-+54/*30362264,54+30*36/22-64,True
---*306441689,30*64-4-16-89,True
-+/9858/797437,98/60+79/74-37,False
**//6663835094,66/63/20*50*94,False
++2847/*152822,28+47+15*28/22,True
-++212485*9242,21+24+85-80*42,False
--*3097*789492,30*97-78*94-92,True
++91//702641,9+1+70/26/41,False
+--*993622328,99*36-22-32+8,True
**/*3440863584,34*40/86*35*84,False
/*/506017/4372,50/60*17+43/72,False
-++-8689274053,62-89+27+40-53,False
+/*393286/8249,39*32/86+82/49,True
+--/8885108931,88/85-10-89+31,True
++86*4836*9628,86+48*36+96*28,True
-//60672/558,60/67/2-63/58,False
+-**2254629920,22*54*62-99+20,True
+--81*9931532,81-99*31-5+32,True
-/*/2132428677,21/32*42/84-77,False
--39/719*4089,39-7/19-40*23,False
+82*//74536433,82+74/53/64*33,True
+94**/22636914,94+22/63*69*14,True
-/*7942*422883,79*42-42*28-83,False
--/5813/281123,58/13-28/94-23,False
-+83//20785418,83+20/78/54-18,True
-+//3418456267,34/18/45+13-67,False
---+2886796545,28+86-79-65-45,True
-+*/997496226,99/74*9/62-26,False
-+/64268+5217,6/42+68-52/17,False
---223998/4826,22-39-98-58/26,False
---82*9172784,82-62*72-78-4,False
--23*/42943293,23-42/94*32-93,True
-/4092**755563,40/92-75*55*63,True
--+464*904482,46+4-90*44-82,True
+-+27833*2654,27+7-3+26*54,False
+*/*9384306278,93*84/30*62+78,True
-+2924//25462,29+24-25/4/62,False
-12/**82993759,51-82*99*37/59,False
++706*/742952,70+6+74/29*52,True
-+*935563*139,93*55+63-13*9,True
-/932//757052,93/2-75/70/52,True
+***38145593,3*8*14*55+93,True
--+/8575726138,85/75+72-61-38,True
+-*67931*3643,67*9-31+36*43,True
---5951*94480,59-51-9/44-80,False
++-95*61183641,95-61*18+68+41,False
-+/603816*4089,60/38+16-40*89,True
--**8914219092,89*14*21-90-11,False
--26**39583596,26-39*58*35-96,True
+*/*2328183213,23*28/18*32+16,False
-+-74/9791826,74-97/91+8-26,True
