Original,Perturbed,Is_Equivalent
-+---/7666/452594*8563*3215,76/66-45/25-94-85*63+3*21-5,False
-+-++-/60421296*/843915243449,60/42-12+96+84/39*90-24+34-49,False
-++/+72994355//324814/*45866,72/99/43+55+32/48/14-4*58/66,False
++-++/8226537918/*/2819631020,82/26+53+79-18+28/19*35/10+20,False
++*//436879995////8567385092,4/36/87*99+95+85/67/38/50/92,True
---+++-+9343/675385774307880,93+43-67/5+38+57+7-30-78-80,False
-++--+-*7390/75771994924532,73*90-75/77+1-99-49+24+53-2,True
+--97/*/**446453229957*937239,97-44*64*53/22*99/57-93*72+39,True
----++*49475195*156448/748259,49*47+51+95-10*64-48-74/82-59,False
+--+-+*//97841559342052718177,97/84/15*59+34-20+52-71-81+77,True
++++-/94154666/*803635*449024,94/15-46+66+80*36/35+44*90+24,True
++-+-/6537838/7868*734/9117,65/37/83+8-78/68+7*34+91/17,False
--+-*4855/883*9734/*28766314,48*55-8/83+97*34-28*76/63-14,False
++-498/9545*/**/725350645680,4-98+95/45+72/53*50*64/56*80,True
-++++*-95/21478867*655879261,95-21/47+88+67+65*58+7+92-61,False
-+*--//*8194595269932636/8765,81*94/59/52-69-93-26+36-87/65,False
-+-95***/6491367178/*32322537,95-64/91*36*71*78+32*32/25-37,True
----40///9229225/17923/7151,40-92/2/92/25-17/9-23-71/51,True
+-///2196313//363790/*85215,21/96/3/13-36/37*90+85*21/5,False
-----+8394/6284**768897649156,85+94-62/84-76*88*97-64-91-56,False
+-/+*605897//854616/3670*345,60*58+97+85/46/16-36/70+3*45,False
+-+-*2391*93807233/**26174211,23*91-93*80-72-33+26*17*42/11,False
++--*/1357891*3763/7452*5174,13/5*78-91-37*63+74/52+51*74,False
+-+6738**/**82771840715/4584,67+38-82*77*18/40*7*15+45/84,True
-+++362**31870*/821534*3687,3+62+3*18*70+82/15*34-36*79,False
++-++95*/4612655681/8083/2046,95+46/12*65+56-81+80/83+20/46,True
+------*/21548014618927893499,21/54*80-14-61-89-27-89-34+99,True
-+--//303785/145994*8612/1272,30/37/85-14/59-94+86*12-12/72,True
--+++-60597*/*7180655593352,60-5+97+71*80/65*55+93-35-2,True
-+--/867867/3363//947871*4191,86/78-67-33/63+94/78/71-41*91,False
---+++-417/228346605-307528,41-7+22/83+46+60-5-30/75-28,False
+-+-*8411/**51913535156/7686,84*11-51*91*35/3+51-56+76/86,True
++-*754/108635/*/*1885268255,7*54-10/86+35+18*85/26*82/55,True
++-++/*46659828*7373349*8238,46*65/98+28+7*37-33+49+82*38,True
+----9061*4970/*7213269*3742,90-61-49*70-7*21/32-30+37*42,False
+-++--*202037*19392826/81132,20*20-37-19*39+28+26-8/11+32,True
++-/*52816*/328340/9563*7525,52*70/6-32/83*40+95/63+75*25,False
++**//5984801390/**589255889,59/84/80*13*90+58*92*5/58+89,True
+-+++9412469***5354258*214,9+41+24+69-53*5*42*58+21*4,True
----***942079413799/*28605621,94*20*79*41*37-99-28*60/56-21,False
+----+/*599599/80705229362039,59*95/99+80/70-52-29-36-20+39,True
+-+--++/7622327835*2654295721,76/22+32+78-35-26*54+29-57+21,True
++++5*3218*1764*/882473/611,5+97*18+17*64+88/24*73+6/11,False
+-++*--*574408754*5446386711,57*4-40-87-54+54*46+38-67+11,False
++++5727*381*5818*/*89474758,57+27+3*81+58*18+89*47/47*58,True
--++-+35/296518/607143*7831,35+29/65-18+60/71+4-3-78*31,True
++----457248/949139*/83246714,45-72-48-94/91-39+83/24*67+38,False
-///**4297540936/*/38429847,42*97*5/40/93/6-38/42*98/47,True
--+++653110/*//9927108173413,65+31+10+99/27/10*81/73-4-13,True
+-*4038///38762068***46513922,40/38-38/76/20/68+46*51*39*22,False
--+---+33218651*22815*754028,33+21-86-51-22*8+15-75*40-28,True
-+-//678635/*61628758*/167691,67/86/15-61*62/87+58-16/76*91,False
-++---2330/22336657/9711/2813,23-30-22/33-66+57+97/11-28/13,True
-+-++/78792870**439016*939573,78/79+28+70-43*90*16+93*65-73,False
-+----163/399280/8339*5952,16-3-39/9-2-80+83/39-59*52,True
+++//32295*//9392347170*7272,32/2/95+93/92/34*56+70+72*72,False
--+/62965**//*17963418217636,62/9+65-17*96/34/18*21*76-36,False
+-++*68176723//*/658319578,68*17+67+23-65/83*1/95/7+8,True
+++-49*/*62249329*1673/421328,49-62*24/93*29+16*73+21/13+28,False
-++*/***58390830861611*3850,58*3*90*8/30*86+16+11-38*50,True
