Original,Perturbed,Is_Equivalent
-247.3-665.46-372.59190.28825.98/+--,825.98/190.28+-372.59--665.46--247.3,True
-821.41525.12152.64-814.34-750.89/*/-,-750.89/-814.34*152.64/525.12--821.41,False
341.56-503.3-88.31-489.52-467.26//+*,-467.26/-489.52/-88.31+-503.3*341.56,True
-404.1721.17958.31403.96962.94-**/,962.94-403.96*958.31*21.17/-404.17,True
370.46-397.36852.11281.79464.79--+*,464.79-281.79-852.11+-397.36*370.46,True
/43.72-984.3-122.14-387.4///-,-387.4/-122.14/-984.3/43.72-731.48,False
-601.07-395.72288.28-819.68-533.79-//+,-533.79--819.68-288.28/-395.72+-601.07,False
-232.65-721.65*-617.77-129.29+/+/,-129.29+-617.77/-441.73+-721.65/-232.65,False
579.3-655.76926.97860.52-474.27+--/,-474.27+860.52-926.97--655.76/579.3,True
-191.44-846.61769.4966.2-543.83****,-543.83*66.2*769.49*-846.61*-191.44,True
-993.79344.22878.09-317.52+/--*,339.94/-317.52-878.09-344.22*-993.79,False
361.64-287.73-381.5-121.4940.86*+/*,40.86*-121.49+-381.5/-287.73+361.64,False
306.45-990.31-239.91273.67513.6---/,513.6-273.67--239.91--990.31/306.45,True
344.94542.89-288.37890.26-870.19*/--,-870.19*890.26/-288.37-542.89-344.94,True
435.78175.28376.99106.44-482.89+/*-,-482.89+106.44/376.99*175.28-435.78,True
383.48627.13396.15-601.18-762.67---/,-762.67--601.18-396.15-627.13/383.48,True
899.09212.82-458.51/919.41++-*,919.41+-811.85+-458.51-212.82*899.09,False
-785.93646.27-64.41128.581.02+///,81.02+128.5/-64.41/646.27/-785.93,True
-177.05-541.62688.21-202.99-942.16//+*,-942.16/-202.99/688.21+-541.62*-177.05,False
210.54-135.5320.72-167.73876.03+*/*,876.03+-167.73/320.72/-135.5*210.54,False
-205.35-346.1644.27333.66-995.64**-+,-995.64*333.66*44.27--346.16+-205.35,True
233.64844.62-45.56803.55-44.84-/-+,-44.84-803.55/-45.56-844.62+233.64,True
136.03579.47-721.12-903.83707.43/-/*,707.43/-903.83--721.12/579.47*136.03,True
-884.03-887.14-542.15-964.29-947.49*-**,-947.49*-964.29--542.15*-887.14*-884.03,True
-0.6150.11-190.6753.93-391.82*-*+,-391.82*753.93--190.6*50.11+-0.61,True
451.95-334.09166.3-608.33-196.83*--+,-196.83*-608.33-166.3--334.09+451.95,True
-839.24-228.64-951.93-433.4362.59-*+*,62.59--433.43*-951.93+-228.64*-839.24,True
850.81-12.17-956.03-435.93939.01++-+,939.01+-435.93+-956.03--12.17+850.81,False
--479.4977.04-348.23494.88+++*,494.88+-348.23+77.04+-479.49*-261.97,False
236.63-780.15605.7205.39-14.25-//-,-14.25-205.39/605.7/-780.15-236.63,True
728.86536.65425.13-423.54-716.46+/**,-716.46+-423.54/425.13*536.65*728.86,True
-841.55-69.36-331.45565.5-558.99+***,-558.99+565.5*-331.45*-69.36*-841.55,True
334.37-860.3597.83-109.61*//+/,-837.76/-109.61/597.83+-860.3/334.37,False
-574.19454.42-428.64-612.02420.29/-/-,420.29+-612.02--428.64/454.42--574.19,False
-436.36-907.87403.44-246.18-58.06*-//,-58.06*-246.18-403.44/-907.87/-436.36,True
551.68257.6-209.56-624.12131.42//-*,131.42/-624.12/-209.56-257.6*551.68,True
-483.1538.83215.39117.19/-//,117.19/215.39-538.83/483.1/-894.33,False
827.41756.18791.66-592.07987.22-*+/,987.22--592.07*791.66+756.18/827.41,True
327.9448.1684.05-722.5-997.04//*/,-997.04/-722.5-684.05*448.1/327.9,False
478.92170.29--480.65179.84+-+-,179.84+-480.65--728.59+170.29-478.92,False
-341.35-213.59412.45-730.69575.65//+/,575.65/-730.69/412.45/-213.59/-341.35,False
-645.68-38.9282.84-711.179.9+/+-,79.9+-711.1-82.84+-38.92--645.68,False
-878.28-905.45-971.69159.4-804.67/+++,-804.67/159.4+-971.69+-905.45+-878.28,True
262.96715.31370.75/-298.2-/++,-298.2--238.35/370.75+715.31+262.96,False
514.38138.01-242.19926.09-679.99/+**,-679.99/926.09+-242.19*138.01*514.38,False
434.85-863.27-398.26403.36/-*-,403.36/398.26--504.78*-863.27-434.85,False
-432.92-82.67-854.33-552.89/-+*-,-450.67--552.89+-854.33*-82.67--432.92,False
-556.75+295.44486.57609.97//+*,609.97/486.57/295.44+-824.2*-556.75,False
617.8-653.15-780.74-24.2-110.96*/*-,-110.96*-24.2/-780.74*-653.15-617.8,True
-375.8999.04-101.64-196.39--*//,-4.01--196.39*-101.64/99.04/-375.89,False
-429.3-18.3470.68-398.37-132.02**--,-132.02/-398.37*70.68--18.34--429.3,False
-174.04905.99-928.92-922.17-215.31/*+/,-215.31/-922.17*-928.92+905.99/-174.04,True
255.95-987.51716.56-419.64-425.08*/*-,-425.08*-419.64/716.56*-987.51-255.95,True
-529.14-630.93546.0736.23703.18*--*,703.18*736.23-546.0--630.93*-529.14,True
