Original,Perturbed,Is_Equivalent
++---+*5391*552377*93^37139//*9396537^841,53*91+55*23-77-93*37^1-39+(9*39/65)/37+84^1,True
-+---+++^13273149276/464053^972--^3222423,13^2+73+14+92-76-46/40-53+97^2-(32^2-24-23),True
-+-+++--^82967514^781/3166/2822^382^3328,8^2-96-75+14+78^1+31/66-28/22+38^2-33^2,False
-++--^561/*/44721448^282*74^22271/20*5960,56^1-44/72*14/48-28^2+74*22^2+71-20/(59*60),True
+79++49*++^932--**976436^36194**957338255,(79+(49+(93^2+(97*64*36-36^1-60)+95*73*38)*2+55)),False
++++-+/7036/*635965*7969*154653*/*9651785773,70/36+63*59/65-79*69+15*46+53+96*51/78*57+73,True
--^251^761++++3963^45245++42^682**198036,25^1-99^1-(39+63+45^2+45+(42+68^2+19*80*36)),False
---+**56754825*/1983718-*/959+/1952/204781,56*75*48+25-19/8*37-18-(95/9*(19/52+20/47)-81),True
+++-+936525*4^282/**33+/12^4626649^20296,93+65-25+4*28^2+33*(12/46^2+66)*49/20^2+96,True
+--+44/*605821731//**597999+-^421^8527030,44+60*58/21-7-31+59*79*99/(42^1-85^2+70)/(30),True
--+--+//2138^2011247*9077/*5253^20158/5947,21/38/20^1+12-47-90*77+52*53/20^1-58-59/47,True
++-+---+61-215563974*-/17876249/552/31983,61+(21-55)-63-97-4+(17/87-62)*49-55/2+31/98+(3),True
/*/*8285940-79+---+-5/3149316^3166^552,(82*78/9*40/(79-(5-31/4+93-16-3^1-66+55^2))),False
--------++/37608321*6280^98296/803758655033,37/60+83+21-62*80-46^2-96-80/37-58-65-50-33,False
-+^13149/*//*35/*/**524639505888202-948764,13^1+49-35*(52*46*39/50*58/88)/20/2*(94-87)/64,True
++-+*/909823^942*/98547*22^81--647^161,(90/98*23)+94^2-9/85*47+22*8^1+(26-7-16^1),False
+-++-+5145/8246//6874871684//73/**1453757782,(51+45-82/46+68/74/87)+16-84+(73/(14*53*75*77)/82),False
++----^481^+^411//3212921^84268^2423925,(48^1-(41^1+32/12/92)^1-84^2-68-24^2+39+25),True
--+-+++^681^86237/61748653*56^122--249791,68^1+86^2+37+61/74-86+53-56*12^2-(24-97-91),True
-*8^12-+++**522138/**776170318538*/905210,8*1^2-(52*21*38+77*61*70/31+85+38-90/52*10),True
++---+//5648^88263*/8924^6325819*5777*6010,56/48/88^2+63-89/24*63^2-58-19+57*77+60*10,True
-+++-+-12*71^391^39173/5077*25^302^77230,12-71*39^1+39^1-73+50/77+25*30^2+77^2-30,True
+/3864/77--*94326///*761515--64^60174^21,38/64+77/(9*43*26-76*15/15/(64-60^1-74)/2^1),False
+++-+--^932/194229///45479068*42126057^82,93^2-19/42-29+73/47/90/68-42*12+60+57+8^2,False
+-+-*7811--+34/3715/23413557^502***76379351,78*11-(34+37/15-23/41-35)+57-50^2+76*37*93*51,True
++-557**1454^981--++++73284039/739346*7345,(55-7)+14*54*98^1+(73+28+40+39+73/93-46-73*45),True
++--81^371/941091-++*4055/56^5619*38-7746,81-37^1-94/10+91+(40*55+56/56^1+9-38*(77-62)),False
-++---^47253*59^332*2891//8211^442*393688,47^2-53-59*33^2-28*91+82/11/44^2+39*36-88,True
+----+++*/47476161^65256/5751392^321^702,47/47*61+61+65^2+56-57/5-13-92-32^1+(70^2),True
-+---70^491/45138*96^572+-/48^/178228181,70-49^1-45/13-8+96*57^2-(48/(17/82)^2-81+81),True
*++-+*18579//*3825429318**/695238^251*6355,18*57+9-38*25/42/93+18+69/52*38*25^1-63*55,False
+----++85^502596444/++*67^162/89376872730,85+50^2+59-64-44-(67*16^2+8/93+76)/87-27+(30),True
+---+++-28/4629/15^23286/249377^26143^692,(28-46/29+15/23^2+86)+24/93-77-26^1-43+3^2,False
++-+-+/2521/*7296^141*1715027*/779587^232,25/21+(72*96)/14^1-17*1+50-27+77/95*87+(23^2),True
