Original,Perturbed,Is_Equivalent
-+++-7889+/864070/*6211557425,78-89+(86/40+70)+62*11/50+74-25,False
+-^311*//*62475682^211^542,31^1-62*47/56/82*21^1+54^2,False
--^1232*12-++^21216^75257,1^2-32-12*(21^2+16+75^2-57),True
+-58^351-++++9^30291133447,58-35^1+(9+30^2+91+13+34-47),True
+-++//9759^59159^-12217040,97/59/59^1+59+(12*2)^1-70+40,False
--^491^691/36+*8822+80^451,49^1-69^1-(36/(88*22+(80+45^1))),True
/72*82++-+*313939/1993*164451,(25/(82*(31*39+39-19/93+16*44+51))),False
++-+-^781/588190^312^9414,78^1-58/81+90-31^2+94^1+(4),True
-+*45^692++++4246^262413388,45*69^2+(42+46+26^2+41+33)-88,True
+*/405741+^561--*7179^75246,40/57*41+(56^1+(71*79-75^2-46)),True
-+-+-/5695677/3445*7473^111,56/95-6+77-34/45+74*73-11^1,False
+--+-1999*-529811^63121^362,19-99+52/98*11-63^1-21+36^2,False
+-+*74^641//*9437362153/4058,74*64^1+94*37/36/21-53+61/(58),False
+++-^132/60^702^221^47180,13^2-60/70^2+57^1+47^1+80,False
----9244^922/383-88/17-6461,92-44-92^2-3/83-(88-17/(64-61)),True
-+++-11//169969/27353281^831,11-16/99/69+27/35+32+81-83^1,True
----+8970*//71574559^9814785,89+70-71/57/45*59-98^1-47-85,True
-+---89/5314/4397^72197*3989,53-53/14-43/97-72^1+97-39*89,False
+++-+-15*669460/16^982956881,15-66*94+60-16/98^2+95+68+81,True
+-+--*163035^801*1921*24499,16*30-35-80^1+19*76-2*44+99,False
++--83*13^281/9265*90^81115,83-13*28^1-92/65+90*81^1+15,True
+-77*6722*10/35+^712//48966,(77-67*22+10*(35/(71^2+48/9/90))),False
+--^15^661/*1681^141^85229,15+66^1-16*81/14^1-85^2+29,False
+-8579++7++8*61^55239*7224,85-79+(7+(8+61*55^2+39)+(72*24)),True
-++^692^36240--^922^17197,69^2+36^2+40-(92^2-17^1-97),True
-+-^301/12^821/*7131^18290,30^1-12/82^1+71*31/18^2-(64),False
/94-+*54^+95/12182/79^41254,94/(54*(95+12/18)^2+79/41^2-54),True
--/95^87117**4653+-1740/3472,95/87^1-17-46*53*(17-6+34/72),False
---+++*511019*70^1825837199,51*10+19+70*18^2+95-37-1-99,False
--+---7033^772*27615889^432,70-33-77^2-27*61+58-89-43^2,True
-51*/9212++//915848*945^421,51-92/12*(91/58/48+94*5+42^1),True
-/**65525512*16-+-9336^38259,65*52*18/12-16*(93-36+38^2-59),False
-+*/196186^322-++^132469133,19/61*86+32^2-(13^2+46-91-33),False
-+++-*/318677^652/7725263,3/18*6-77+65^2+20/2+52-63,False
-/64^131--/116--427*544667,64/13^1-(1/16-(4-27-54*46)-67),True
--/12+9680*849+-84/27^36193,12/(96+80)-84*9-(84-27/36^1+93),True
+-28/9553--/229*49+332/2347,28-95/53+(22/9-49*33^2-(23/47)),False
++++^78127*/176373^322^291,78^1+27+17/63*73+32^2+29^1,True
-15/17-^611*29+-41^651*2919,15-17/(61^1-29*(41-65^1+(29*19))),True
----83-//1079^241295924/4396,83-(10/79/24^1-29)-59-24-43/96,False
++++85*/299256/593/59^4612,85+29/92*56+5/93+59/46^1+53,False
+*++-+2113^762^54188^38194,(21+13-76^2+54^1+88)*38^1+(63),False
-+-++3819/888161/18*2438*8856,38*19+88/81-61+18/(24*38)-88*56,False
+/++-*2114^62/56212263/8798,(21*14-6^2+56/21+22)/63+87/98,True
*/8138--^711^542-^492/9543,81/38*(71^1-54^2-(49^2-95/43)),True
+^492++-++76//8446402935439,49^2+(76+(84/46/40)+2-93+54+39),True
/34/51-+/21^97217/88+^72250,34/(51/(21/97^2+17-88/(72^2+50))),True
+^982*81+-/9740/666/64^212,98^2+81*(97/40-6/66+64/21^2),True
+++*//8736--86/97937097614353,87/36/(86-97/93+70)*97+61+43+53,False
+++30**272754^532-+7^35197,30+27*27*54+53^2+(7+35^1-(97)),True
+--+*36+9716**9128512092/59,36*(97+16)+91*28*51-20-92+(5/9),True
+-++/2^2527^81140+42/5520,2/25^2+7+81^1-40+(42+55/20),True
-++26*8658*/2914^-^49210139,26+86/58+29/14*(49^2-10)^1-39,False
*+-+-^524087^95123-^77159,(5^2-40+87-95^1+23)*(77^1-59),True
+++^89143^931-+57/6360*14,89^1+43+93^1-(57+63/60-1*4),False
++-2*/*149645-1588+*213556,83-14*96/45*(1-5)+88+(21*35+56),False
--//184478^362**5428/+81495,18/44/78-36^2-54*28*(81+4-95),False
++++^5512/6615^62216/62+7358,55*12+66/15+62^2+16+(62/(73+58)),False
++++-*80/14682/3552^8026649,80*(14/68)-2+35/52+80^2+66+49,True
++36*7675+-+-+6276558248/3761,(36+76*75+(62+76-55+82-48+37/61)),False
++-56*/*866840^37120-11*7137,56-86*68/40*37^1+20+(11-71*37),True
++*894/2528/20-+97/82^25135,8*94+25/28+20/(97+82/25^1-35),True
++++^441^862*4187^892^572,44^1+86^2+41*87+89^2+57^2,False
-/*2672^941++^141+7730*946,26*72/94^1-(14^1+(77+30)+94*(6)),True
---+-/354182^3129619/73^862,35/41-82+71^2-96-19-73/(86^2),False
-83*--+5*/837959^20256/2776,83-(5+83/79*59-20^2-56)*(27/76),True
*99-+--*1941/2^58283/476424,99*(19*41-2/58^2-83+47/64-24),True
+/1474/14-+^^611/8721^28162,14/74+14/(61^1+87/21+28^1-(62)),False
--*74^++/7^6118622286/3294,74*(7/61^1+86+22)^2-86-32/94,True
+19/51--+^972^65187/29+856,19+51/(97^2+65^1-54-29/(8+56)),False
*/6395----^742646^891*3269,(63/95*(74^2-6-46-89^1-32*69)),True
++/++^25137+5369^762/166667,(25^1+37+53/69)/76^2+16/66+(67),False
*+*181446--///8280546936/595,18*14+46-(82/80/54/69-36-5/95),False
*27-+--^832*3316^10258^2113,(27*(83^2-33*16-10^2+58-21^2)),False
+-+339+----59^2318128668589,33+9-(59-23^1-81-28-66+85)+89,True
---+^1124017/-*6926*91832740,27^2+40-17-(69*26-91*83)/27-40,False
++-//1335^852*7449^7730+5327,(13/35/85^2-74*49+77^2+(53+27)),False
--39*6954*43--41**/549581638,39-69*54-43*(41-54/95*81*63-8),True
--+//976^82285^/21+45435988,97/6/82^2+85-21/(45+43)/59-(88),False
+/*438926/*-+14^942/47513197,43*89/26+(14+94^2-47/51)*31/97,True
-+*539343+++54^+92292^27113,53*93+43-(54+(92+29)^2+27^1+13),True
+++^681/**8683185^181^161,68^1+8*68*31/85+18^1+16^1,True
--^65221-+54^691*83*36-7948,65^2-21-(54+69^1-83*(36*(79-48))),True
---/29^-3024167/871*77/732,29/(30-24)^1-67-8/71-77*73^2,False
+-+/5782/*959734/*/2932375323,57/82+95*17/34-29/32*37/53+23,False
--++*622/6988///71932185436,62^2+69/88+(71/93)/2/18-54-36,False
+-*23^162/*635073/--37547995,23*16^2-63*50/73+(37-54-79)/95,True
+---986***/7684892391/622467,9-86-76/84*89*23*91-62/75+(67),False
-++/55482^32+-^511*893856,55/98+82+3^2-(51^1-89*38+56),False
*21+--+34^15178^522/*558237,21*(34+15^1-78-52^2+55*82/37),True
+--+91*5^2324079/+/66454524,(91+5*23^2-40-79+(66/45+45)/24),True
+--86^21261*////957630101631,86-21^2-61+(95/76/30/10/16*(31)),True
----+**447574^922181580^7297,44*75*74+92^2-18-15-80-72^1,False
