Original,Perturbed,Is_Equivalent
-+^^3722716/838-375///-850709-90^7861,(372^2+716+838/-375)--850/709/-90/786^1,False
/-740+-+-157847999/435+^4412**998449679,(-740/(-157+847-999+435/(441^2+998*449*679))),True
-**408-988507/*/728-293-860-+-871956-831-379,(408*-988*507)-728/-293*-860/(871-956+-831--379),True
++-223^-6642-+--708-492^-7501-883/-614928,-223+-664^2+(708--492--750^1+-883--229/928),False
+++*-484^*460-4771//-901510^-7972633509,-484*(460*-477)^1+-901/510/-797^2+633+509,False
-+--*386-225/429+436-22-916-103+^2792464,386*-225-429/(436+-22)--916+-103-(279^2+(464)),True
+-++-*-17310-344^-8972--721-686118*-205-185,-17*310--344+-897^2+(-721--686)-118+-205*-185,True
--+--239//660-154988-504-145/**865537-63295,-239-660/-154/988+-504--145+865*537*-632/95,False
++-+-+833-898*767-978/977-431-369^5371-88,833+-898-767*-978+977/-431--369+537^1+(-88),True
-+--^2771^9392*-144804*^-961625-213-821,277^1-939^2--144*804+-961/625*-213-(-821),False
+-/-94530-164*/749841-*-611-515*-105*-481389,696/530--164+749/841*(-611*-515--105*(-481*(389))),False
+++---608/22545-649148-207--/712704257-51,-608-22/545--649+148+-207+(712/704-257-(-51)),True
-+-+--29^-142/-245^1502-153-314*584698,-29--14^2+-245/150^2--153+-314-584*698,False
++^4142835*--+^8321-379^8441934-467,414^2+835+(832^1+-379-844^1-934)*-467,True
++-+-**869689-422581^-561^-4422257221,869*689*-422-581+-56^1--442^2+257+221,True
-+-646/227-348**588296+++204/-823515-48893,(-646+227/-348)-588*296*(200+-823/515+-488+93),False
+--*154786*/268180146^-1522*/933708-268,154*786-268/180*146--152^2+933/708*-268,True
--618/474-++*798125^1422/936^482-75,-618-474/(798*125+676^2+936/48^2--75),False
-+--+--486/*-230582-576*-221452-82761-93626,-486--230*582/-576+-684*452--82-761+-93-626,False
-+--+*962-802^1731-365*-872^-7392-318543,962*-802+173^1--365--872*-739^2+-318-(543),True
+-+-699*/151-209-81863*-184850/904/-378-400,699-151/-209*-818+63--184*850+904/(-378/-400),False
+++/551^-9492//*-678-843132^-791786-585,551/-949^2+-678*-843/132/-79^1+786+243,False
+794--+--91-755*-81-704^3611*-584831-869,794+(91--755--81*-704+361^1--584*831--869),True
---+-621781/-685*^-7291403-999999^5912,(621-781+-685/(-729^1+403)--999-999-591^2),False
-327*/-513392+--*726^4052708^3311982,327--513/392*(726*405^2-708-331^1+982),True
+-+-++^2002/689-153-333298^-4121321-634,200^2+689/-153+-333-298+-412^1-321+-634,True
++**-473-60964287-/*/-317-783649-456/-403498,-473*-609*64+287+(712/-783*649/-456--403/498),False
+-770+*/*4253774-235+--495876*-483^2732,-770+(42*537/74*-235+(-495-876+-483*273^2)),True
-^-531+++548/*957-316-756/609^1142-95,-53^1-(548+957*-316/-756+609/114^2+-95),True
/949+/-684^-9181/*-+571-869--143-939-501-76,949/(-684/-918^1+(571+-869--143/-939)*-501/-76),False
//-44871-+-^-5041*-4951*165-210/667-123,-44/871/(-504^1--495^1+165*-210-667/-123),False
*-720*351/*-463-971+++19539//87-48-245-639,-720*(351*(-463*-971/(19+539+87/-456/-245+-639))),False
+--35*/*-65275639529*-323-*633-332/-835-383,-35--65*275/639*529+-323*(633*-332--835/-383),True
--+-/766^-7521487**471-285945^4281925,766/-752^1-487+471*-285*945-428^1-925,True
+--+-^-311-575/72-72-230**172362-578186,-31^1--575+72/-72--230-172*362*-578+186,True
