Original,Perturbed,Is_Equivalent
3.449.029.487.043.52.081.776.440.172.2++**++*+-,2.2+0.17*6.44*1.77*2.08+3.5+7.04*9.48+9.02-3.44,False
6.953.06+*7.445.183.24*+*1.599.583.726.999.98/-//,3.06+(3.24*5.18*(9.98/6.99-3.72/9.58/1.59)+7.44)*6.95,True
9.174.452.84*4.13*7.065.15++*1.347.772.06--/**,(5.15+7.06*(2.06-7.77-1.34)+9.21/4.13)*2.84*4.45*9.17,False
4.734.568.547.157.031.27*+/9.726.91*-*+*3.87+*,1.27*7.03/(6.91*9.72)+7.15-8.54*4.56+4.73*(3.87+(6.25)),False
8.191.24.696.63.061.026.168.04-//--/-*0.973.82+,8.04-6.16/1.02/3.06-6.6-4.69/1.2*8.19*(3.82+0.97),False
5.830.131.450.021.012.41*5.635.573.06-*+///+/+,3.06-5.57*5.63+8.15/2.41/1.01/0.02+1.45/0.13+5.83,False
7.548.129.53-3.54.680.741.285.523.33**//++***,3.33*5.52*1.28/0.74/4.68+3.5+4.7*9.53*8.12*7.54,False
1.09++1.252.78+1.50.457.27/-/5.636.982.014.44*+/,1.09+(2.78+1.25)+(7.27/0.45-1.5/(4.44*2.01+6.98/5.63)),True
9.4-***4.580.243.692.416.357.982.72*-*-*+0.35,(1.34*9.4*(2.72*7.98-6.35*2.41-3.69*0.24+4.58)*(0.35)),False
2.113.51-*5.889.023.665.478.133.922.64.25**+-+*/,3.51-2.11*(4.25*2.6*3.92+8.13-5.47+3.66*9.02/5.88),True
4.167.517.578.240.567.986.77*4.01.86--*////-/,1.86-4.0-1.27*6.77/7.98/0.56/8.24/7.57-7.51/4.16,False
1.881.04.529.150.911.270.479.98-+/**-//4.139.67/,9.98-0.47+1.27/0.91*9.15*4.52*1.0/1.88/(9.67/4.13),False
1.730.41.72++-6.174.25+-0.694.150.530.039.11+--/,1.72+0.4+1.73-(4.25+6.17-(9.11+0.03-0.53-4.15/0.69)),True
9.890.248.159.92-2.423.248.7++++--//3.235.76-,8.7+3.24+2.42+7.96+9.92-8.15-0.24/9.89/(5.76-3.23),False
2.370.545.741.324.861.128.677.57/-*-+++*0.785.54-,7.57/8.67-1.12*4.86-1.32+5.74+0.54+(5.54-0.78)*2.37,True
0.95.731.41.11-3.85++-+--0.136.79//9.18.83-,(5.79+3.85)-1.11-1.4+5.73-0.9-(6.79/0.13/(8.83-9.1)),False
4.247.741.183.823.926.513.38+*+-5.529.120.56+-/**,3.38+6.51*3.92-(0.56+9.12/5.52)+3.82/1.18*7.74*4.24,False
3.478.655.881.954.686.950.113.16.130.2*+--/---*,0.2*6.13+3.1-0.11-6.95/4.68-1.95-5.88-8.65*3.47,False
4.60.24/2.320.516.994.426.07/++---9.687.642.48/-,(6.07/4.42+6.99+0.51-2.32)/0.24-4.6-(2.48/7.64-9.68),True
7.084.70.72/-*9.092.85+*2.043.15-*2.740.470.2-*,0.72/4.7*(2.85*(3.15-2.04)+9.09)-7.08*(0.2*0.47*2.74),False
9.06.314.624.820.343.58.45/5.825.43-//-*--+-,5.43-5.82/7.28/8.45-3.5*0.34-4.82-4.62+6.31-9.0,False
5.81.494.2/+/9.03-4.663.237.02.984.550.17-*+**,4.2/1.49+5.8/(9.03-(0.17-4.55*2.98+7.0*3.23*4.66)),True
7.997.992.569.471.161.390.30.126.433.47**/---*-+,3.47*6.43*0.12/0.3-1.39-1.16-9.47*2.56-7.99+7.99,True
3.568.00.4--*2.17-5.51*3.958.025.67-/*3.686.0+,0.4+8.0-3.56*(2.17-(5.51*(5.67-8.02/3.95*(6.0+3.68)))),False
9.4+//1.971.721.867.60.824.987.821.83-+*/*-*,9.4+(6.25/(1.83-7.82+4.98*0.82/7.6*1.86-1.72*1.97)),False
5.926.950.694.267.074.545.49-*---/+3.096.464.87+/,5.49-4.54*7.07-4.26-0.69-6.95/5.92+(4.87+6.46/3.09),True
4.470.326.362.10.183.92-4.880.99/-/-//+**7.6,0.99/4.88-0.83/3.92-0.18/2.1/6.36+0.32*4.47*(7.6),False
3.33+6.455.19//4.29+/1.635.139.05+/1.615.96-*/,3.33+(5.19/6.45/(4.29+(9.05/(5.96-1.61)+5.13*1.63/7.58))),False
0.55.2+8.533.656.46.07*+--++*8.395.784.39+/,6.07*6.4+3.65-8.53-5.85+5.2+0.5*(4.39+5.78/8.39),False
4.348.333.88/++6.979.07-/1.984.80.98.225.57+/*+,3.88/8.33+4.34+(9.07-(5.57+8.22/0.9*4.8+1.98)/6.97),True
5.546.74.090.71+*/2.933.892.261.616.75//+*-*+,0.71*(6.75/1.61/2.26+3.89*2.93-4.07)+4.09*6.7+5.54,False
0.544.86.699.03*+++7.583.380.838.938.889.93/**//,9.03*6.69+4.8+0.54+(9.93/8.88*8.93*0.83/3.38/7.58),True
4.230.580.360.77--*-8.73+4.71+*6.17+3.81/*2.81,0.77-0.36-0.58*4.23-(8.73+(4.71*(3.81/7.09*6.17)+(2.81))),False
8.753.878.554.933.07-*-+3.766.52++7.689.351.29+/-,(3.07-4.93*8.55+(6.52+(1.29+9.35/7.68)+3.76)-3.87-8.75),True
8.611.811.3-/1.076.94*+-9.843.986.7*-/2.144.31-,1.3/(6.94*1.07)-1.81+8.61-(6.7*3.98/(4.31-2.14)-9.84),True
9.888.445.576.92.232.39/+/*9.999.496.197.44//+*-,2.39/2.23+6.9*(7.44/6.19/9.49+9.99)/5.57*8.44-9.88,True
4.84.938.13+--0.17.276.41+-+2.946.353.838.51+-+,8.13+4.93-4.8-(6.41+7.27-0.1+(8.51+3.83-6.35+2.94)),True
9.739.521.252.994.717.45/-*/++4.14-8.078.412.37+-,7.45/4.71-2.99*1.25/9.52+9.73+(4.14-(2.37+8.41-8.07)),True
3.140.87/**4.580.33*8.63.688.468.71-++/7.013.88+,0.87/3.14*(0.33*4.58)*(8.71-8.46+3.68+8.6/(3.88+7.01)),True
8.99.910.277.338.183.99**--+/5.484.289.749.96-/*,3.99*8.18*7.33-0.27-9.91+8.9/(9.96-9.74/4.28*5.48),False
5.79+2.982.056.16+//5.890.981.093.97.31*-*/-+,5.79+(3.99/(7.31*3.9-1.09*0.98/5.89)/6.16-2.05+2.98),False
2.95+/8.188.42-6.287.81-*6.379.013.017.339.08--*-,2.95+(8.42-8.18)/(7.81/6.28*(9.08-7.33-3.01*9.01-6.37)),False
5.456.272.39--/1.126.666.63///0.236.45+-9.628.58+,(2.39-6.27-5.45/(6.63/6.66/1.12/(6.45-(8.58+9.62)+0.23))),True
*1.326.852.342.752.469.77-/4.20.43/+-*+6.322.74+,(9.77/(0.43/4.2)-2.46+2.75-2.34*6.85+1.32)*(2.74+6.32),False
8.550.59.32.95*+/-*9.477.52+4.547.28-+1.554.63*,2.95*9.3/0.5/8.55-(7.52+9.47)*(7.28+(4.63*1.55)-4.54),False
0.051.53-8.983.919.767.343.52++--/-++0.298.39+,3.52+7.34+9.76-3.91-8.98/3.06-1.53+0.05+(8.39+0.29),False
*9.812.983.973.431.419.655.51---++-8.386.52-//,5.51-9.65-1.41-3.43+3.97-(6.52-8.38)+2.98/9.81/9.35,False
3.227.051.812.38-/++3.652.21+-7.77.954.452.86*-/,2.38-1.81/7.05+(2.21+3.65)+3.22-(2.86*4.45-7.95/7.7),True
9.793.712.055.344.315.033.862.984.754.83--*/+**+/,4.83-4.75-2.98*3.86/5.03+4.31*5.34*2.05+3.71/9.79,True
2.556.393.760.458.351.02-///--0.521.851.15+/+1.76,1.02-8.35/0.45/3.76/6.39-2.55-(1.15+1.85/0.52+(1.76)),True
8.364.773.615.281.53.316.224.938.643.3*/***//-/,(3.3*8.64/4.93*6.22*3.31*1.5/5.28/3.61*4.77/8.36),False
1.315.480.983.965.382.290.319.319.535.69*//*--+/+,5.69*9.53/9.31/0.31*2.29-5.38-3.96+0.98/5.48+1.31,True
8.353.886.123.683.03.09/-*/-+/1.448.572.32/-8.07,3.09/3.0-3.68*6.12/3.88-8.35/(2.32/8.57-1.44)+(8.07),True
2.8410.04.988.58.484.879.149.889.163.92//**+///-,3.92/9.16/9.88*9.14*4.87+8.48+8.5/4.98/10.0-2.84,False
0.056.238.052.491.968.494.374.535.354.49++///-+++,4.49+5.35+4.53/4.37/8.49/1.96-2.49+8.05+6.23+0.05,True
8.475.839.335.158.410.981.750.54-+/5.91.41++/*-*,0.54-1.75/(1.41+5.9)+0.98+8.41/5.15*9.33-5.83*8.47,True
9.578.424.892.71*+//9.92/2.426.88.519.01-//*1.67,2.71*4.89+8.42/9.57/(9.92/(9.01-8.51/6.8/2.42*(1.67))),True
1.922.621.45.83.38+--/+3.827.39+*8.682.619.16-+,3.38+5.8-1.4-2.62/1.92+(7.39+3.82*(9.16-2.61+8.68)),True
3.03+5.569.48.12/+*2.211.18//1.451.651.367.94-//,3.03+(8.12/9.4+5.56*(1.18/2.21/(7.94-1.36/1.65/1.45))),True
8.688.724.494.558.535.92.948.69--*//+/*5.199.03*,8.69-2.94-5.9*8.53/4.55/4.49+8.72/8.68*(9.03*5.19),True
