Original,Perturbed,Is_Equivalent
-30//-53758783,30-53/75/87/83,False
+++127024/6874,12+70+47+68/74,False
+*-144754*9110,14/47*54+91*10,False
-+-749076*5670,74-90+76-56*70,True
++-+6855521479,68+55-52+14+79,True
+30+28+40/1267,30+28/(40+12/67),False
-++/7533119080,75/33+11+90-80,True
+41-11/*311526,66+(11-31*15/(26)),False
--11*/3421033,11-3/42*10-33,True
/*9247+-624843,92*47/(62-48+43),True
+-8536-+313683,(85-36+(31+36-(83))),True
+/2727*/755076,27/27+75/50*76,True
/*/33093*6065,3/30*93/(60*65),True
+54-7--94452,54+(7-(9-44-52)),True
+//616034/2415,61/60/34+24/15,True
-53/93**894518,53-93/(89*45*18),True
++24*244/1645,24+2*44+16/45,False
+98*-3/551061,(98+(3-61/10)*61),False
++9897//961159,98+97+96/11/59,False
-/3018-+263694,30/18-(26+36-94),True
--/125781/6443,12/57-81-73/43,False
///30*21573126,30/(21*57)/31/26,True
-//698865*1684,69/88/65-16*84,True
+/2825*4+1527,28/25+4*(51+27),False
+-8818**411625,88-18+60*16*25,False
-+-+8758258547,(87*58)-25+85-47,False
----3340615934,33-40-61-59-34,False
+*211**582443,2*11+58*24*43,True
+-35**67321413,35-67*32*14+13,True
+--+5097752813,50+96-75-28+13,False
+++96/36334535,96+36*33+45+35,False
-+++109754235,49+9+75+42-(35),False
-58-12*/357948,58-(12-35/79*(48)),True
-/*83841*4191,83*8/76-41*91,False
+98/*1962+4177,98+19*62/(41+77),False
+43/*6818+8628,43+68*18/(86+28),False
*/-6985*6349,6/9/85*(63*49),False
+-+35/56789258,35+92/78-92+58,False
////2063967182,20/63/96/71/82,True
--*55472/3454,55*47-2-34/54,True
+/*946674-7876,94*66/74+78/76,False
-/+982538*4367,98*25/38-(43*67),False
-+*51587*5415,5*15+87-54*15,True
--/*1599104830,15*99/10-48-30,True
//2183/*53589,21/83/(53*5/89),True
+16+71**84313,(16+(71+(84*3*13))),True
-/*9997/311916,99*97/(31/19)-(16),True
++**397636574,39*76*36+5+74,True
/16-+-95675882,16/(95-67+58-82),False
+++/5946631286,59/46+63+12+86,True
-+/554752*2944,55/47+52-29*44,True
--+-58931977,5-89+31-9-(77),True
+-+9532/876477,95+59-87/64+77,False
++*1636*247839,(16*36+24*78)-39,False
-40/*/37754168,40-37/75*41/68,False
/--/7068672612,70/68-67-26-12,False
--30+*9161555,30-(9*16)/15-55,False
--9143/+164978,91-43-(16+49)/78,False
-/964+42*9762,9/64+(42+97*(62)),False
/--/957266939,(95/45-26-69)/(39),False
+45+/4758-2995,(45+(47/58/(29-95))),False
+++-5145193557,51-45+19+35+57,True
-/2612+-974416,26/12-(97-44+16),True
-+-499062/967,49-90+62-96/28,False
+//*1858613099,18*58/61/30+99,True
-93+*1192*6418,93-(11*92+64*18),True
/*1513++446189,15*13/(44+61+89),True
+//84467*6425,84/46/7+64*25,True
+-+232477/8991,23+24-77+89/91,True
--56/3194/5172,56-31/94-51/72,False
+++626249/5411,62+62+15+54/11,False
-46--/8328385,46-(8/32/83-85),False
-*/187546*418,(18-75)*46-4*18,False
+/2379/*18151,23+79+18*15/1,False
---/9578146234,95/78-14-62-34,True
-/7521+65/8319,75/21-(65+83/19),True
*6-49/49/6874,54*(49-49/(68/74)),False
+*7734/34-2216,(77*34+34/(22-16)),True
-35/2-+535813,35-2/(62+58-13),False
//*/271608768,2/71*60/87/68,True
-+-3882*408519,38-82+40*85-19,True
--*77114*45,7*71-14-4*5,True
*/-90747+3296,(90-97)/47*(32+96),False
+-2879-/631510,28-79+(63/15-10),True
++94*738*9061,94+73*8+90*61,True
++-+2399828780,23+99-82+87+80,True
+*9853//837699,(98*53+83/76/99),True
-+/+6945608370,(69+1)/60+83-(70),False
-/-3/22782520,3-22/78+25-20,False
+97/*4059*8155,97+(40*59/(81*55)),True
-+/395456*9739,(39*54+56)-97*39,False
//*952261-4317,95*22/85/(43-17),False
+75/**28749870,75+28*74*98/(64),False
/-+*9310827890,(93*10+82-78)/(90),True
++88/*33253154,88+90*25/31+54,False
+**775729*8164,77*57*29+81*64,False
+/575//2965,5/75+2/96/47,False
+--/7457442192,74/57-44-34+92,False
