Original,Perturbed,Is_Equivalent
-+*-/*/*60206913208264/871490,(60*20/69*13/20-82)*64+87/14-90,True
+++-+47874/51*5957*2834/4059,(8+8)-74+51/(59*57)+28*34+40/(59),False
--3942*/23-108++2631//256019,39-42-23/(10-8)*(26+31+25/60/19),True
++-41/*30/90867255+32/*54496,(41-30*(90/86)/72+55+(32+54*62/6)),False
+--++-50633963**472779/858795,50-63+39+63-47*27*79-85/87+95,True
+++-+*/8220306134/806333/2337,60/20*30+61-34+80/63+33+23/37,False
+-*/5202574*79-16++7128+8356,5/20*25-74+79*(16*(71+28+(83+(56)))),False
++-+-98///58657386986389-9526,98-58/65/73/86+98-63+89+(95-26),True
-/*992917++++43/74682*552727,99*29/17-(43+7/46+82+(55*27)+84),False
+/-****/8887781292337090*6869,(88/87*78*12*92*33-70)/90+68*69,True
++-+*7396/71*174239/*69372211,73*96+71/(17*42)-39+69*37/22+11,True
++*+24//67+27364573*352/278,(24+67/(27+36)/45)*73+35*2+2/78,True
++/1574//38766///*6263458156,15/74+3/87/66+(27*63/45/81/56),False
+*/92+-+40*--12734526848373,92/(40+(12-73-45)*49-8+48)*37+3,False
+---+//276556181/2822/265291,27/6/55+61-81-28/22-26/52+91,True
-**109235/-*3743/*702144-841,10*92*35-(37*43-70*21/44)/(84-1),True
--74///5692680****18527358,74-(56/9/26/50)-1*85*27*3*58,False
--92*/58+-27/26506142/65+2839,92-58/(27-26/50+61)*42-65/(28+39),True
*15++1086+*6472-+/743381*3760,15*(10+86+(64*72/(74/33+81-37*60))),False
---+31**/76584079837/*797215,31+(76/58*40)*79-83-7-79*72/(15),True
++2647/47--+*5999//35969362,26+47+47/(59*99+3/59/69-36-2),True
++-96*242782-/7363+-8475/7610,96-24*27+82+(73/63-(84-75+(76/10))),True
+--*87/8075715*60++68*371755,87*(80/7)-57-15+60*(68+37*17+(55)),False
-/6591/14+--95/*/69453568517,65/91-14/(95-6/94*53/56-85+17),True
+*1478*51+*2818+*5252*38+5966,14*78+51*(28*18+(52*52+38*(59+66))),True
++1990*12/*/671545+-66*8344,19+90+12*(67/15*45/(66-8*3+44)),True
--/**55364457/3053--/39358339,55*36*44/57-30/53-(39/35-83-39),False
-+--+-4539352*7352//74166327,45-39+35-2-73*52+74/16/63-27,True
-16//3638--12*6190*/*3313011,(16-36/38/(12-61*90-3*31/30*11)),False
-+-/4827/*36201458//-91696677,48/27-36*20/14+58-91/69/66/77,False
+--+--2373/5247/72499566*8212,23-73-52/47+72/49-95-66+82*12,True
+--43909///298953--/78834714,(43-90-9+53/89/53/(78/83-47-14)),False
+-++54//*61518664*237078/4983,54+61*51/86/64+23*70-78+49/(83),True
//6055-52/2/75-+-806090*9841,60/55/(52-2/(75/(80-60+90-98*41))),True
++++37++-+58/941561729359546,37+(58+94/15-61+72+93)+5+95+46,True
