Original,Perturbed,Is_Equivalent
+///626-744--708*-46833-402**210-254-529-569,626/-744/(-708--46*833)/(402-210*-254*-529)+-569,True
------/615264-804-264*/161-231-482-200531-856,615/264--804--264-161/-231*-482--200-531--856,True
-//843666-29+--811*/468171375//834242855,843/666/-29-(-811/(468/171*375)+(834/242/855)),False
+-+-+-342846/216-673-493226*+-14-83-742-516,342-846+216/-673--493+226--14*-83*-742+-516,False
-+-186-249+-952/211---+*-378-162-345927-986-635,-186+-249-(-952+(211/(-378*-162+-345-927--986--635))),True
+551*/724936--+-747-188-152/*-134-244818590,(551+724/936*(747--188+-152--134*-244/818-(590))),True
+332+-----254-161-514128-558-*-94363*-992733,(332+(-254--161--514-128--558+(-94*363--992*733))),True
+587/*/-110176782+--802/659-598/*-948682-245,(32+(-110/176*782/(-802-659/-598+-948*682/(-245)))),False
-*//+*/*-28474486-71952194/987-9698786,-284*744/86*-71/952/194/(987/-96)*987-86,False
--+----662-398-414*-964-239-96588-*-798315976,-662--398--414--964*-239+-946-88-(-798*315-976),False
--++-444-385125-916+-233*-294+-/-748-599-71-705,-444+-385+125--916-(-233+-294*(-748/-599/-71+(-705))),False
//**--372-40535465633+--+-726-819722-593532,(-372--405)*354*65/633/(-726+-819-722--593+(532)),True
**/*-334303911-/518-768//*186-266146905-68,-334*303/911*(518/-768-186*-266/146/905)*-293,False
-+-+++--/386-489545-557451711-716451171-517,386/-489-545--557+451+711--716-451+171--517,False
--348*/613**-793527+/*-365-545--706186992,-348-613/(-793*52*7)*(-365*-545/(-706-186)+992),True
+--*/-8-881586/199-260843///-492-322-78276,-8/-881*586-199/-260-843+-492/-322/-782/76,True
--+-359//-286802-385-128--657+-*86316894611,(-359+-286/802/-385--128)-(-657-(863*168-946+11)),True
+---555/-415574/*/301620-520416*-532+81442,-555--415/519-301/620*-520/416+-532*(814+42),False
-+++-+372*/308-865569272383/402262843159,372+308/-865*-482-272+383+402/262+843-159,False
+-+/677225387510*+*//901258358477-638-934,677/225+387-510+(901/258)/358*477/-638*-934,False
++-/953-392-436-906/*851-394+*120122/639211,953/-392--436+-906+851*-394/(120*122+639/211),True
*/-580160-128/729+--+718/-986626-42683-197,(-580/160*(128-729/(718+(-986/626)--42-683+-197))),True
--/468-*/197-407992283--646783/454+379619,468/(197/-407*992-283)-(-646-783)-454/(379+619),True
+593+--/-517-218949/699-812*//-787-789-760201,593+(-517/-218-949-699/-812+(-787/-789/-760*201)),True
---+-+/-439642-908/-489-941772-644/334-817-148,-439/642+-908--489/-941+772--644-334/-817--148,True
+--811*457-559/852-+368*439732*244/-328-14,-811-457/-559+852/(368+439*732-244*(-328/-14)),False
-+--+----77-957-696/-976972-553-848858-603494,-77--957--696--976/972+-553--848-858+-603-494,True
//*-45334-369-***512939*/-239-762302-202-374,-453*34/-369/(512*939*(-239/-762*302)*-202-481),False
/+101-745*//593--712/189-399131-788/-187933,(101+-745)/(593/(214-189/-399)/131*(788--187/933)),False
-++--+-930/-144-613-7/217-55*591-564311406,-930+-144/-613--7-217/-55+591*-564+311-406,True
---+/-837-817*37640-417*/-982-7904*900-806,-837/-817+37*640--417--982/-7*904-900*-806,True
----*/-14656-751852-734*-382949//-913-958824,-146/56*-751-852--734--382*949--913/-958/824,True
+-+++--26945-906-601-146-506**877-64/999572,-269-45+-906+-601+-146--506+877*-64*(999/572),True
-+-115//116613-592--/923-202/*78330-1000-518,-115+116/613/-592-(923/-202-783*30/-1000+-518),False
--++/58193286/-205-900//*-433-655232811138,581/932+86+-205/-900--433*-655/232/811-138,True
+++/942722-946406/+/94366-227-/856-109-722,942/722+-946+406+943/66/-227/(856/-109-(-722)),False
+///*//-647-798-367551126704+/-249-567-309537,-647/-798/-367*455/126/704/(-249/-567+-309)+(537),False
**//+-278//**520430980515-921-509-540186760,(-278+(520*430*980/515)/-921)/-509/-540*186*-787,False
++-*197-777-161*-420-922/-567+++-178-555-251-706,(197*-777--161+-420*-922)+-567/(-178+-555+-251+-706),True
-+-545127*872+/-346--+887/-35617428725740,-545+127-872*(-346/(887+-356/174-287-25)+(740)),True
+-/230-95/98-*957-956361/*/-520-727-748450,(230/-95-98/(957*-956-361)+-520/-727*-748/450),True
+*//-518+783685*//535536*-296282802-56341,-518/(783+685)/(535/536/(-296*282)*802)--56+341,False
+++-772-+*224147/-784-400-931-677--803+-752-277,-772+(224*147+-784/-400--931)+-677+(-803-(-752+-277)),True
+*-664953-189+-+-+89815*-701-144475785-208,-664*953+(189-(898+15--701*-144+475-785+-208)),True
--*288-155111+---302/-127480955*863-729-520,288*-155-111-(302--127/480-955-863*-729+-520),True
++-97/-416-652/31-+-+-624/862790-51-566-638,-97+-416/-652+31/(-624+862/790+-51+-566--638),False
+212/+/-635-414-399++-898/-569*584964/603780,(212+-635/-414/-399/(-898+-569/(584*964)+603/780)),False
++128-934---933-567*/951-744//-303-242994513,(128+-934+(-933--567-951/-744*(-303/(242-994)/513))),True
-+++++--687*695180-385/-935-703649-293222-999,-687-695*180+-385+-935/-703+649+-293+222--999,True
//-988948-*/501--829/*969-18-728-692/890-830,-988/948/(501/(-829-969*-18/-728)*-692-(890/-699)),False
+----988508638424/*/+562769-29-168/-259-516,-988-508-638-424+(562+769)/-29*-168/(77/-516),False
+330-5+--+-820251-460849/*-553-741/587484,330+(5-(-820+251--460-849+-553*-741/(587/(484)))),False
-+-+-7-839273/*-634604-82//*-256-180788-335,-7+-839-273+-634*604/-82--256*-180/788/-335,True
+-+-580/**25774-554588234+673*/-499-138-838,-580+257*74*-554/588-234+(673+-499/-138*-838),True
-++-+-390762/**178-221-144-669207*2285367,-390+762-(178*-221)/-144/-669+207+22*853-67,False
+/**43+541448878-526*47+*/707-127684740,43*(541+448)*878/-526+47*(707/-127*684+740),True
-174////**596663183450-710+--257758740-196,174-596*663*183/450/-710/(-257-758+740)/(-196),True
---+-151-697*//*364-920-16-475-270/925-230-671,-416+-697-364*-920/-16/-475*-270-925/-230--671,False
-----107-141135762///-110758-684+--476-708-655,-107--141--910-762--110/758/-684/(-476--708+(-655)),False
+----325930/-840-378//468-167369//605-39968,952-930--840/-378-468/-167/369+605/-39/968,False
-811-+-497--947*/-22/*/-24745048-630593925,811-(-497+(-947--22/(-247/450*48/-630)*593)-925),False
-+--//*-495-828*833-205-858-824-38*-570804668,-495*-828/(833*-205)/-858--824--38+-570*804-668,True
*-27+-1-53/*594492*/**183602306374-253,(-27*(1--53+594*492/(183*602*306/374*-253))),True
*/295884+++/195---437721-681516-926/-701-231,295/884*(195/(-437-721+-681)+516+-926+-701/-231),False
++/-631+/205647192*122-699/426+--287297306,-631/(205/647+192)+122*-699+426/(-287-297+(306)),True
-/-256+-241*-371-86--385++-107/540206+869743,-256/(-241+-371*-86)-(-385-(-107+540/206+(869+743))),True
+---+704/*-840-34-802/--578963-38583541957,704+-840*-34/301-(-578-963)/-385-835-419+57,False
-+*-464-691*-919-198---32-26*/43321+66-43,-464*-691+-919*-198-(-32--26-43/231*(66+-43)),False
*-7++---/564817*-86696-378493166--777-122,-7*(564/817--86*696--378-493+166+(-777--122)),False
+*491602+-836*361++-977329/-249++604162214,491*602+(-495+361*(-977+329+-249/(604+162+214))),False
