Original,Perturbed,Is_Equivalent
-++-++8192*/714366/*//32320656113*2536*887,8183+7143/66*+3250/20*65*61/-13+2536*+887*-,False
+-+-++++2643**128563577/6491**52561*233528,2643+115*31*+35+77+6478/-5256*1*/2335*-28+,False
+++----/3251/10131*/53186331*2679//4053614,3251/451/-24-5318/63*-31-2679*+4053/6/+14-,True
-++-+---707443*3433//*1327033/1234*2172412,7074*43-3433*-132*70/52/+1234/-2172*+41+2-,True
+/--++//20737754673/**48144544*7555**931735,2073/77/5+46+97-4863*45*44/-7542*-9317*35*+,False
--+--++-3732/46639/**219224*974152+704130,3732+4663/+9+2170*2*4/-8041*-52+7041/-30-,False
+--++--+2/*91043/8053*517176/*856319887141,2910*43/+4653/-371*-76+8563*19/+88-71-41+,False
+-++---/951373///94131219*26385550/6870/375,9513/50-9413/12/19/-2638*-55+50+6870/-375/+,False
-+++-55//893616//*65235239*/346686//21582730,558936/87/-6523*52/52/+3466/86*+2158/27/+30-,False
+---/**48783999**/*8694837472*127722**103825,4878*39*99/8694*83/74*72*-1277*-22-1038*25*+,True
+-++-++24/4491//*8845624//742149*2144864783,244491/+884*56/24-+7421/49/*2144*+86+47-83+,True
+++--++37/20914838**17122320/382***2297757,147091/+48+38-1746*23*-20+382/+2237*7*57*+,False
-++-+**52397*281711*-755817/*243755**36717,5294*7*2817*+11-7558*17*+2437*55/+367*17*-,True
+----++--88//10883815/*52268024428232/1314,881088/38/-15-902*26/+80+24-42-82-32-1374/+,True
-+++-+++****31264702115*141423*111739195215,312*64*70*21*15+1414*+23+1117*-39+24+52+15-,True
+-+--++//*7315668355/7231/9782/*25637493579,7315*66/83/55+8131/+9782/-2563*74/-9+35-79+,False
--++++-61/**666017181567*//45897595*1029164,616660*17*18/-15+67+4589/75/95++1089*+91-64-,True
++---+/51902158/*717925**3046525/**67884987,5190/21+58-7179*25/-304*65*-25+6788*49*87/+,True
+-+------69741317/1427*9285959/*/627994581,6974-13-17-927/-928*-59-59-627/80*45/-81+,True
++---+-8459*/6201128*//31418928/2664/103215,8459-620/11*+28-3141/89/68*-2664/-1032/+15+,True
++--+-*4694/*93407465*/2613721///76268933,4694*9340*24/-46+5-261/37*-21+7626/89/33/+,True
++---+*/*/64598333/564/451133/69538*9679,645/98*3/33*564/+4511/-33-6983/-8+9679*+,False
+------758929/*/*9421070375*4068/*2955199,7589-29-942+10/70*3/-75-4068*-2955*19//7+,True
+------29/9224*/*2521597833///426454646988,299224/-9421*59/78*-33-426/45/46/-46-9-88+,True
+------+++91*43555625/933991/5967*89969421,914355*+5+46+5-9339/-91-5967/-8996*-94-21-,True
-+--++-54///344331742514*/6576657/*93935617,543443/31/74/-25+14+1876/6*-57-9393*56/*17-,True
+-+++--4038/688253/498594/394***/2752166861,4038*6882/-53*4985/+94+394/-7352/16*68*34*+,False
-+-+27/*70508+/*66935471/*/*5320462726*7770,277050-8/+6693*54/71/-5377*46*27*26/+7770*/,False
-+-+-+/738//*88389966/4763535730*/*46691650,738/8838*99/66/+474/-53+57-30+4669*16/50*-,False
+--++++++85-46943993/778*/99743/862646170,274694/+39+93+778/+97/43*+8626/+46-1-70+,True
++-++--/3866*8021/643/*154985547*8087*5185,3866*8021*-643/-1549*85/+54+7/8087*+5185*+,True
-+--+592046/1723/7195*/*/**/293169294843422,5920+81-1723/-7195/+2931/69*29*48/4*34/22*-,False
+--+-34/*82878/**93825197688/**/9255383329,199228*78/-9382*34*9/+76-88-9255/38*33*29/+,False
