Original,Perturbed,Is_Equivalent
-4.7-74.76-9.26-44.08-21.65+*++,+-21.65/-44.08+-9.26/-74.76-4.7,True
-6.47-61.92-6.55/-*//-,*13.4/70.98/-6.55/-61.92-6.47,False
-83.59-92.1127.81-59.82/+++-,+-64.07+/+27.81--92.11-83.59,True
50.77-18.297.636.35-96.68-/*-,--96.68/6.35/97.63--18.250.77,False
45.9-50.26-0.6352.6782.26*+**,*82.26*52.67*-0.63*+45.9,True
-90.55-11.45-11.6-11.56-56.57-+-*,+-56.57/*--11.6+-11.45-90.55,False
70.28-79.2199.46-25.25-99.11*/**,--99.11//*99.46*-79.2170.28,False
-96.17-29.74-87.3-79.21-38.43-+++,--38.43--79.21+-87.3+-29.74*,True
98.08-62.1-73.02-34.16//-+/,/15.64-++-73.02/*98.08,True
-98.81--71.21.534.11*/-/,*4.11/1.53*-71.2/-7.86-98.81,True
/78.08-81.6340.32-94.14*-*+,*-94.14-40.32*-81.63+*15.39,False
14.282.71-40.9985.9611.46-*/*,/11.46-85.96/-40.99*82.7114.2,True
-91.83-25.45-97.1-70.11-0.82/*+-,+-0.82*-70.11+-97.1/-25.45+,False
-91.66-71.42-95.2334.0973.82*//-,+73.82/34.09--95.23--71.42-91.66,False
-2.0-2.6657.27-66.25-88.77+**+,+-88.77--66.25*57.27+-2.66*,True
-99.85*-82.8150.112.18***/,-12.18*50.1*-82.81/67.91-99.85,False
-91.4536.46-37.8860.57-93.47*-//,*+-60.57/-37.88/36.46-91.45,True
-99.9-64.19/-92.4-1.76-*/+,--1.76*+/8.17--64.19+,False
-19.0539.68-84.18-52.6574.76*/-*,*74.76/-52.65--84.18-*+,False
-14.2889.953.0479.4650.4**/+,-50.4*79.46/53.04+/-14.28,True
13.74-35.66-3.8217.47*/-*-,/45.62*-*/--35.6613.74,False
-18.5894.3253.57-55.8-56.76++-+,/-56.76+-55.8-++94.32+,True
-94.873.4419.8452.0-58.06/+/*,/++52.0/19.84*73.44-94.8,True
56.4757.22-28.3549.52-43.07+--+,+-43.07-49.52--28.35*57.2256.47,True
-89.29-91.512.93-81.0614.08--+*,-14.08/-81.06+12.93*-91.5-,True
-32.8886.1488.59-80.98-+-+-,+74.86--80.98+88.59-86.14/,True
5.122.3890.2131.82-31.8/--+,/-31.8-31.82-90.21+22.385.1,True
-38.25+--84.6129.61-+/-,-29.61+-84.61-87.83-90.14-38.25,False
-22.37-41.39+-51.0-+-/+,+---51.0/67.04+-41.39-22.37,False
51.37-66.2934.68-47.1-64.0*+/*,*-64.0--47.1-34.68*-66.29-,True
+-35.19-45.51-37.93-39.18-+*-,--39.18+-*-45.51+-35.19/,False
37.32-17.3336.71*25.53-*/+,-25.53--66.1/36.71+-17.3337.32,True
-64.4438.8229.73-49.2495.8/+-*,/++-49.24-+*38.82-64.44,True
*37.38/-4.3783.63/-/-,/83.63--4.37+-51.7-37.3892.81,False
9.66-29.450.19-18.04-98.47*-+-,*-98.47--18.04-0.19+-29.459.66,False
-25.09-77.78-85.4482.24-76.39++-*,/++82.24--85.44*-77.78-25.09,True
45.07-40.03-45.384.55++*-+,*27.06*4.55-++-40.0345.07,False
-25.9264.7676.85-3.43-31.64+*-/,+-31.64*-3.43--/64.76-25.92,True
-7.88-55.2659.77-18.14++-*,++++-59.77*+-7.88,False
52.88-56.6354.2165.5339.48/*/-,/39.48*+/54.21+-56.63-,False
67.7758.53-59.1446.01.99++-*,+1.99+46.0--59.14*58.5367.77,True
-96.8880.7436.3723.54-72.06+-**,+-72.06-23.54-36.37*--96.88,True
-93.0222.95-6.4527.6-51.64/*+-,/-51.64*27.6/-6.45-22.95-93.02,False
/61.91-88.0-18.6932.51++-+,+32.51+-18.69-*+61.9147.48,False
-12.3359.7317.85-44.18-83.8*-/-,*//-44.18-17.85-59.73-12.33,True
-88.74-86.3162.4378.91-23.47*+//,/-23.47+78.91*62.43/-86.31-88.74,True
2.51/-23.7526.09-45.42/*+/,+-45.42-26.09+*/66.31-,False
-17.08-63.2580.2740.26-16.62/+++,/-16.62*40.26+80.27+/-17.08,True
/-33.71-95.9781.7-18.82-*/-,--18.82-*/-95.97--33.7182.81,False
26.1651.733.274.4320.28-/--,*20.28/74.43-3.2/*26.16,False
69.0-60.0513.96*-19.47-+*-,*-19.47+-40.34-13.96+-60.0569.0,False
-30.11/-12.45/-76.06-//+,--76.06/-88.48//+-14.18-30.11,False
