Original,Perturbed,Is_Equivalent
+*/73-81-28/-5485,73-81/-3*-5471/+,True
/++--6594-30-63-23,-6594-51-45+-23+,False
/++/-37155893-68,-3715/58+93+-34-,False
--+/-838-2-87-42,6538/-2+-87+-42-,True
*--+-8762799-34,-8762+91--12--34-,False
+--7/-81-39-2540,51-81-39/--25-40/,True
---71//31-97-7491,-7131-3/-74/-91-,True
--+/4042-8351-69,4642/9+51--44-,False
++*639013*9844,8990-13/9844*+,True
+/*/-94-6868-3348,75-68/68*43/48+,False
++-94**-375655-96,-94-3756*55*+-39+,False
-/*7092/32-73-35,7092*32-73/--35-,False
-**14-38-19/8256,39-73--19*8256/-,False
+//5312-42*-75-9,5312*-42/-75-9*+,True
*-**-77336-47-27,-773*36*-47/-27*,False
-*/*39-7593-26-91,39-75+93/46+-91-,False
--/*-33-23-56-4697,-33-23*-56/-46*97-,True
+*/-682286*7273,-682*86*7273*+,True
+++-72/2495756,-72-5280*+7+56+,False
-*24-48*/-24655,24-48*-246-8*-,False
+++-7-57/44-6538,-7-57+44-65/+38+,True
---8493-13/91-97,8493*-41-91-97/-,False
/+-8047*/474-49,-8047+474/-49*-,False
*/*/376182-26-5,37-82/42*-26/-5*,False
--38//76-42-59-63,3876-42/-59/--63-,True
/+-21*6278/98-83,-211578*+98-83/+,False
--+/7339-369566,7339/-36+93-66/,True
---15*43-9*6741,-1543-9*--58-28*-,False
-+*85-122*-5892,-1979*22+-5892*-,True
+-/-60-96/22-17-42,-60-96-22-17/--42+,False
--5281**20-897,8581-20-8+97*-,True
-+---70-68645190,-70-68-64-51/90-,True
-**/91-6-14-45,91/-6*36*-45*,True
+-*953/-5222,-794*-522+-2+,False
-+*1636/-7726-9,1636*-7726/+25-,True
--25*51-7*-3632,2551-7*--3632*-,True
//**3978-564682,3965*-56*46/82/,True
/96/*/-62-161925,96-62-16/19*-62/-,False
-+89*7-94/-5072,-40761*+-5072/-,True
+*//-10-4631-59-93,-10-46/31/-59/-93+,True
-+-*-60-1930-43-10,73-19*30+-43+-10-,True
-+--58+79-2721-44,-5879-27/-21+-83-,False
-+--68-53*-8-42-58,-68-53--8-42*/-58-,True
-+/254-99/-4888,254/-56--4888/-,True
+-39//38-1759-63,-438-17/59/--54+,False
--87**/-8916390,60-89-9/-65*90*-,False
---77/-37-34-2864,6611-34/+2864*-,False
--/52992/3462,-5899*2--6862/-,False
--439*-81-2017,8539/81-20/17*-,True
--+*-45277283-58,-4527*72*83--58-,True
+/-57-62**-585045,-5735*-5850*38*+,False
--18*-7478-3070,18-7478*-3070/-,False
-+-49-41/+6064-70,78-41+6052*-15/-,False
+-+45-9831*-222,-69-98+17--22-15*+,False
/*/*-44-79-94-2746,-4481*-94/94*72/,False
-*7247*/-5750-45,7247*-5750/-45+-,True
--+-7181*-87998,-7181+-879*-98-,True
++*9945/59-21-73,9945*-57-21/+-73+,False
-//*61-69-1888-28,61-69*89/88*-28+,False
-*9761*/30-15-71,9761*86-15*-71*-,False
-+-/-100-43-67-525,-100-43/-67--5+25-,True
*--34-95-55/-19-13,34-95--42--19-13/+,True
-+*2214-48*305,2214*-48+30-46*-,False
*///-99-297673-21,-99-29*76/73/-71*,False
-+--40-9582/-2384,-40-95-82*7618/-,False
++-+13-842544-5,13-63+25-44+4+,False
++/*1641-78-92-79,16-61*-12/-20+-79+,True
+-/756254*42-43,-2362/54/-66-43*+,False
-34//*67-37-66-93,3267-37*-49/-93/-,False
-++57-71-45*15-87,57-71+-45+15-87/-,True
++//4-85-93-54-28,4-92/-93/-54+-28+,True
++--949968*67-98,-94-34-68+67-73-+,True
+--84*37-92/9978,-8437-92--9993/+,True
-*/*6021-50-87-72,6021*-50/-87*-72*,True
--+157/33632,157/3363/-2-,True
-+-94-81-39*-8453,-3617--39+-8853*-,False
+-+/80-51-231-48,80-51--65+1--48+,False
/++*-38-15-11-4528,63-15*-11+-45+28+,False
/*//1274604641,1274/60/58*41/,False
+-+56*-28-23387,56-28-2*+33-87+,False
+*3821/*5365-56,3821*5342*-93/+,False
-+20/21-57/-82-45,-82-68-57/+-82-45/-,False
+**899097*532,89-28*97-532*+,True
++--9/5027-7785,175027/--77+85+,True
--+-6952/-39614,8152--396/+14-,False
++-447*-42512,44-2--4251*+2/,True
--+-35-75-214-60,49-75--2+14+-60-,True
++--86-100*7954-2,-86-100-7954*+-2+,False
-----6348-1844-47,-6348+-18-44-68-,False
+/*-68-7570/1621,54-75*8+1621/+,False
-+/-75-8987*44-31,5-89/87/44-31*-,False
++-/-97-811921-12,-97-81/19-21+-12+,True
++-58-4-59*4717,34-4--59+6817*+,False
-+*-4594/197127,-5394/1971/+7-,False
++-10//-9-224017,-10-5741-40/+17+,False
/+*-193046/-22-95,-1930-46+-22-95/-,True
+-**72067-2682,72-100*67*-26-82+,True
+/*77-6672/-30-14,91-66*72/-30-11/+,True
