Original,Perturbed,Is_Equivalent
+^3081+19-8541,302^198595-/+,False
+*7821**3367,5921*336*32*+,False
+^932**444316,937^5466*16*+,True
++5539*87*4517,5539+874542**/,True
+^-5538^99292,5538-992^*92+,True
++1050/36^692,4650+36692^//,False
--64*31^16252,6431162^*-52-,True
++36--83984668,364798-46-+77+,False
+-*9369^77295,9369*772^*50+,True
-+51*3747/5830,513747*^5832/-,True
^*23^511/1091,23511^*1098*/,False
--*/962139765,962^11*97-65-,False
-+*494426^702,4944*42/702^*,True
++75/1732*61,341732/-151*+,False
++31-59^11155,9259901+*+55+,False
//*202320/2216,923*17/2216//,False
-/55^142^1565,55282//152^-,True
-+^971-54229,901^542^+29-,True
-/7049/*367352,7049/6473*10/-,True
-/4498/*949444,4698/9494/44/-,False
+-4024**761041,2824-7610*41*+,False
--62/27^29190,9127291^/-90*,True
--^471/151350,471^4040*-50-,False
+-^92/8263737,928255/-73-7*,False
+^962+16/1124,792^161124+++,True
+^5574^*94892,551^7689*2^/,True
--^77224-8475,772^24-8344--,False
+-+2112^82211,2112+262^-11-,True
--*745385*2985,7458*63-2985+-,False
//4825++864756,4825/8647+56++,True
-^251^^24257,661^242^57/-,False
-+^7^9222445,87922^^4+45-,False
--/345814*8888,6258/14-488*-,False
-+/*1660266581,1668-26/32+81-,False
--/5391^50255,8891/502^-58-,True
-+^832^25272,832+252^+31-,True
+52+*43^77114,5243771^*7-+,True
+^552-98+7680,552^987680--+,False
++36^722/8685,36722^+8685^+,True
/-*28^7328659,28732^*86-59+,False
-+^444^6124,441^61^^26-,True
-12//+46567240,124656+72/40--,True
^-+7922^12141,4822+1293^-41-,False
--*142^7313,1479^981^-3-,True
-62/**92727875,629272*78*75*-,True
+-72/8277/9158,728277/-9129/^,False
+72/42-/253090,72422530/90*/*,True
+/*6382^95137,6323*221^/39+,False
-**8498^77140,2698*771^*83-,False
+++19*2259503,842265**50+3+,False
/82**2049^282,822080*22^*/,False
-+^672/864786,672^8644*+71-,False
/*/*1191435122,7091/43/51*22+,False
-**45448*1154,454*48*1154*-,True
-+^132^611,952^61^+1*,True
*+^23281+962,232^81+9654^-,False
-/2982*24+697,2982/243451+^-,True
--26/81^79295,4681792^/-95-,False
--^27157^752,271+57*752/-,True
++76^311^952,76311^+9569^+,True
*50--2482*691,502482-691^-*,True
-+^42285-9560,422^36^9560--,True
-^342*/783734,412^7853/66/-,False
*^+57^2022735,44202^+27+35*,False
-/49^471-2723,49471^/2751-+,True
++9821*73^892,921+73892^*+,False
++*12^7026387,127034^*63+87+,True
-*63^572^71,635755^*71^-,True
-/*-5080901167,5080/5*11/67-,False
+-+-9116595889,9116-59-58-89+,True
++^30161*4629,301^61-4681*+,True
/*53^201/5846,532046^*5846//,False
*-+^211514044,211^51-40-40-,False
**/612060^571,6120/60*571^*,True
-//473^41172,473+971^/72-,False
/12-+27^39272,3545722^+72-/,False
-**^168959935,144*95*99*35-,False
--**1571442037,1571*44^30-81-,True
-^701*85^6050,701^85111^*-,False
++-^512676218,512^67+62+33+,True
*66-/15^64175,6617721^/75-/,False
++*/161536498,1646-3^64+98+,False
-*+4^271165,4271^*16-5-,False
/+/2050^81284,3250^812^+84+,False
-+9189//596574,9189+5965/79^-,True
-//75963/1830,759+63-1830*-,True
--+1785^33121,1764+331^-21-,True
-68-^502/9196,68502^9196/-*,True
-27*//45381618,278538/16/18*-,True
++/82^4916984,25491^/69^14-,False
^-^591^67225,591^672--25+,True
++6084*/975870,6025-5058/70*+,False
-90*62+^71178,662930^85+*-,False
+46/18-/152496,46431537/96*/-,False
+--652869/9019,6591-69-9019/-,False
/1-+6519^621,16348+181^-/,False
-///4222492073,5922/56/20/40-,False
+/+86383/7568,863+83/7568/+,True
+**2113^99145,2177*991^*10+,False
--/7635^27222,535/272^^22-,False
+^592*/8461,592^2046/86*+,False
+80+49-^5912,801591^2-++,True
+++^301715129,311^71+51+29-,False
+47+59-*37936,47591667*36*++,False
++-9442/451073,942-4510/+73+,True
-^442/17+9020,432^909020^/-,False
+-++9715928584,9715+92^85+84+,False
-*90^292*692,52552^-692*/,False
^/59^525*4787,5952//4787*^,False
++^70284/3798,382^84+3798++,False
+/*627836+2626,6278*36/2662++,False
+^122*56^741,122^56741^-*,True
/14**2585^222,142585*7824^//,True
++59/7010^641,757010/+641^+,True
-+//19894178,159/89/41+78-,True
+-*15^619277,1561/*92-81+,True
-33-^161/1291,84161^1246/--,False
---^85258798,852^5-87-3-,False
--/202555*6861,2025/55-661*-,True
-++1215^29176,1215+291^+75-,True
*71+--4578020,71457-80-20+*,True
+++46^2519456,46251^-94+56+,True
+^41/91^551,41^91551*/*,True
+-*103896*4111,6638*96-4111*/,False
+6/20/32*9946,620329931*//+,True
-+-67791^711,677-91*71^-,True
-+5451+^69297,5451+692^97+-,True
----1915732024,1915-73-20-45-,True
-+/6^7316786,6731^/67+86-,True
-//94172/6292,9417/2/6249/-,False
+/7317*-959219,7717/9536*19*+,False
+-27-8494*6339,27694--6310*+,True
+-/85^9763908,85971^/90-8+,True
++^861*646764,861-6467*+64+,True
-+^151^80236,472^8028^+36-,False
+-*268065/4837,2680*65-4837-^,True
/-9714/40^3157,9714-403157//-,False
+-^152/933130,152^9331--30+,False
++39*36^2175,393421**+73+,True
++^382^86212,3821^862^+90+,False
+-5345/43^732,5345-437314^/+,True
-1+50//248990,1162489/90*++,False
-+*22^991722,22991^*94+22-,True
+-+17/3751323,179840/+43-23+,False
-/6497**97836,2497+978*78*-,False
^--93^7215647,93591^*73-47-,False
^--^1822566,1881^2-5-66^,False
++*52432-13,5243*2+331-+,True
+^752//576377,802^5763*46++,False
+^3075/*471576,3075-5915*14/+,False
--73-6680/9461,736680/-9461/-,True
++11+7546^271,111046*+271^+,True
+--^71240932,712^40-93*17+,True
--+212^66194,212^661^-94-,True
--7931/+935891,7931*9318*91--,False
+^89*3587*1861,554087*-1861*+,False
+29--*6638270,293838*18-70-/,False
-+^4514/3059,451*4+3059/-,True
+6*53+87^7034,62587131^+*+,False
-+1337+^94211,1337+6545^49*-,True
+81*//28815553,232881/55/53*/,True
-+^661^31241,661^312^+72+,False
+37+/8293*4284,378281/4284*++,False
++-6599^83244,6599-752^+44/,True
////2122283559,2122/28/21/59/,False
+-^^282448633,282^44+86-33+,False
+++32867*1549,328+66^1549*+,True
-++153*333126,153+3331++26/,True
+57--^81326810,57811^31-10^*,False
+++601515/7293,1215+15+7250/+,True
-+**3867984679,9267*98^46+79-,True
+^11**173436,11^1734-35*+,True
//6458+72-6531,1858+726559-+/,False
+-+^2313153,391^3+1^53+,False
+//2726^18174,2726/1872^/20+,True
-58*49+^28156,80782875^56^*-,True
-*/354917/7373,3549/59*7373/-,False
-+*/2774824192,2774/48*41-92-,True
+*6198//251793,6147*2526-93/+,True
+68-91+40^952,689140952^+/+,True
*/790//791070,725/7910/70/*,False
-18--^5818394,185829^85-40--,True
+7--52*968856,71527188/-56-+,False
+++223843^1578,2238+48+1548^+,False
---88*553514,88413*-51*4-,True
*+-5383^58277,5383-582^+77+,False
--^39^4615493,39461^*54-80-,False
^*/*2243364695,2243*36/46*95-,True
-++7444^48117,7444+481^-17+,False
+79-+*6129984,791229*28+1^+,False
+--98^281825,98281^*82*5^,True
/69-+9695/9675,387095+9666^-/,True
^+42*4193/2043,424193*+2043/-,True
+/*997415/5438,6774*15/5438^+,True
-^362*94^578,362^945734**-,False
/60-28//7763,6028897/63/-/,True
-^432+-167435,432+1674-35+-,False
++/740^40257,95/402^+11+,False
+80+-9831^551,375531-551^-+,True
-+-+6059261649,6035+26-16+49+,True
*23--^6128821,23102^88-11-*,True
++/893680*4464,4036/33+6121*+,False
--1*8369/9511,14269*-9511/-,False
++*86^9825871,86302^*33+71+,True
+*//9677773667,9696/77/36*67/,False
-*77^762/3673,27762^*3673/-,True
+++178891/9293,3966+91+6793/+,False
++57/60^10135,5760801^/+35+,True
++16^+2042155,162042+52^+55+,True
--64*32^46178,6471461^*-78-,True
++70*1^41276,701412^/+12+,True
-*8^691+3274,8691^*3274+/,True
*-^551^4116,551^531^-16-,False
+^142/*36684,142^366*84/^,True
--16^911*2462,86911^-246*/,False
-^/20844/821,208/44/821/-,False
+-311-^832388,311-8423/88-+,False
-10**1132^5197,101132*511^*+,True
+-45*/3824132,453824/94*-2+,True
+10*/*28713437,102871*34/37^+,True
--^372*713581,52^7135*-97-,False
--43/7962^931,438462/-311^-,True
++**9911985193,5911*98*51+76+,True
--^732^40217,732^402+-31-,False
++83/8875-5990,468862/+5963-+,False
+-+23/646518,236452/+90/93+,False
--50/411^752,28420/+752^^,False
//2978/*442433,2978/4424*33-*,True
*-82/7178*3376,407178/-3376**,False
+++^111354655,111+35+46-30+,False
+-^49133/6258,6190^33-6258/+,False
+-/8891*8347,889/1^8355*+,False
/**/967778098,9632/7/80*98/,False
-^3448*/938726,341^9387/16*-,True
+///7656868259,8856/86/82/59+,False
--83/267/9591,29267^-9591/-,False
-+-88^552746,88552^-74+6-,True
--/46554/3662,465/54-3635/-,True
-/-/8327123970,8327^12-39-30-,False
-++-371958991,371^95+3+96-,False
+/9337/97*662,6337/78610*/+,False
--^8628^18293,592^182^-93-,False
-*4374*46+961,9674/46961^*-,False
-79/*/79583627,637958/36+68/-,False
///9535-208410,9535/4284-/63/,False
-+76*651^1386,766554*+131*-,True
-81-+6291^692,818991+52^--,True
-*/597651*8766,5976^13*8766*-,False
+^211+13^92,211^13622^-*,True
-*41^221/6325,41221^*3025/-,True
+-^16187/9136,161*87-9136*+,True
/5-+16/23180,516231^+80-/,True
++3377/43^512,3377+43512^/+,True
+6-^691/3798,6581^6398/-^,False
-+36*525^221,36525++221^-,True
---90/17305290,901730/*24^90-,False
+^6155-^52273,611^522^73++,True
-/^74164/3427,741^64-3416/-,False
--2293-*173720,2293-1787*20^-,True
-^242/-931372,242^9313^72/^,True
-^372*/58457,3784^584/33/-,True
+98--^151333,98151^3-33++,True
++61/1119*9114,611185/+6119*+,False
-/-/833736299,833/73-62-99-,False
-+/*297749856,2950*49/85+95-,False
+*8461/95+3816,8461*953816+/+,True
++^72156^211,721^56+211^+,True
-+1442-*748999,1426+7489*99*-,False
-++34242^242,3424+2+4011^+,False
+^-^75220241,752^20-2^41+,False
+-8^682-3033,8202^-6533-+,False
--5944-*78166,5944-781^66-*,False
-^531*/92476,981^924/76*^,False
-+^592^63155,382^631*+55-,True
+60*57+^669633,60576696+33^++,False
--*741*418238,741^4182*-13-,True
+-/1511^90288,1511*9016^-88/,False
+-63*2126+7321,753726*-7327/+,False
+*11^832^892,40832^*8956^+,False
-+6777/*939556,6777+9323*68/-,False
-65/**7434986,833834^98*6/-,True
/*3748^+63932,3748*6393^2^/,False
-+-71*18716214,501871*-62+95-,True
--29^4*616142,29496161**-42-,True
-+^581^59230,581*592^+41*,False
-/*70356/1356,703*56/1356^-,True
+--71^8012951,71801^+61-51+,False
+-663-/946581,663-5865/81-+,True
--9832*33/1047,9835-331023/*+,False
+/9519//6689,9530/558/17/+,True
*++6224/428012,6224+9017/+58-,False
-^762*26/492,902+26492^*-,False
++/617788*9925,6177/88+9925--,True
++4684/*106591,4684+1065*91/+,False
**+*401472479,9839^47+24*79*,True
-46**/44924380,464453/43*24*-,True
*-3562**205632,3562*2855*32*+,False
+70-//25227098,704122/70/2/+,False
-^164+40^531,7553^40531^*-,False
-+-/306799175,6067+99^65+67-,False
*40+/95/4114,40954132^/4+*,False
---818-11252,818*412/-52-,False
-+-43/7382388,437382+-58+8-,False
+-+84^1822997,84182*+29-97+,True
+-*4146/881840,3246*8818/-3+,False
/89+-^5924015,894842^40-15+/,False
--^211/461350,211^4114*-50-,False
++*864842^262,8625*97+262^+,True
+-^47156*395,951^5-285*+,False
***28521-758,213*21*758--,True
-*93*4536-963,344547**963--,False
-+-73/36581648,733658/-16+58-,True
++*9270*669510,9270+1250*+44+,False
-^872/*83160,872^8383-60//,True
-^91-^35246,91^352^31+-,True
//8993*/533135,8919/5331/35*/,True
-++/261063466,8210^63+4+56-,False
+/80^/2331160,802430/55^/60+,False
+-7796*94^231,7796-94231^*^,True
-+-56*35988251,733587*-82*51-,False
+*^80280/830,8055^80-9530/+,False
/51-*/39786764,519378/67^64-/,True
-^742/*242335,2615^2478-35/-,True
*^+22*7221194,22726*+1^94-,False
*18-/67+5518,1849131^/8-*,False
+--5135^75225,5135-112^-25+,True
/47**/55602444,466860/84*11*/,False
--96/6016/437,963128/-437/-,False
-+*50/892640,50892^*37-40^,False
-+79/7^85127,797851^/^27/,True
--^751^75256,751^472^-43-,True
+--+5520457589,5520+45-15-89+,False
+*/6333^6279,3033/62^*79+,True
+/5223*76+771,5223/76771-*^,True
-++^932795332,932^79-16+32-,False
-^812+/31135,202^6913/5+-,False
-/15*422*7650,15432^/7650*-,False
/***9760687853,9773*68*78*28/,False
+44*-^271202,44271^20-2*+,True
-+^81^86263,651^862^^63-,True
+/*359644*7076,3596*44*7076*+,True
+/*6875^70199,6875*7021^/99+,True
+--^622672288,622^67-1-79+,True
+-^621/24417,181^8041/-7+,True
--*15363/6748,153*63-6748/-,True
+/24^821/6583,24921*/6583/+,True
-//1311^45314,1311+453//14-,False
+^1137/55^422,116-55422^/+,False
-*/7124^67159,7124/671+*59^,True
-++^20172751,201^7+27+51*,True
-*//8236785919,1236/78/59+19-,False
+/*526033^341,1625*33/911^+,True
