Original,Perturbed,Is_Equivalent
+*/-379-386299--742117,-379-386/-814--742142++,True
++*/265-35313283966,265-353-13*283+966+,True
**521323-312*-731252,521323*312-731252*--,True
--/626-415-39/-113431,777-415*-39--902431/-,False
++607*-113299/999951,607-113299**999951/+,True
++-854+^1662-266152,2011662^-266++152+,False
+-+-303-177596/762-750,-303316+596-762-750/+,False
/*//-491556-729-892-999,-701556/-729/-563*-412/,False
+*--143-827^-761-693,-143678--761++-693+,True
+-+/846155429728-982,846155/429+728--518+,True
^^-3382--941-309934,-3382^-941309462-*+,False
-+-633^-903778*113-530,-633-9032^+288-530^-,True
--+425/-573-168913239,425-573-168++913-239-,False
--60^-2331^-4881,60-2331^--4881^-,True
++--688-7-60*104284,-688-7--60/-49284*+,True
+-658^2671/113884,6582671^-113-438/+,True
-*154--2861^6392,154-2861^*2382^-,True
+--57*-573/388687661,-408-573-805687**-661+,False
-^^7161/980142-891,7161*-263142*+23-,False
--*-252863853*146-99,-252863*-98-146112*-,False
/131-/-752^-6432-38,494-752-6432^/-38--,False
+-654-*-135-621163-540,654438-618*-422---540+,False
/*157536--420--877821,234536*-420-877821-^^,True
++**478798845-502-407,478798*845+-502+-407+,False
+----241553-140-999416,-241553-733--999-416+,True
+/-699-837+*385-931-120,-699354/909-931*69/+,False
+-^3891*298-587-584,3891^298-587*--584+,False
+-*-86739^9492806,-86739*949117^-806+,True
+//620443357/-204-956,620443-357/-204159/+,True
+--710-179^-191330,982-179+7101^-330+,False
+-7^7231/-781737,7571^+-781876/+,True
-+-/-25184611-432516,-651846/11--432+557-,False
-+*-814^3382-369-927,-8143382^--901*-927-,False
++*367-189546^1481,581-189*546+1481^+,True
-*+124-580-692*743-395,124-580+-692-743740+-,False
-+^-21^-1391-751,4231^-1391*+-751-,True
+-*707451^-2342907,477451*-2342^-907+,True
++^-770-240-724^-328396,-7701^-724+-328-688/+,False
+--221/2^-7562-711,-2212-7562^/-902+,False
/-940^^962^-6691,-940962^-361^--,True
--/247-22^-1811-130,247-22/-1811^/-130-,True
-^+*-226-894-974405-126,-226-894*-974/405*-126+,False
/*+*-806-442-39787-849,-447-908-187+87*-849/,False
-*64113*206^-7771,949-481*206-3951^**,False
+*-636/800^8462-88,-6368008462^/-464/,False
-+-712^-2612^233-290,-712-2612^+142-606^/,True
--^-287-408825^-10001,-2872-825--10001^-,True
++*903^841-38-930,903841**-38+-930+,True
+/*2-163666+143701,-952-163/666/-66754++,False
+991/466*741^-4642,-105-656741-4642^*/+,True
+/658351+^7411775,-722351/741-952^775++,True
-+/-117513-280^-4691,-117513/-280+-548863^-,True
+**/-420-541-362322-821,-420-759/-362*-627*-747+,True
--*-425641883/171-472,-425641/883-171-620/*,False
+++-271608227357-233,957608-187+653+-233+,False
--*-72678/84233-434,-72678*102233/--434*,True
+-+-866*-4175-27271,2951445*+-272-71^,False
-*5771-^-2281-913,5771^-2281^-913-+,True
+*482+4171^346661,482417921^*-6051^+,False
--^+-783-152-761-928544,-783-152+-761--928-544-,False
^/-662-215^/-814-312,-662-215/857798/2^/,False
++5//583-932-603-672,20583-932/-603/*-672+,True
-+*-378-993/150-311-818,-378-993-150-311/+-818-,True
+*-708-731/790^-446-135,-708-731*790-4461^/+,True
+-800*/407396936518,800813782/936*--543+,False
-+-^7882-224506-716,55535^-224-506+-716-,True
**^-335-69-217/-573-589,-395-69/-217*-916-589/*,False
++^-5292504^-924245,-529-468^504+-924245-+,False
+-223-286/97^-5761,223-93--8389521*/+,False
^+456/80628+-930-547,45619828/+-188-547+-,False
+*^-238-712^-4062799,-238-712/-4062^^799-,False
-^-4281/-340*631947,-4281^-340631947*/-,True
+-^-3792^6441-381,9982^6441^--381+,True
-/-898^-1111*563-492,-898-1111^/-62-492*-,False
+/-868^-5922*23-332,-868-5922^/23-332*+,True
-//937508-324^4212,937-889/-460/131296^-,False
**-/-966-767-15399479,-966-767/-15*-540*479/,False
-+-582-977*481-577-407,582667-481174*+-407-,True
^+^/324-960-98958-751,59-960/-989+58+-751-,False
-+262783/-912^-4771,262229+-202-4771^/-,True
+-^6622501/-429-922,493-259^501--429-922/+,False
+833^/-624-265^-2842,-497-624306--2842^/+,False
//*-452835^3732376,-452835*3732^/505+,False
+-608//^585-737-996960,-608585-737*-996/960/-,False
-+-510316/-81-622573,450316--81-622/+573^,True
++-268/-158-359*453-165,-268-860-359/+453-165*+,True
/847-+*435578366-661,847967-147*366+472-/,False
+-/962-90^42222,856-90*4222^-2+,True
*//-751495164^-5111,-431670/164/-5111^*,False
+^8141+^3852726,81413^3852-726++,True
+*223^-4621^-6681,223-4621^*-6681^+,True
+-^9552-341*386-899,9552^-312-386-899*+,False
-+-741-87/-346^-7062,-741980+-3469972^^-,True
