Original,Perturbed,Is_Equivalent
-+++47^-192//-55-61-43*-37^391+-/-91-93*-921*545,47-1955^+-55-61/-43/+-37391^*+-91-93/-921^-545*+-,True
-//81-1877-+*/-212-36^-18-9**7486+*-66+^-602-5-62,81-54/77/-212/-36*-181^+74-23*-66-602^-5+*-62+*--,False
-++*-64-62-3245-26++-//46453591-75+^112/-26*83-11,64-62--32+45+-26+4645/35/91--75+112^-268386*+++-,False
-+-+-44^-611-43/*/-11-7-4280^281///889965/-81-30,44-611^--43+-11-7/-42*80/-281^+8899/65/-4-30//-,False
-++++-+-+*56-22+40-226447/3736^-331*-798119074,56-22*40-22-+64-47+3736/--331^+-798*+11+90+74-,False
+-+*--19-1042****/-24-8619-47-77^-591*60-60*-77+-4055,32-10-42*-24-86/19*-47*-77*-591^*+60-60*--77-4055+*+,True
---+-/-5538/-6^-882-34**//7715-85-8222*-32-19/-88-35,-5517/-22-882^/-67+7715/-85/-82*22*--32-19*--88-35/-,False
+++-++-12-4^12-22**-5558^791*13^632^-63*38-43,-12-4+12^+-22--5558*791^*+60632^*+-6338-43*++,False
++---*1^942-71*-74^631/--9563^961/-291*-7228,1942^*-71--74631^*--9563-961^/--291^+-7228++,False
-+++++-35*/*-47-2873-284720^-941+^-65195*/-4324-54,-35-47-28*-99/-28*+47+20+-941^+-651^95++-4324/63*-,False
++++--81*27^831-38-83***-3340-79-57-++11-38*82-10083,-5527491^*--38+-83+-338*-79*-57*+11-38+82-100*+25-+,True
-++46*-46+//9921^951298-^-602*39*-97+-85*-8346,46-469921/951^/2+*+98+-602^39-97-85-8346*+**-^,True
++/911161++--+^-46159-100/-68-14^-382-^-512+7-90,9111/61+-461^59+-100-18-14/--382^+-512^7-90+-++,True
*-38+33++-*-20^-412-93/-15^192+99-+61/87-52-1048,-3833-20-412^*-93--15192^*+996187-52/+5048--+++*,True
+/59^-+-//-318^21*10^-222-53-951***-87-272119,59-318/21^/10-222^*-35+-95-1^/-87-27*21*19*+,True
+-63*-30-25*29++0++^-3184-16*-35//-98^722^251,6343-25*-290-31^84+-16++-35-98612*/251^-*+*+,False
+-+---+-12-80/-1696/-8227^-72*3^6746/-27^-21210,-12-80+4996/--8227/--72^-3672^*+-27-212^/-10+,False
+--+-+42^-462///-924-91-75-7169^142/**-552167-96,42-462^+-924/-91/-75/--71+69-142^--5521*67*-96/+,True
**6785+-^51158*/*/2055-100-94-83+^-251+^-33296,6785*511^58-2055/-100*-28/83-251^-332/96++-*+*,False
---+-*+996864/-62^111^-421-4324--97*-69^951-64,9968+64*-62111^/-711^+-43-24-21-69951^*--64--,False
+-+-682524+/-8362*80-////673523/*42-622^-4239,-6825+24--8362/806735/23/42-62*-52//-42^/39-*++,True
+-/-30-+^492^/-98-402-57^-252+-^56^941/-542741,-30-412^-98-40/2^+-57-/-252^-56941^/7727/-41++,False
-++-++^291/-71^3914222/-24-47-70/48*96-72*4363,291^-7131^/+42*22--24-47/--70+4896724363*-*/-,True
+++/-4924/-759555--^421/+^232**-1442-14^25210,-4924/-7595/+55+281^422^-1470*-14^+-872^/-10-+,False
--*/59-22*-55-27^331*26-++-32^631/-88-5*99^-702,59-22/-55-27*-331^-26-32631^+-88-5/-99-702^*-*-,True
++---**-48+-*/*95-58-88-9510415247-6^481-48/-6264,-48-52-58*-88/-95*10-41+*52*25-72-481^--48+-6264/+,False
+-+/*-22-43^-692*/*/69-16-97-67-1899*-82*-71-^-61190,-22-43/-692^/69-16/-97*-67/-18*+99--82-71-611^23-***,False
-*-+-+--+^761/-88-65-19^-472*6935-263042/-8388-47,761^-88-65/+-19--472^--2735*+-26*30+42--8388/+-47-,False
-+-++70/**-40-88-99-8--36-37-3*-8^-591--65/-6-69-61,70-40-88*-99*-8/+-36-37-+-3--8-591^*+65-6-69/--61--,True
-+++-+-80-41^871^-//-754887-902**-28602131-462,80-41*871^+-7548^87/-90-2^--2860*21*+31+-4+62-,True
--^+-97-991*62^++-+2//-9648^-71-87^29251-17,-97-99+1^622-9648/-71^/+-87-292^+5+1^*--17-,True
++-+++-44^-1411651*3357/5212/-2-+*-44-50*-6-196,-44-141^+16+51+3357*-5212/+-2-44-50*-6-1*+93-*+,False
+80//58-83--*67-19^-82/-25+--88+-4914+^-342*76-4,8058-83/67-19*-82^--25-88-4914+--652^76-4*++/-/+,False
-+-----1005^-352^691^341/***-80/-55-3159-731050,-1005--352^-691^-341^--80-55-31/*59*-73*10/+50-,True
+-+8370^-461/-7+++/-56^-342//13-89365**-40-17-38,8370+-461^--7-56-342^/13-89*36/+5+-40-17*-38*+^+,True
+++--++---36239^/-31-732-91*25-3228-7-80+-83^-362,-362^39--31-73/2^+-19+25-32*-28--7+-80+-83-362^++,False
+++---^551/*-944-87+*-5-6769*3^7260*-9068-42,551^-944*-87/--5-67*69+-3-982^*-60+-9068*+-42+,False
-+37///^-63-661321^--+-^51595729552/*35-72-81,37-63-66/13/21/51^59-57+45-55-2^/+35-72*-81/-,False
*-80/*-6430+^801*-39--/*/-96+*56487113-6^871-41,-80-6430*801^-39-965648*71+-13*-6/871^--41-*+/*,True
-+*+++++-77*-80^282-9759^-572*-585-85^392/68-14,-77-80282^*+-97+59+-942^+-95*+-85*392^+6877/-,False
