Original,Perturbed,Is_Equivalent
7.34 3.22 1.18 9.05 0.27 3.43 + / - * * - 6.19 7.06 8.93 2.48 / - / + 6.98 6.81 6.13 9.09 9.05 - + + -,+ 3.43 / 0.27 - 9.05 * 1.18 * 3.22 / 2.48 - 8.93 / 7.06 - 9.05 + 9.09 + + - 6.81 6.98 + 6.19 - 7.34,True
1.66 0.9 4.94 9.53 7.51 4.6 3.09 2.03 6.11 2.98 5.13 6.05 - * - * + * + / + * - - 0.67 6.09 4.66 + -,- 6.05 * 5.13 - 2.98 * 6.11 + 2.03 * 3.09 + 4.6 / 7.51 + 9.53 * 4.94 - 0.9 + 4.66 + 6.09 0.67 + 1.66,True
9.18 + 2.13 7.82 / * 6.93 3.68 5.73 6.81 3.43 1.37 9.87 0.45 3.38 7.1 4.82 * - - - - * - * * - - +,/ 7.82 - 5.48 - 4.82 - 7.1 - 3.38 * 0.45 - 9.87 * 1.37 * 3.43 - 6.81 - 5.73 + 3.68 6.93 * 2.13 + 9.18,True
2.78 7.12 3.15 3.88 7.58 + 8.05 * - / - * - * / 9.39 0.78 9.52 9.05 7.36 3.88 - + * - - 8.41 1.06 *,* 8.05 - 7.59 / 7.58 - 3.88 * 3.15 - 7.12 - 3.88 + 7.36 * 9.05 - 9.52 - 0.78 9.39 / * 1.06 8.41 * 2.78,False
0.07 0.58 3.95 9.17 9.8 5.51 0.36 2.44 / / / / / / 5.55 1.85 2.01 / * + - 3.85 1.72 1.11 5.93 + - * /,+ 2.44 / 0.36 / 5.51 / 9.8 / 2.01 * 1.85 5.55 / / 9.17 - 5.93 - 1.11 * 1.72 3.85 - + 3.95 / 0.58 0.07,False
8.98 - * 8.54 5.85 9.95 7.15 9.62 8.68 1.17 2.99 + / * * + / * 8.56 9.61 3.46 + - + 2.01 / 4.18 8.04 -,+ 2.99 / + * 8.68 * 9.62 + 7.15 + 3.46 - 9.61 8.56 * / 9.95 + 5.85 8.54 * - 8.04 4.18 / 2.01 - 8.98,True
0.6 6.76 9.39 3.59 3.81 / * * * - * 1.02 2.15 4.9 - 2.82 / - * + 8.47 4.16 2.12 1.46 7.08 - * / *,/ 3.81 * 3.59 * 9.39 * 6.76 / 2.82 - 7.93 * 4.9 + + 1.02 * - 7.08 * 1.46 / 2.12 * 4.16 / - 0.6,False
9.32 2.66 8.11 0.68 - 5.14 - - + * 3.07 7.23 5.79 3.92 - + - - / 1.21 1.21 5.11 7.4 7.07 - + + * +,- + - 6.51 - 3.92 + 5.79 - 7.23 3.07 * + 0.68 / 7.07 + 7.4 + 5.11 * 1.21 1.21 / - 8.11 + 2.66 9.32,False
1.67 2.14 4.03 - / + 7.65 / + 6.63 4.93 3.64 - * 1.62 6.05 2.63 6.78 / * * / - / 4.19 8.38 9.48 * *,- 4.03 / + / 6.78 * 2.63 * 6.05 - * - 3.64 / 4.93 - 6.63 * 9.48 * 8.38 4.19 / 0.69 / 7.65 + 1.67,False
8.07 7.12 3.74 2.51 * / * * 1.81 3.17 + / 9.99 9.76 9.58 + + + 5.32 9.67 1.63 9.68 9.45 4.66 + + * - +,* 2.51 / 3.74 * 7.12 + 3.17 + 9.58 + 9.76 + 4.66 + 9.45 * 9.68 - 1.63 + 9.67 5.32 + 9.99 / * * 8.07,True
2.74 0.94 5.21 + * 2.86 9.19 0.92 8.41 + 6.48 7.39 7.88 - * * - / / / - / 7.3 9.79 / + 6.67 1.45 -,- 7.88 * 7.39 * 6.48 + 8.33 / 8.41 / / / 9.19 2.86 * + 5.21 - 0.94 / 9.79 - 1.45 6.67 + 7.3 / 2.74,True
7.51 4.78 - + 2.77 + 7.04 4.14 - + 7.69 7.87 5.34 4.65 6.1 3.27 6.36 1.26 9.56 4.52 + + * - * + / * /,- 4.78 + 4.52 + 9.56 * 1.26 - 6.36 * 3.27 + 6.1 / 4.65 * 5.34 / / 7.69 + - 4.14 * + 2.77 + 7.51,True
