Original,Perturbed,Is_Equivalent
92.9687.9951.23***63.5429.75-,*51.23+87.99-*63.54+92.96,True
-49.0698.6715.5/+/-6.2459.64*,+15.5*59.64-6.24/+98.67-49.06,True
-86.0121.6++-88.7625.13/+44.4,+21.6+25.1344.4+*+-86.01,True
-55.9932.9182.939.0+*-*-16.3,-39.0*82.9-32.91-16.3*-55.99,False
-76.8454.24-36.2776.5///+-13.23,/76.5/-36.27/54.24-13.23+-76.84,False
/-3.44-93.9-63.92-/-*-24.14,--63.92--93.9/-3.44-24.14*-72.63,False
4.0389.5-49.22/37.86-+/+,+37.86*3.8/-49.22+-4.03,False
44.9268.017.84-47.34-55.55+*-/,+-55.55*-47.34-7.84-68.0144.92,True
+46.9488.92/15.6822.9861.15+*,//46.94+61.15*-15.68+,True
51.2311.24*+48.01-46.712.16+,*11.24+2.16/-48.01++,True
46.74-32.72-77.058.6133.87//++,/33.87*58.61+-77.0*-32.72-,True
-17.58-51.02-6.59--47.65*//*,*-47.65/20.9/-6.59*-51.02-17.58,False
37.0129.42-41.08-32.897.79*-*-,*97.79--32.8*-41.08-+37.01,True
23.08-11.8831.88*76.09+*//,/+-99.22///-11.8823.08,False
82.77-68.41-*87.8522.6977.2/+,--68.41/*+22.69**82.77,True
32.5--34.98-34.9459.73*-/-,*59.73--/-34.98-61.332.5,False
67.75+-63.2568.26*-94.01-98.77-,*68.26*---98.77-94.01*67.75,True
-44.21-92.14-11.36/-*30.92+/,/-11.36--92.1431.91+30.92*-44.21,False
-26.6235.88-94.5-51.69-56.4--/-,--56.4--51.69*-94.5---26.62,False
-28.82--29.8593.26-35.5426.1--*,+26.1+-35.54*93.26-29.85/-28.82,False
-87.7+-36.89-9.5599.16-60.11*-*,*-60.11*99.16+-9.55-36.89+-87.7,False
-37.18-94.797.31-14.15--*-21.2,--14.15-97.31*+21.2--37.18,False
34.5825.0653.5-40.11-59.35-+//,--59.35--40.11/--25.0634.58,False
84.0-62.8797.6**/-11.93-+,*---+-95.76-11.93/84.0,False
--86.66-25.27-80.73/-+/78.14,/-80.73*-25.27+-86.6678.14/-1.72,True
-77.847.17-+-24.83+43.73+-,-7.17+43.73--91.25-24.83+-77.84,True
58.33-5.63+/67.34+82.43**,/-*82.43*36.9167.34/58.33,False
25.28-59.9644.7672.21/+++-72.15,-72.21+/+-59.96-72.15+25.28,False
/-33.6949.64*7.61+++/,+7.61+-59.33+*/--0.21,False
-10.96-72.872.8660.39++-+/,+-85.21-60.39+2.86/-72.87-10.96,True
+30.97-51.2862.17*+//57.98,*62.17+-51.28/30.9757.98/75.9,False
73.88-54.8872.1653.35-40.0+*-*,+-40.0*53.35-72.16+-54.88*,False
3.97-53.0778.64/--/-8.22-,/78.64--53.07-+-15.99-3.97,False
45.1-12.82-57.5496.37-/+/21.4,-96.37/-57.54+-12.8221.4-45.1,True
-29.2112.3639.32-78.94/*//+,*-/-78.94/39.32+12.36-29.21,False
-96.782.1533.3670.6658.41+*++,+58.41/70.66+33.36+2.15-,True
86.1-85.45-/-73.23-5.8662.28/-,//--5.86-73.23*--85.45+,True
68.2136.529.9664.76-47.5*-*/,*-47.5-64.76-9.96/36.5268.21,True
35.54-64.0697.6454.89*/++/,--80.68+54.89+97.64/-64.0635.54,True
97.61-48.31-72.44++-30.298.18/-,/8.18-30.29++-72.44--48.3197.61,True
-78.49-37.96+*9.18-42.5825.56++,+-37.96+*+-42.589.18*-78.49,True
-14.7958.53-11.0*+/-59.76/,*-11.0/58.53/59.76-84.55/-14.79,False
52.94+*-97.24-14.85-*-12.22/,*--97.24/-12.22-79.78*+/,False
48.73-54.57-95.2-45.1392.76-*+-,-**-45.13+-95.2--48.73,True
-80.8942.0721.1-32.78*+--12.08,+-32.78/21.1-42.0712.08--80.89,True
