Original,Perturbed,Is_Equivalent
6.455.71*7.981.45+--*,6.455.71*7.981.45+--*,False
8.990.615.092.97.06+/*-,8.990.615.092.97.06+/*-,False
1.44+9.794.270.71-+/*,1.44+9.794.270.71-+/*,False
+6.210.436.092.64*+/+,+6.210.436.092.64*+/+,False
0.387.290.861.224.07/+*/,0.387.290.861.224.07/+*/,True
5.893.044.045.678.92-//-,5.893.044.045.678.92-//-,True
7.5/1.693.066.63***-,7.5/1.693.066.63***-,False
3.353.253.93/1.3/**-,3.353.253.93/1.3/**-,False
4.68.082.58/7.09//**,4.68.082.58/7.09//**,False
4.527.958.995.680.9*--/,4.527.958.995.680.9*--/,True
0.551.996.337.419.79/+/-,0.551.996.337.419.79/+/-,True
+5.297.518.35.88/-++,+5.297.518.35.88/-++,True
6.786.068.262.439.59/*//,6.786.068.262.439.59/*//,True
7.61-3.03.130.14-*/-,7.61-3.03.130.14-*/-,True
9.66+3.112.71-+/-/,9.66+3.112.71-+/-/,True
7.033.052.07-5.58++*/,7.033.052.07-5.58++*/,False
2.57+1.491.290.03*+**,2.57+1.491.290.03*+**,True
5.992.398.474.97+/*-+,5.992.398.474.97+/*-+,False
0.564.532.89+1.1*/*/,0.564.532.89+1.1*/*/,False
3.14/0.483.80.01-///,3.14/0.483.80.01-///,True
/0.986.776.639.74////,/0.986.776.639.74////,False
3.833.956.449.78.82/-/*,3.833.956.449.78.82/-/*,False
0.517.33+++-**+,0.517.33+++-**+,False
6.564.476.84*2.96-//-,6.564.476.84*2.96-//-,False
5.647.631.17.313.45-+--,5.647.631.17.313.45-+--,True
*6.744.386.38.37-+--,*6.744.386.38.37-+--,False
-3.240.966.548.75-++/,-3.240.966.548.75-++/,False
3.026.212.314.04--+--,3.026.212.314.04--+--,False
0.4*1.266.062.01+/+/,0.4*1.266.062.01+/+/,True
2.030.04-0.020.77/-++,2.030.04-0.020.77/-++,False
/2.59.649.480.48--++,/2.59.649.480.48--++,True
7.560.010.429.533.64/*/*,7.560.010.429.533.64/*/*,False
7.866.180.211.767.88*--/,7.866.180.211.767.88*--/,True
1.067.464.337.613.74-*-+,1.067.464.337.613.74-*-+,False
*+4.612.270.68+///,*+4.612.270.68+///,False
7.238.414.483.510.59-+++,7.238.414.483.510.59-+++,True
