Original,Perturbed,Is_Equivalent
1.842.21/0.865.615.287.194.72/5.94/*--*++++,1.842.21/0.865.615.287.194.72/5.94/*--*++++,False
6.661.373.434.85+2.650.074.619.365.88*-*-**/*/,6.661.373.434.85+2.650.074.619.365.88*-*-**/*/,False
4.862.662.36.415.516.085.197.697.148.52+***/-/*-,4.862.662.36.415.516.085.197.697.148.52+***/-/*-,True
0.593.244.173.822.069.782.624.788.773.55*+--/*--/,0.593.244.173.822.069.782.624.788.773.55*+--/*--/,True
4.623.65*1.769.561.677.759.649.852.63/-++*/-*/,4.623.65*1.769.561.677.759.649.852.63/-++*/-*/,True
+9.222.591.883.646.050.79.617.089.09/++-////*,+9.222.591.883.646.050.79.617.089.09/++-////*,False
7.425.488.143.875.277.990.783.910.711.79+*-/**--/,7.425.488.143.875.277.990.783.910.711.79+*-/**--/,True
6.158.361.099.366.814.748.229.822.874.64**+-*+*-+,6.158.361.099.366.814.748.229.822.874.64**+-*+*-+,True
0.994.091.147.949.214.572.952.95*6.79/--++-/*+,0.994.091.147.949.214.572.952.95*6.79/--++-/*+,False
1.757.492.816.566.16+0.241.971.967.22--++-***-,1.757.492.816.566.16+0.241.971.967.22--++-***-,True
7.013.084.183.044.67.882.426.089.172.2*/*/--+*-,7.013.084.183.044.67.882.426.089.172.2*/*/--+*-,False
3.27.94*9.77.321.561.344.134.21/--+*/+//-,3.27.94*9.77.321.561.344.134.21/--+*/+//-,False
0.55+8.990.556.049.087.36.621.436.07--*/+/*-/,0.55+8.990.556.049.087.36.621.436.07--*/+/*-/,True
8.984.351.896.386.766.812.13/2.939.81**-*/+/+/,8.984.351.896.386.766.812.13/2.939.81**-*/+/+/,False
5.3-5.767.152.47.688.549.643.036.17-/+-/-***,5.3-5.767.152.47.688.549.643.036.17-/+-/-***,True
5.673.340.25.662.288.20.652.748.013.08****--+**,5.673.340.25.662.288.20.652.748.013.08****--+**,True
7.939.441.25.697.569.672.277.372.977.64-+--+**--,7.939.441.25.697.569.672.277.372.977.64-+--+**--,False
3.973.82.910.861.615.23.7210.08.818.01+///*-//-,3.973.82.910.861.615.23.7210.08.818.01+///*-//-,True
9.460.075.517.568.786.525.376.69-1.2+/*/////-,9.460.075.517.568.786.525.376.69-1.2+/*/////-,False
3.974.566.589.737.512.742.02/0.126.48*//+//*-*,3.974.566.589.737.512.742.02/0.126.48*//+//*-*,True
1.310.741.243.119.430.035.733.46.23/*/**/+-*-,1.310.741.243.119.430.035.733.46.23/*/**/+-*-,False
2.566.037.123.231.862.7*6.771.82.91-+----*//,2.566.037.123.231.862.7*6.771.82.91-+----*//,True
3.978.242.831.956.591.833.230.618.554.51++/*+++--,3.978.242.831.956.591.833.230.618.554.51++/*+++--,True
8.221.417.33.9*8.533.981.863.465.77/-/*--//+,8.221.417.33.9*8.533.981.863.465.77/-/*--//+,False
7.992.183.870.23+7.93.172.228.123.27-+/-*///-,7.992.183.870.23+7.93.172.228.123.27-+/-*///-,False
7.843.65.976.779.94.183.981.297.386.39+--+*+-/*,7.843.65.976.779.94.183.981.297.386.39+--+*+-/*,True
7.262.29/0.556.629.685.837.845.165.39/++++/-/-,7.262.29/0.556.629.685.837.845.165.39/++++/-/-,True
9.08.829.487.922.057.735.114.56/9.56-++**-*//,9.08.829.487.922.057.735.114.56/9.56-++**-*//,False
2.991.598.895.793.378.93.050.59.738.18+*++++*-+,2.991.598.895.793.378.93.050.59.738.18+*++++*-+,True
7.04.535.994.041.086.957.348.843.193.36///*/+/-+,7.04.535.994.041.086.957.348.843.193.36///*/+/-+,False
5.015.952.249.347.29.98.866.653.017.06*-+--**+/,5.015.952.249.347.29.98.866.653.017.06*-+--**+/,True
2.719.019.053.97/*6.128.042.658.53-/+++-***,2.719.019.053.97/*6.128.042.658.53-/+++-***,False
1.97*9.643.47.05.176.961.919.380.67+/*--*---,1.97*9.643.47.05.176.961.919.380.67+/*--*---,True
4.562.673.710.252.087.424.382.273.258.79*/-*++**/,4.562.673.710.252.087.424.382.273.258.79*/-*++**/,True
