Original,Perturbed,Is_Equivalent
-+/*334506964,-+/*334506964,True
-*-/479338692,-*-/479338692,False
+-+80*86668322,+-+80*86668322,False
*/*/9497376093,*/*/9497376093,True
+/+10/47784038,+/+10/47784038,True
----5857279872,----5857279872,False
---644*198238,---644*198238,False
+-/239453/2294,+-/239453/2294,True
*/+*1364618458,*/+*1364618458,False
+++4154/33877,+++4154/33877,False
---+6187577512,---+6187577512,False
-*613/*977549,-*613/*977549,True
+/**557268516,+/**557268516,False
-+--766539996,-+--766539996,False
+++299650*8940,+++299650*8940,True
+-*753719/3551,+-*753719/3551,False
/***5296416813,/***5296416813,False
-+8057*/308029,-+8057*/308029,True
+*1187/*804192,+*1187/*804192,True
-/**852788817,-/**852788817,False
-*/73603*2464,-*/73603*2464,True
-81*/*25366329,-81*/*25366329,False
/+80//90499135,/+80//90499135,False
--+2336*524788,--+2336*524788,True
++52**22853156,++52**22853156,True
--*/7514925171,--*/7514925171,False
+**/733585854,+**/733585854,True
+**63579/3365,+**63579/3365,True
+*4334/*632158,+*4334/*632158,True
+-+217219-586,+-+217219-586,False
++7832/*299239,++7832/*299239,True
//**388579246,//**388579246,True
++5171//77348,++5171//77348,False
+-+3891*798072,+-+3891*798072,True
+66*/*11309597,+66*/*11309597,False
-+/1773/63452,-+/1773/63452,True
++9510**675845,++9510**675845,True
--96**23469877,--96**23469877,False
-++8664*904836,-++8664*904836,False
+/8240/*399285,+/8240/*399285,True
+**852643*9825,+**852643*9825,False
-**/692177874,-**/692177874,True
+-*662525*8540,+-*662525*8540,False
+-+2*1317937,+-+2*1317937,False
+*5360/*909458,+*5360/*909458,False
+-863**264017,+-863**264017,False
+--7847/97365,+--7847/97365,False
-*/542865/2624,-*/542865/2624,True
+60/**75929124,+60/**75929124,True
-/*/404493503,-/*/404493503,True
-///5267852610,-///5267852610,False
+/*789914*7988,+/*789914*7988,False
--*952583*8798,--*952583*8798,True
*++4698*456448,*++4698*456448,False
-/+/2736667319,-/+/2736667319,True
-+*287225*716,-+*287225*716,False
-17*/*20195825,-17*/*20195825,True
--62*4336*8682,--62*4336*8682,True
*/*/6658799768,*/*/6658799768,True
-*/*2145126938,-*/*2145126938,False
+/*/7698258371,+/*/7698258371,False
++*2771/5842,++*2771/5842,True
-++6292/47903,-++6292/47903,False
-/*/9867115199,-/*/9867115199,True
+/734+*408796,+/734+*408796,False
+-+591862*1132,+-+591862*1132,False
-*7587/+962435,-*7587/+962435,True
-+*254641/3992,-+*254641/3992,True
-*3252/*472514,-*3252/*472514,False
-+3476*/637372,-+3476*/637372,False
+*8067**833497,+*8067**833497,False
++-4820/235773,++-4820/235773,True
-+//5262604685,-+//5262604685,True
+-*/13361217,+-*/13361217,False
++**9335121988,++**9335121988,True
--/243824/9557,--/243824/9557,False
+++4189/203647,+++4189/203647,True
-*6778/*939681,-*6778/*939681,True
*++9499*368159,*++9499*368159,False
--30//32335164,--30//32335164,False
***/91232836,***/91232836,True
-*7150/*377021,-*7150/*377021,False
++/43347/6818,++/43347/6818,False
+++941175*2118,+++941175*2118,True
-+-28/63492280,-+-28/63492280,True
-/*427479/8413,-/*427479/8413,True
-+-*322078522,-+-*322078522,True
--+-252210811,--+-252210811,False
++70**77476616,++70**77476616,True
-+/1992/492254,-+/1992/492254,True
*/3176+/819826,*/3176+/819826,False
//-*4119237186,//-*4119237186,False
