Original,Perturbed,Is_Equivalent
+++---90*912218/925085-667571,+++---90*912218/925085-667571,False
/+---+/3741/619991665013/5740,/+---+/3741/619991665013/5740,False
---**818773*/47379**29912998,---**818773*/47379**29912998,True
--+++--271222188*+2758347461,--+++--271222188*+2758347461,True
++-*1967*7982/2884*/*21119322,++-*1967*7982/2884*/*21119322,True
-*-+--*6211*/3374852732416688,-*-+--*6211*/3374852732416688,False
+++-+/8812/78193**913779651,+++-+/8812/78193**913779651,False
-++-59/7698*/3369/2426*7863,-++-59/7698*/3369/2426*7863,True
+*-+-*681//696513986426*5866,+*-+-*681//696513986426*5866,False
+++--+216424/**69203310135731,+++--+216424/**69203310135731,True
-+-*5196/-627836//635172/7697,-+-*5196/-627836//635172/7697,True
+++-+-+562763-791765*2130132,+++-+-+562763-791765*2130132,True
-+---2613/6248*8612/1776/3443,-+---2613/6248*8612/1776/3443,True
+/-+--38/2496/2344*546259166,+/-+--38/2496/2344*546259166,False
+----*+/92108716923339/3986,+----*+/92108716923339/3986,False
-++74*//45761552/3448**948620,-++74*//45761552/3448**948620,True
++-+-22/5760//58785/67471264,++-+-22/5760//58785/67471264,True
--+++-6660/*4651579718/192066,--+++-6660/*4651579718/192066,False
++-+//7398441523*+127144*8390,++-+//7398441523*+127144*8390,False
-++-+973/939841/*57928*581,-++-+973/939841/*57928*581,False
+*-+-++**787987891383094113,+*-+-++**787987891383094113,True
--+--+/848642*5277306221+519,--+--+/848642*5277306221+519,False
-+++27***67231638**90763661,-+++27***67231638**90763661,True
++--++*317454*1722126152*9884,++--++*317454*1722126152*9884,True
++--*95616/*77459+*2552448,++--*95616/*77459+*2552448,False
-+---436//661052*628615/8267,-+---436//661052*628615/8267,False
+-++/***8538533541435827/781,+-++/***8538533541435827/781,True
++--++2473/74174/519*396933,++--++2473/74174/519*396933,True
-+-**/668215590//697391-3739,-+-**/668215590//697391-3739,False
+--25**915690/*//623256532929,+--25**915690/*//623256532929,False
++++/24353025/*/22996982-4420,++++/24353025/*/22996982-4420,True
+-*+//155237824/+/2534555037,+-*+//155237824/+/2534555037,False
--++-50*3167-8910//7520599213,--++-50*3167-8910//7520599213,True
/---/9181/2754434*/*28481880,/---/9181/2754434*/*28481880,False
-+-+-+-635542*86177560/236463,-+-+-+-635542*86177560/236463,True
++-*/3190+/796992/68020*6299,++-*/3190+/796992/68020*6299,False
----+-/996682*512244*27498056,----+-/996682*512244*27498056,False
++++*68494/*319985/*92384173,++++*68494/*319985/*92384173,False
+++**231543*2274**12753/5237,+++**231543*2274**12753/5237,False
-+--+-/685658310/*457021637,-+--+-/685658310/*457021637,False
-+++53/401*568///2722214167,-+++53/401*568///2722214167,False
*+-++60/5892737554**+41361218,*+-++60/5892737554**+41361218,True
+-++95//*//542999441166996338,+-++95//*//542999441166996338,True
+-+8593/*//*863470811365*2016,+-+8593/*//*863470811365*2016,True
++++34/604056//*58127960*4650,++++34/604056//*58127960*4650,True
++++/4615//*9281821070/7280,++++/4615//*9281821070/7280,True
-++*6264**-**551706433733445,-++*6264**-**551706433733445,False
--++-//413341/58313055*874791,--++-//413341/58313055*874791,False
+-+-+848*2648/4731*7220*994,+-+-+848*2648/4731*7220*994,True
++-+--19/92323662*/468154614,++-+--19/92323662*/468154614,False
-+----*-689677/1924802237293,-+----*-689677/1924802237293,False
-----+/6536/903972*3776942179,-----+/6536/903972*3776942179,True
-/-++2621/9679/6766*/617335,-/-++2621/9679/6766*/617335,False
+-++---175017/*9025282220176,+-++---175017/*9025282220176,True
+-+/152*6417/**23855327*2982,+-+/152*6417/**23855327*2982,True
--+++*94487*5999**757341471,--+++*94487*5999**757341471,True
-+++/*915681/867519*/84881146,-+++/*915681/867519*/84881146,False
+----*6595437**2923291*5996,+----*6595437**2923291*5996,True
--+---77/442584853268*/206427,--+---77/442584853268*/206427,False
++---*8864849*226787**80722,++---*8864849*226787**80722,False
/+--+**2671/962438565730/3318,/+--+**2671/962438565730/3318,True
+++54*8774/201/**/639516724,+++54*8774/201/**/639516724,True
++++7539/*//954788221/916566,++++7539/*//954788221/916566,True
----+4748//8770384219*/627626,----+4748//8770384219*/627626,False
-/+-/4036/449546*/*6786612089,-/+-/4036/449546*/*6786612089,False
---+7697**874356*/31852*6464,---+7697**874356*/31852*6464,False
+-+-+997868/9998**187612/3518,+-+-+997868/9998**187612/3518,True
++**601883*8539///*9882184471,++**601883*8539///*9882184471,False
-+//***/8775144881735/697690,-+//***/8775144881735/697690,False
----++839921/*+786324849881,----++839921/*+786324849881,False
---+-69*/50601735*569447/1298,---+-69*/50601735*569447/1298,False
+*---79*6679/869/52775/6129,+*---79*6679/869/52775/6129,False
+-*/*24628320*/**561478197924,+-*/*24628320*/**561478197924,True
--**//287510627678**/88116926,--**//287510627678**/88116926,True
+--*-7943/903711///2873856,+--*-7943/903711///2873856,False
--++-+*9594*8455*11518366712,--++-+*9594*8455*11518366712,True
-----+++405027*2663534596976,-----+++405027*2663534596976,True
++-+--491746*/7496969*951645,++-+--491746*/7496969*951645,True
------39*/46432149/2452354428,------39*/46432149/2452354428,True
+--7992/8928*/-/*245870892629,+--7992/8928*/-/*245870892629,True
+----65*1676/*635823056/265,+----65*1676/*635823056/265,True
-++-/1159*981659*809**859338,-++-/1159*981659*809**859338,False
-+/*55369/**/182948214/584,-+/*55369/**/182948214/584,True
--+-5561*109914*/**6476221075,--+-5561*109914*/**6476221075,True
-+-+-///*5994239449259823383,-+-+-///*5994239449259823383,False
--+**773369*+70395245//863324,--+**773369*+70395245//863324,True
----91/*//45314854523945*1385,----91/*//45314854523945*1385,False
++--+--84649289/614/15149340,++--+--84649289/614/15149340,True
++--*872*5638**423123/64343,++--*872*5638**423123/64343,False
+---/1935//6181596*4593*8681,+---/1935//6181596*4593*8681,True
+-+-**/69401442*678376*935527,+-+-**/69401442*678376*935527,False
--/*323439*3395/***381121456,--/*323439*3395/***381121456,True
--++*/17307366/8561*/70382893,--++*/17307366/8561*/70382893,True
+---+-+-56817644/86953371962,+---+-+-56817644/86953371962,False
--*+--+-5358*48108013479445,--*+--+-5358*48108013479445,False
+-*2758///36831037///528495,+-*2758///36831037///528495,False
+--/*80759456*/*85337850*6654,+--/*80759456*/*85337850*6654,True
*++*4735//*2035419**13221966,*++*4735//*2035419**13221966,True
---+-/8849*5166847336*/727982,---+-/8849*5166847336*/727982,False
--++-+12*863270*20525593/4461,--++-+12*863270*20525593/4461,False
