Original,Perturbed,Is_Equivalent
-161.88 246.87 73.83 -221.99 -474.8 / + * /,-161.88 246.87 73.83 -221.99 -474.8 / + * /,True
-781.92 -536.22 690.08 + / * + + +,-781.92 -536.22 690.08 + / * + + +,False
527.4 -978.6 827.81 712.19 477.28 - + / *,527.4 -978.6 827.81 712.19 477.28 - + / *,False
* 314.05 63.02 * 480.23 / + - +,* 314.05 63.02 * 480.23 / + - +,True
-243.16 984.78 181.41 827.22 666.59 + + / /,-243.16 984.78 181.41 827.22 666.59 + + / /,True
-561.75 -799.36 -284.37 - -328.42 - * * -,-561.75 -799.36 -284.37 - -328.42 - * * -,False
-395.5 973.62 -872.64 869.22 619.53 * / / *,-395.5 973.62 -872.64 869.22 619.53 * / / *,True
* -595.14 495.02 102.14 -999.97 - - / *,* -595.14 495.02 102.14 -999.97 - - / *,True
-696.41 -344.91 263.53 -299.5 62.79 + / - -,-696.41 -344.91 263.53 -299.5 62.79 + / - -,True
958.35 66.01 239.36 -646.15 591.45 / * * /,958.35 66.01 239.36 -646.15 591.45 / * * /,False
-60.91 -657.99 -228.13 -790.22 * * - + *,-60.91 -657.99 -228.13 -790.22 * * - + *,True
-956.37 777.14 * * + - + / -,-956.37 777.14 * * + - + / -,False
12.63 * -35.16 -757.72 -89.47 / - * /,12.63 * -35.16 -757.72 -89.47 / - * /,True
767.49 + * 203.03 920.12 + / + +,767.49 + * 203.03 920.12 + / + +,True
-533.73 372.86 * -142.83 531.94 - / * +,-533.73 372.86 * -142.83 531.94 - / * +,False
825.68 -233.02 -779.59 / + / - * /,825.68 -233.02 -779.59 / + / - * /,True
-875.13 -696.64 375.68 48.07 939.54 - / - *,-875.13 -696.64 375.68 48.07 939.54 - / - *,False
-618.7 907.49 256.1 -385.12 -189.44 / * * +,-618.7 907.49 256.1 -385.12 -189.44 / * * +,False
389.53 312.91 -838.11 708.62 -765.27 / - - +,389.53 312.91 -838.11 708.62 -765.27 / - - +,True
-278.63 379.01 -310.76 + 327.02 - + + +,-278.63 379.01 -310.76 + 327.02 - + + +,False
849.0 -858.85 + -832.18 -315.96 + / + *,849.0 -858.85 + -832.18 -315.96 + / + *,False
- - -2.79 - -647.56 / * / /,- - -2.79 - -647.56 / * / /,False
-593.9 -913.87 -835.01 -595.9 187.74 - * / *,-593.9 -913.87 -835.01 -595.9 187.74 - * / *,True
- + 52.19 -694.42 -553.86 / + + -,- + 52.19 -694.42 -553.86 / + + -,False
-253.59 * -488.73 -956.48 -998.17 * - - -,-253.59 * -488.73 -956.48 -998.17 * - - -,False
-387.49 * 683.52 220.7 -640.11 + + + *,-387.49 * 683.52 220.7 -640.11 + + + *,False
-962.33 - -979.37 -912.59 877.59 + + + *,-962.33 - -979.37 -912.59 877.59 + + + *,False
- 929.87 -903.69 184.97 -818.17 / / / *,- 929.87 -903.69 184.97 -818.17 / / / *,True
0.79 * -800.43 -596.2 -864.8 / / - /,0.79 * -800.43 -596.2 -864.8 / / - /,False
-391.71 -515.68 999.29 -167.93 -162.32 / * - +,-391.71 -515.68 999.29 -167.93 -162.32 / * - +,True
-831.11 165.85 -169.22 -568.04 -397.75 / - * -,-831.11 165.85 -169.22 -568.04 -397.75 / - * -,True
42.8 -374.86 - -982.41 737.94 + - + /,42.8 -374.86 - -982.41 737.94 + - + /,False
-702.14 -519.75 + -293.47 400.48 - / / -,-702.14 -519.75 + -293.47 400.48 - / / -,True
-790.87 * 269.15 -628.96 -719.12 + - * +,-790.87 * 269.15 -628.96 -719.12 + - * +,True
-366.47 -333.26 -905.41 502.21 52.83 + * - +,-366.47 -333.26 -905.41 502.21 52.83 + * - +,True
-387.55 834.02 * 10.97 319.19 / - * -,-387.55 834.02 * 10.97 319.19 / - * -,False
/ 765.73 -212.22 800.96 -474.98 / + - -,/ 765.73 -212.22 800.96 -474.98 / + - -,True
-887.61 / 290.27 + -621.04 / * - -,-887.61 / 290.27 + -621.04 / * - -,False
-120.21 345.67 + / -538.61 - - + /,-120.21 345.67 + / -538.61 - - + /,False
-999.97 -432.77 - -425.95 -634.95 * / / -,-999.97 -432.77 - -425.95 -634.95 * / / -,True
-219.22 + - 235.23 -710.03 + / / -,-219.22 + - 235.23 -710.03 + / / -,False
404.15 -338.5 349.25 652.73 104.43 + - - +,404.15 -338.5 349.25 652.73 104.43 + - - +,False
- -305.84 -175.15 -507.9 154.03 * / * -,- -305.84 -175.15 -507.9 154.03 * / * -,False
-120.96 178.21 928.11 -963.22 -364.69 * - - -,-120.96 178.21 928.11 -963.22 -364.69 * - - -,True
231.55 752.04 277.41 765.27 362.74 * * / *,231.55 752.04 277.41 765.27 362.74 * * / *,True
-304.54 590.52 -290.8 -265.54 -579.14 * - * /,-304.54 590.52 -290.8 -265.54 -579.14 * - * /,True
- -811.27 102.39 753.32 -924.46 - - - +,- -811.27 102.39 753.32 -924.46 - - - +,False
* 335.24 381.64 647.39 -508.1 + / / -,* 335.24 381.64 647.39 -508.1 + / / -,False
621.27 / -25.12 940.78 552.47 + / / *,621.27 / -25.12 940.78 552.47 + / / *,True
137.22 349.85 -576.91 -654.93 316.78 / * - +,137.22 349.85 -576.91 -654.93 316.78 / * - +,True
-908.57 -476.57 -263.06 810.17 + + / + *,-908.57 -476.57 -263.06 810.17 + + / + *,True
449.03 - - - -835.19 - - - *,449.03 - - - -835.19 - - - *,False
-978.33 + -851.51 457.58 497.1 + / + *,-978.33 + -851.51 457.58 497.1 + / + *,False
639.79 + -844.74 -172.28 513.22 + - * -,639.79 + -844.74 -172.28 513.22 + - * -,True
-934.2 -549.35 -797.11 -807.72 -26.93 - / / /,-934.2 -549.35 -797.11 -807.72 -26.93 - / / /,False
896.23 464.31 317.75 / -191.36 / - - +,896.23 464.31 317.75 / -191.36 / - - +,True
+ / -743.86 -488.97 70.23 + - - -,+ / -743.86 -488.97 70.23 + - - -,True
- 334.21 / 913.12 388.71 + / - -,- 334.21 / 913.12 388.71 + / - -,True
-641.95 + -647.01 + -460.31 + + - +,-641.95 + -647.01 + -460.31 + + - +,False
551.42 -786.06 172.4 - -978.09 - + - -,551.42 -786.06 172.4 - -978.09 - + - -,True
* -614.72 54.38 136.49 -673.87 * / * -,* -614.72 54.38 136.49 -673.87 * / * -,False
236.19 -44.69 404.39 -688.04 -833.53 - / + *,236.19 -44.69 404.39 -688.04 -833.53 - / + *,True
/ 445.29 316.72 -154.09 430.85 - + - /,/ 445.29 316.72 -154.09 430.85 - + - /,False
-625.03 -461.94 360.45 + -793.08 / + / *,-625.03 -461.94 360.45 + -793.08 / + / *,False
-816.51 232.86 -896.42 745.96 447.88 - - / /,-816.51 232.86 -896.42 745.96 447.88 - - / /,True
+ 385.22 716.14 -868.26 891.46 - + / *,+ 385.22 716.14 -868.26 891.46 - + / *,True
-912.67 -412.93 -553.87 -743.18 -353.94 + * / /,-912.67 -412.93 -553.87 -743.18 -353.94 + * / /,True
-582.93 - + 876.86 984.66 * - / +,-582.93 - + 876.86 984.66 * - / +,True
709.24 -371.99 76.52 * -747.75 / / - +,709.24 -371.99 76.52 * -747.75 / / - +,False
-703.59 994.97 -412.77 589.27 -448.37 * + * /,-703.59 994.97 -412.77 589.27 -448.37 * + * /,False
496.57 544.29 -780.98 -990.08 / / - / *,496.57 544.29 -780.98 -990.08 / / - / *,True
+ -942.09 822.68 -467.47 184.62 + * / /,+ -942.09 822.68 -467.47 184.62 + * / /,False
904.42 270.25 311.07 -105.93 156.13 * - + -,904.42 270.25 311.07 -105.93 156.13 * - + -,True
-120.94 228.59 + -853.47 296.83 - / + /,-120.94 228.59 + -853.47 296.83 - / + /,True
-777.06 -758.39 + -310.77 - + / * *,-777.06 -758.39 + -310.77 - + / * *,False
-561.04 - -730.83 894.44 / + / - /,-561.04 - -730.83 894.44 / + / - /,False
276.29 470.7 481.43 / 243.14 + + + +,276.29 470.7 481.43 / 243.14 + + + +,False
-561.34 525.47 + -924.2 931.2 + + / -,-561.34 525.47 + -924.2 931.2 + + / -,True
366.37 -264.4 -437.44 + -218.49 * - / *,366.37 -264.4 -437.44 + -218.49 * - / *,True
386.68 659.56 / 204.82 41.65 / + + +,386.68 659.56 / 204.82 41.65 / + + +,True
497.81 -566.48 -139.27 121.74 -723.94 / - + *,497.81 -566.48 -139.27 121.74 -723.94 / - + *,True
-577.57 -773.13 785.35 937.98 / * / - /,-577.57 -773.13 785.35 937.98 / * / - /,False
-599.08 -911.67 + -106.84 -312.89 - * - +,-599.08 -911.67 + -106.84 -312.89 - * - +,True
614.17 -96.38 -452.67 355.81 473.7 + / - /,614.17 -96.38 -452.67 355.81 473.7 + / - /,True
-346.11 36.21 -287.09 63.54 -247.86 / - / *,-346.11 36.21 -287.09 63.54 -247.86 / - / *,True
870.36 492.88 / 957.99 269.9 - - * /,870.36 492.88 / 957.99 269.9 - - * /,False
-419.88 - -979.37 * -231.11 + / * *,-419.88 - -979.37 * -231.11 + / * *,True
643.18 396.07 533.45 -983.21 -900.68 - + - *,643.18 396.07 533.45 -983.21 -900.68 - + - *,True
-569.4 -901.04 -450.96 -877.85 135.63 / / * +,-569.4 -901.04 -450.96 -877.85 135.63 / / * +,False
919.35 -906.74 937.53 518.67 -496.84 / / / +,919.35 -906.74 937.53 518.67 -496.84 / / / +,True
-152.78 -213.82 876.24 397.94 -765.28 + / * -,-152.78 -213.82 876.24 397.94 -765.28 + / * -,False
860.31 * 330.76 -987.94 - + - + /,860.31 * 330.76 -987.94 - + - + /,False
-508.85 -196.98 -314.91 -568.31 601.38 - + - +,-508.85 -196.98 -314.91 -568.31 601.38 - + - +,True
-649.94 565.19 - 306.54 -42.43 - * + +,-649.94 565.19 - 306.54 -42.43 - * + +,False
749.38 271.16 -522.79 + 97.24 / + + *,749.38 271.16 -522.79 + 97.24 / + + *,True
* -558.93 -992.96 579.07 -865.28 + - * +,* -558.93 -992.96 579.07 -865.28 + - * +,True
93.71 -793.57 -108.58 / 959.63 * / - /,93.71 -793.57 -108.58 / 959.63 * / - /,True
-797.01 -818.78 728.74 538.28 - - * + +,-797.01 -818.78 728.74 538.28 - - * + +,False
725.9 867.64 112.96 685.59 283.7 + + * /,725.9 867.64 112.96 685.59 283.7 + + * /,False
-7.65 776.81 -201.71 766.01 643.14 - * - /,-7.65 776.81 -201.71 766.01 643.14 - * - /,False
