Original,Perturbed,Is_Equivalent
-*673-183**-70091-775,-*673-183**-70091-775,True
/**/-459996541-477757,/**/-459996541-477757,False
+/*/-805-716-310-200-640,+/*/-805-716-310-200-640,True
-*-719-212//-84360400,-*-719-212//-84360400,True
+-992**936-450927-514,+-992**936-450927-514,True
-/-10321*--60616-212,-/-10321*--60616-212,False
/++-89899-721626-537,/++-89899-721626-537,False
--950*//-445-113-514-168,--950*//-445-113-514-168,False
+--797*-867-768-882634,+--797*-867-768-882634,True
++++404688-137-725348,++++404688-137-725348,False
-+196-607//789981-434,-+196-607//789981-434,True
-++273748*437191-498,-++273748*437191-498,False
+-+-708-370444*823-424,+-+-708-370444*823-424,True
--900291/*959166-280,--900291/*959166-280,True
*+-+-90974-523-45183,*+-+-90974-523-45183,False
--**-599763-318-318125,--**-599763-318-318125,True
+//517-685-602/-956331,+//517-685-602/-956331,True
-*-380-493*/-478-394-125,-*-380-493*/-478-394-125,False
--+/17-549-23329-109,--+/17-549-23329-109,True
++-*204-222-590-385520,++-*204-222-590-385520,False
+**/-314-630-7-242207,+**/-314-630-7-242207,False
++-900**454983-116494,++-900**454983-116494,True
+-393-596-978/374325,+-393-596-978/374325,False
-**38202*-600-864-189,-**38202*-600-864-189,False
+-+/41-18940416301,+-+/41-18940416301,True
+++311-745-210*-648397,+++311-745-210*-648397,False
----809/-689-464-322-941,----809/-689-464-322-941,True
++-590//56288-712-939,++-590//56288-712-939,True
--/557348-610/-586-640,--/557348-610/-586-640,True
/*//538290118-659-217,/*//538290118-659-217,True
-+--548*540257-757-342,-+--548*540257-757-342,False
-/**-362-8104185181,-/**-362-8104185181,False
-+-+-697-884-494-632235,-+-+-697-884-494-632235,True
++-864//-390715-981877,++-864//-390715-981877,True
*+*+264353-458-253569,*+*+264353-458-253569,False
--918-/*-586895-263-433,--918-/*-586895-263-433,False
-+/-764644-214/-337-697,-+/-764644-214/-337-697,False
--**-674233-476868461,--**-674233-476868461,True
+--+-92754-550-819-573,+--+-92754-550-819-573,True
-++*476799-771469-623,-++*476799-771469-623,False
--/991946261/-494-270,--/991946261/-494-270,True
-+---476365136857233,-+---476365136857233,False
++162738**345-771-713,++162738**345-771-713,False
+/*-723798580*-854708,+/*-723798580*-854708,False
--/33-527*718290110,--/33-527*718290110,False
+--645-955435/-39-217,+--645-955435/-39-217,True
+*+-626*115933-332-426,+*+-626*115933-332-426,True
--311*-/-30-252-95585,--311*-/-30-252-95585,False
/-/608373533/-500-784,/-/608373533/-500-784,False
--++266-555738-923490,--++266-555738-923490,True
/28//*-88-828912834,/28//*-88-828912834,True
/+-175+-291-636*-806-981,/+-175+-291-636*-806-981,True
++---35382995-277-21,++---35382995-277-21,True
+-*-176-730/-972868-572,+-*-176-730/-972868-572,False
+-772+**-128-51-493884,+-772+**-128-51-493884,False
*/*+-741959-848670-42,*/*+-741959-848670-42,True
-+-*-632-439897-342767,-+-*-632-439897-342767,False
++/*391-59664266523,++/*391-59664266523,False
+/-/-42-188-760-521-872,+/-/-42-188-760-521-872,True
/+/-946772/-698-624-341,/+/-946772/-698-624-341,False
--928/505-334*-173-509,--928/505-334*-173-509,True
+-+-305527-745208473,+-+-305527-745208473,False
-+-+-111448-163-582-39,-+-+-111448-163-582-39,True
*--747-491/434869-329,*--747-491/434869-329,False
+-*486-108*813201-731,+-*486-108*813201-731,True
*++485+993501-694559,*++485+993501-694559,False
---*-819151498636-421,---*-819151498636-421,True
+-367**/949692-767-32,+-367**/949692-767-32,False
--116//-93272750-41,--116//-93272750-41,False
+/*-178242-726/542-797,+/*-178242-726/542-797,False
+++-875729-774*-929-235,+++-875729-774*-929-235,False
+++661236/-301319,+++661236/-301319,False
---265-401**-240-464241,---265-401**-240-464241,True
+/566291*/-260-849-698,+/566291*/-260-849-698,True
-*-81522**-322381633,-*-81522**-322381633,True
+---382-278597902825,+---382-278597902825,False
*/*/-391-62680915530,*/*/-391-62680915530,True
-570/**-464-592592-303,-570/**-464-592592-303,True
+-+/-809656-301772-564,+-+/-809656-301772-564,True
+/*-236717-733*-149-230,+/*-236717-733*-149-230,False
--++500854-131-274-83,--++500854-131-274-83,False
-*-375-946**-929-546435,-*-375-946**-929-546435,False
+*793673/*641-46271,+*793673/*641-46271,True
++/-599674+-991879403,++/-599674+-991879403,False
+-/-650-953-450/589612,+-/-650-953-450/589612,False
+//559-743167/-91-916,+//559-743167/-91-916,True
-+--665-754-700/-898-683,-+--665-754-700/-898-683,True
++*/428851-62195131,++*/428851-62195131,False
-+199//-639214572739,-+199//-639214572739,True
*-109/*142-155-295428,*-109/*142-155-295428,False
---144/443855*848360,---144/443855*848360,True
+/-191-354//-891391-661,+/-191-354//-891391-661,False
----467/-748213-489897,----467/-748213-489897,True
-//*-383980-604205-4,-//*-383980-604205-4,True
-+**566527250289-598,-+**566527250289-598,False
--+-152-415*999-69391,--+-152-415*999-69391,True
/-*-694-852447/23-134,/-*-694-852447/23-134,False
-+/-830-715-800*249-371,-+/-830-715-800*249-371,True
-**+-228-520-963891287,-**+-228-520-963891287,False
/*-*-75501-951-802-214,/*-*-75501-951-802-214,False
