Original,Perturbed,Is_Equivalent
+-++*76-848493+/*11130886-389*350274-278,+-++*76-848493+/*11130886-389*350274-278,True
--+761615/626-88**/*/-718831813776292570,--+761615/626-88**/*/-718831813776292570,True
--44/911940/*/**/-643518-82972949928356,--44/911940/*/**/-643518-82972949928356,True
-++/*276-207-998*/-336-318-786/-664296/535448,-++/*276-207-998*/-336-318-786/-664296/535448,True
--+-//-74020-379*-324423//-802920-776-891638,--+-//-74020-379*-324423//-802920-776-891638,False
---+++276817**-825-364-228*811199-533377-140,---+++276817**-825-364-228*811199-533377-140,True
+-+-*142232///-657885704136/-936954-158272,+-+-*142232///-657885704136/-936954-158272,True
+-*/*876339-279948**/-695-991877560*-607937,+-*/*876339-279948**/-695-991877560*-607937,True
*-+-*314-701*/*-45358-785-16*-468429-112-271,*-+-*314-701*/*-45358-785-16*-468429-112-271,False
+-+**-610-70262/-378535/*/435-98118971234,+-+**-610-70262/-378535/*/435-98118971234,True
++--598-779//**//103-388-63-745539758378163,++--598-779//**//103-388-63-745539758378163,False
++-+--574-978*-573-24//-602124-350875*108-919,++-+--574-978*-573-24//-602124-350875*108-919,True
+/-+**552-470504/52-306//289478-388-25315,+/-+**552-470504/52-306//289478-388-25315,False
+-+/*//376-939-749940892*/-987105-463956726,+-+/*//376-939-749940892*/-987105-463956726,False
+---++-121964-436/635207388-884//-483295567,+---++-121964-436/635207388-884//-483295567,True
+++-*862-387-468/930-877/179-548*/643888875,+++-*862-387-468/930-877/179-548*/643888875,True
++-++/925-54957-800/-779-424/*-439148798915,++-++/925-54957-800/-779-424/*-439148798915,True
+---/346515-617/374-822//279555945*249558,+---/346515-617/374-822//279555945*249558,False
+-+-//619516638368/**-965-964599711-653-329,+-+-//619516638368/**-965-964599711-653-329,True
---++400214715832/**330-64-158476*-571-63,---++400214715832/**330-64-158476*-571-63,False
-+-+-349**/-458760994259712/-795-860*492-816,-+-+-349**/-458760994259712/-795-860*492-816,False
+--+-//-568-952-311-197103-619/104722/-119614,+--+-//-568-952-311-197103-619/104722/-119614,True
