Original,Perturbed,Is_Equivalent
+-+-/81-54/-4010/*0-8892/7970-61,+-+-/81-54/-4010/*0-8892/7970-61,True
--++17/-8239-/884025-42*/487738,--++17/-8239-/884025-42*/487738,False
+-+//*81-2721*-64-6260/-37-56-8057,+-+//*81-2721*-64-6260/-37-56-8057,False
---++++-61/-36-66-343352/6456-312,---++++-61/-36-66-343352/6456-312,True
-/**/71-799873-98//**-73-5881-2781,-/**/71-799873-98//**-73-5881-2781,False
++-++--89-62124634*3-45//44-277,++-++--89-62124634*3-45//44-277,True
-+-*-8897/////55-73-66-23-9126-6875,-+-*-8897/////55-73-66-23-9126-6875,False
++++1331////84-92964318-29/1135,++++1331////84-92964318-29/1135,False
+-+-+53/*-2885-96-90-2662//-74748,+-+-+53/*-2885-96-90-2662//-74748,False
+----26-7778//-41986525/*-48-8516,+----26-7778//-41986525/*-48-8516,False
---+/*/*79-9-17-44-76-9-84*-11-90-98,---+/*/*79-9-17-44-76-9-84*-11-90-98,True
++-+--83-26/2953**6730-196*-8250,++-+--83-26/2953**6730-196*-8250,False
-++/-3148*-93-50*/*39-3532-27*92-9,-++/-3148*-93-50*/*39-3532-27*92-9,False
--+-+*859-40*-37-54-91*13-34/-1345,--+-+*859-40*-37-54-91*13-34/-1345,True
++-+98/24-35*36-78/*2-11-64/-55-9,++-+98/24-35*36-78/*2-11-64/-55-9,False
---++---59662-32-51-54/-54-45*9813,---++---59662-32-51-54/-54-45*9813,True
+++/-8940-79***/1344-867528*3115,+++/-8940-79***/1344-867528*3115,True
-+--+44**/30-39-4184-8-9596*708,-+--+44**/30-39-4184-8-9596*708,False
+--59//**/14-956-6726-34*/63-5053,+--59//**/14-956-6726-34*/63-5053,True
-++/66-2379//**44-814288-56/901,-++/66-2379//**44-814288-56/901,True
/++-+6//*-70-6379-70-1665/55-41-80,/++-+6//*-70-6379-70-1665/55-41-80,False
-+--+/82-8*-831-29*-1627*-31-4128,-+--+/82-8*-831-29*-1627*-31-4128,False
+++-+*-139868/7573*933/-6512-61,+++-+*-139868/7573*933/-6512-61,False
-+---49-21*/-823614-2/*-21108686,-+---49-21*/-823614-2/*-21108686,False
--++//71-7855-18/+/638336578-32,--++//71-7855-18/+/638336578-32,False
---23*88-26*82-9/***62-4830-6244,---23*88-26*82-9/***62-4830-6244,True
+---+29//66-2-44**-483521-6-16-95,+---+29//66-2-44**-483521-6-16-95,True
+++30***/-6844-11-3792**-27-32-2740,+++30***/-6844-11-3792**-27-32-2740,True
