Original,Perturbed,Is_Equivalent
3.12 2.82 0.78 0.01 3.24 8.36 4.24 5.26 7.83 2.47 6.53 9.99 1.02 9.52 / + * / * / + + * - ^ 1 - * /,3.12 2.82 0.78 0.01 3.24 8.36 4.24 5.26 7.83 2.47 6.53 9.99 1.02 9.52 / + * / * / + + * - ^ 1 - * /,True
1.91 6.86 5.43 + * / 5.06 2.63 9.22 3.33 7.18 9.92 7.41 5.62 6.45 0.99 - ^ 2 - - / / * - ^ 1 / -,1.91 6.86 5.43 + * / 5.06 2.63 9.22 3.33 7.18 9.92 7.41 5.62 6.45 0.99 - ^ 2 - + / / * - ^ 1 / -,False
1.03 8.02 - + ^ 2 6.62 8.87 + + ^ 3.07 0.77 6.32 6.55 7.28 + + / * 2 / 4.88 7.18 + ^ 1 * 5.79,1.03 8.02 - + ^ 2 6.62 8.87 + + ^ 3.07 0.77 6.32 6.55 7.28 + + / * 2 / 4.88 7.18 + ^ 1 * 5.79,True
4.45 / 3.87 + 1.29 2.6 6.96 + ^ 2 - / 1.19 4.09 0.58 5.69 7.63 3.83 5.21 0.11 / * + / - / + ^ 2,4.45 / 3.87 + 1.29 2.6 6.96 + ^ 2 - / 1.19 4.09 0.58 5.69 7.63 3.83 5.21 0.11 / * + / - / - ^ 2,False
4.82 1.96 3.04 5.77 6.06 2.97 4.49 0.83 6.06 6.44 7.23 0.19 - - - ^ 1 + ^ 1 + + * + + ^ 1 * *,4.82 1.96 3.04 5.77 6.06 2.97 4.49 0.83 6.06 6.44 7.23 0.19 - - - ^ 1 + ^ 1 + + * + + ^ 1 * *,True
9.15 8.42 3.23 1.65 - * - - ^ 2 2.76 1.79 4.49 5.38 * - + - ^ * 0.29 7.49 * - ^ 2 1 ^ 1,9.15 8.42 3.23 1.65 - * - - ^ 2 2.76 1.79 4.49 5.38 * - + - ^ 9.43 0.29 7.49 * - ^ 2 1 ^ 1,False
8.67 7.11 9.28 8.54 6.45 5.39 + ^ 2 + * 7.28 2.14 8.55 / + * / + ^ 2 / 5.19 1.34 - * / + 2.1,8.67 7.11 9.28 8.54 6.45 5.39 + ^ 2 + * 7.28 2.14 8.55 / + * / + ^ 2 / 5.19 1.34 2.93 * / + 2.1,False
4.21 + 1.36 8.66 4.21 5.33 7.44 + - ^ 1.28 7.73 8.44 - - 8.98 3.91 4.81 + ^ 2 + - 2 / / + ^ 1,4.21 + 1.36 8.66 4.21 5.33 7.44 + - ^ 1.28 7.73 8.44 - - 8.98 3.91 4.81 + ^ 2 + - 2 / / + ^ 1,True
8.4 5.89 3.66 1.11 9.11 4.94 - + / * 8.47 3.88 7.57 3.3 4.66 1.17 * + - - / ^ 0.37 5.47 * 1 + + *,8.4 5.89 3.66 1.11 9.11 4.94 - + / * 8.47 3.88 7.57 3.3 4.66 1.17 * + - - / ^ 0.37 5.47 * 1 + + *,True
4.54 8.34 0.98 7.59 0.3 8.85 9.23 1.51 9.02 4.73 - ^ 2 / * + - * / + * - 1.66 3.47 1.13 3.24 + + +,4.54 8.34 0.98 7.59 0.3 8.85 9.23 1.51 9.02 4.73 - ^ 2 / * + - * / + * - 1.66 3.47 1.13 3.24 + + +,True
1.17 7.63 5.53 6.7 8.96 8.2 9.1 4.7 9.06 0.6 0.32 / * - ^ 2 - + ^ 2 + - + ^ 1 / - ^ 1,1.17 7.63 5.53 6.7 8.96 8.2 9.1 4.7 9.06 0.6 0.32 / * - ^ 2 - + ^ 2 + - + ^ 1 / - ^ 1,True
6.03 7.56 0.9 6.52 2.22 0.25 1.44 0.41 8.24 - ^ 2 * + * + ^ 1 - ^ 1 + / - 6.48 / 7.04 ^ 1,6.03 7.56 0.9 6.52 2.22 0.25 1.44 0.41 8.24 - ^ 2 * + * + ^ 1 - ^ 1 + / - 6.48 / 7.04 ^ 1,True
1.43 0.85 9.65 7.32 2.44 3.09 0.39 5.96 7.95 * + ^ 1 - - + ^ 1 + - ^ 1 - / 1.76 4.82 * ^ 1,1.43 0.85 9.65 7.32 2.44 3.09 0.39 5.96 7.95 * + ^ 1 - - + ^ 1 + - ^ 1 - / 1.76 4.82 * ^ 1,True
7.02 + ^ 8.34 8.64 5.55 4.33 7.43 2.71 / / / / / 2 * 1.44 + 1.7 6.54 9.21 + - ^ 2 - 0.6 9.37 +,7.02 + ^ 8.34 8.64 5.55 4.33 7.43 2.71 / / / / / 2 * 1.44 + 1.7 6.54 9.21 + - ^ 2 - 0.6 9.37 +,True
8.1 6.76 4.19 1.18 0.28 - - - ^ 1 - / 7.04 - 8.55 6.68 7.86 3.2 1.09 + - ^ 2 / + - ^ 2 +,8.1 6.76 4.19 1.18 0.28 - - - ^ 1 - / 7.04 7.42 8.55 6.68 7.86 3.2 1.09 + - ^ 2 / + - ^ 2 +,False
7.19 1.57 4.6 4.12 9.25 4.89 4.33 7.63 5.81 5.72 ^ 9.82 0.04 * + - + * - ^ 2 - ^ 1 + + / * /,7.19 1.57 4.6 4.12 9.25 4.89 4.33 7.63 5.81 5.72 5.27 9.82 0.04 * + - + * - ^ 2 - ^ 1 + + / * /,False
1.56 / / 4.55 1.2 4.99 3.63 1.89 5.18 7.75 5.85 - - ^ 1 + ^ 1 * - * * 4.22 + ^ 1 9.88 9.43 /,1.56 / / 4.55 1.2 4.99 3.63 1.89 5.18 7.75 5.85 / - ^ 1 + ^ 1 * - * * 4.22 + ^ 1 9.88 9.43 /,False
1.95 6.33 7.45 5.06 5.7 3.47 9.89 7.15 * 2.49 1.06 1.71 7.76 - ^ 2 * - / + ^ 1 / - + * - / +,1.95 6.33 7.45 5.06 5.7 3.47 9.89 7.15 0.43 2.49 1.06 1.71 7.76 - ^ 2 * - / + ^ 1 / - + * - / +,False
1.44 2.63 1.17 9.27 0.19 7.04 + - * + 4.57 7.1 6.48 7.21 1.67 9.46 0.98 - + - + * * * - + ^ 2 *,1.44 2.63 1.17 9.27 0.19 7.04 + - * 8.43 4.57 7.1 6.48 7.21 1.67 9.46 0.98 - + - + * * * - + ^ 2 *,False
5.25 9.56 5.93 1.28 10.0 1.52 5.56 3.79 6.91 0.7 4.34 8.51 9.4 8.68 7.08 / + + - * + / + / * + / + /,5.25 9.56 5.93 1.28 10.0 1.52 5.56 3.79 6.91 0.7 4.34 8.51 9.4 8.68 7.08 / + + - * + / + / * + / + /,True
5.75 7.59 3.49 / * + ^ 1 7.23 - 3.07 - ^ 1 4.51 6.11 - ^ 2 + ^ 1 7.25 6.52 3.48 - ^ 1 *,5.75 7.59 3.49 / * + ^ 1 7.23 - 3.07 - ^ 1 4.51 6.11 - ^ 2 + ^ 1 7.25 6.52 3.48 - ^ 1 *,True
1.9 0.64 4.83 1.36 4.86 0.33 * / / * * - / ^ 9.91 5.69 9.45 8.47 2.74 - ^ 2 - * / 2 9.77 - 8.85,1.9 0.64 4.83 1.36 4.86 0.33 * / / * * - / ^ 9.91 5.69 9.45 8.47 2.74 - ^ 2 - * / 2 9.77 - 8.85,True
1.8 7.69 3.13 - - 3.17 5.6 0.21 7.19 3.23 0.35 / + / * - 9.43 0.65 0.62 / - ^ 2 + - ^ 2 ^ 1,1.8 7.69 3.13 - - 3.17 5.6 0.21 7.19 3.23 0.35 / + / * - 9.43 0.65 0.62 / - ^ 2 + - ^ 2 ^ 1,True
1.88 8.41 5.24 3.43 8.46 2.48 2.19 9.47 3.75 / * - + / 8.97 0.42 8.9 - ^ 2 - ^ 2 + + + ^ 1 /,1.88 8.41 5.24 3.43 8.46 2.48 2.19 9.47 3.75 / * - + / 8.97 0.42 8.9 - ^ 2 - ^ 2 + + + ^ 1 /,True
9.66 8.33 4.68 7.85 3.14 / 8.89 / * / / - * * 7.78 3.73 5.78 9.22 6.17 1.19 8.52 + ^ 1 - + * * *,9.66 8.33 4.68 7.85 3.14 3.34 8.89 / * / / - * * 7.78 3.73 5.78 9.22 6.17 1.19 8.52 + ^ 1 - + * * *,False
5.45 0.25 4.09 1.19 1.13 3.28 9.03 0.74 5.96 7.84 9.34 9.47 2.2 + / - * * / - ^ 1 * * - - - ^ 1,5.45 0.25 4.09 1.19 1.13 3.28 9.03 0.74 5.96 7.84 9.34 9.47 2.2 + / - * * / - ^ 1 * * - - - ^ 1,True
8.56 9.72 / - / 2.11 4.08 / 5.21 4.1 9.41 + ^ 1 ^ / 8.09 8.88 0.27 + ^ 1 * * 0.24 0.85 2.35 - /,8.56 9.72 / - / 2.11 4.08 / 5.21 4.1 9.41 + ^ 1 + / 8.09 8.88 0.27 + ^ 1 * * 0.24 0.85 2.35 - /,False
+ ^ 1.46 0.14 / 2 1.09 5.42 8.69 + / 7.42 5.5 2.51 + / + + / 1 8.0 + 3.91 4.45 6.97 + ^ 1 -,+ ^ 1.46 0.14 / 2 1.09 5.42 8.69 + / 7.42 5.5 2.51 + / + + ^ 1 8.0 + 3.91 4.45 6.97 + ^ 1 -,False
8.98 8.82 5.85 7.85 7.28 2.81 + - * - ^ 1 * + 5.79 4.3 1.76 5.78 7.4 2.6 2.36 * * / / + + ^ 1,8.98 8.82 5.85 7.85 7.28 2.81 + - * - ^ 1 * + 5.79 4.3 1.76 5.78 7.4 2.6 2.36 * * / / + + ^ 1,True
0.54 8.56 9.69 2.64 - / 9.8 8.94 4.16 2.17 4.61 6.92 * + + + ^ 2 4.75 5.94 - ^ 2 * - + + ^ 2,0.54 8.56 9.69 2.64 - / 9.8 8.94 4.16 2.17 4.61 6.92 * + + + ^ 2 4.75 5.94 - ^ 2 * - * + ^ 2,False
5.81 3.73 3.71 7.4 6.04 5.4 1.41 6.41 5.8 7.54 9.21 3.42 8.13 - * - - - / * * + ^ 2 * ^ ^ 2 *,5.81 3.73 3.71 7.4 6.04 5.4 1.41 6.41 5.8 7.54 9.21 3.42 8.13 - * - - - / * * + ^ 2 * - ^ 2 *,False
8.29 9.16 9.69 2.87 6.56 0.92 2.56 0.31 5.72 9.31 9.58 0.42 6.05 0.82 - + - - / / - - - ^ 2 * - - -,8.29 9.16 9.69 2.87 6.56 0.92 2.56 0.31 5.72 9.31 9.58 0.42 6.05 0.82 - + - - / / - - - ^ 2 * - - -,True
9.18 3.17 2.55 3.89 2.34 6.47 2.91 / - / - ^ 1 * - / 1.17 2.12 2.27 9.51 9.44 7.66 - * + + - ^ 2,9.18 3.17 2.55 3.89 2.34 6.47 2.91 / - / - ^ 1 * - / 1.17 2.12 2.27 9.51 9.44 7.66 - * + + - ^ 2,True
4.21 9.82 8.59 9.81 8.17 7.04 2.17 * + ^ 2 / / + ^ 2 + - 2.76 / * 5.2 6.26 / 7.82 + 9.21 5.46 -,4.21 9.82 8.59 9.81 8.17 7.04 2.17 * + ^ 2 / / + ^ 2 + - 2.76 / * 5.2 6.26 / 7.82 + 9.21 5.46 -,True
6.42 + * - + ^ 7.73 2.57 7.05 0.71 7.42 6.01 9.13 6.61 / - * + + ^ 1 * + 2 * 7.03 2.21 * 4.13,6.42 1.36 * - + ^ 7.73 2.57 7.05 0.71 7.42 6.01 9.13 6.61 / - * + + ^ 1 * + 2 * 7.03 2.21 * 4.13,False
1.89 - 7.18 * ^ 3.4 4.61 - 6.58 0.6 2.07 6.88 1.34 5.94 5.13 / + - - ^ 2 * * - ^ 1 * / 2,1.89 - 7.18 * ^ 3.4 4.61 8.27 6.58 0.6 2.07 6.88 1.34 5.94 5.13 / + - - ^ 2 * * - ^ 1 * / 2,False
5.87 / 7.53 4.29 3.36 / / * 5.04 1.44 9.46 5.44 * * - ^ 2 / 9.22 5.96 + - 1.2 6.1 7.13 5.48 * - *,5.87 / 7.53 4.29 3.36 / / * 5.04 1.44 9.46 5.44 * * - ^ 2 / 9.22 5.96 + - 1.2 6.1 7.13 5.48 * - *,True
8.67 - ^ 4.81 7.95 3.05 2.45 4.0 8.26 5.09 7.22 1.76 + * + ^ 2 / / - / - 2 / / - 3.47 * 4.41,8.67 - ^ 4.81 7.95 3.05 2.45 4.0 8.26 5.09 7.22 1.76 + * + ^ 2 / / - / - 2 / / 0.74 3.47 * 4.41,False
9.45 7.97 5.9 7.18 6.21 2.19 3.24 2.78 5.24 9.4 9.5 + - + / - * 4.4 6.65 - ^ 1 + / + / + ^ 2,9.45 7.97 5.9 7.18 6.21 2.19 3.24 2.78 5.24 9.4 9.5 + - + / - * 4.4 6.65 - ^ 1 + / + / + ^ 2,True
