Original,Perturbed,Is_Equivalent
8.971.317.891.74+*++7.036.248.818.958.412.6/*-//,8.971.317.891.74+*++7.036.248.818.958.412.6/*-//,False
8.919.696.031.066.739.94+-^2+^1+^2-^1,8.919.696.031.066.739.94+-^2+^1+^2-^1,True
7.12*9.51-^19.252.019.172.223.4+^1+++^1,7.12*9.51-^19.252.019.172.223.4+^1+++^1,True
7.336.475.195.246.753.45/3.152.594.71-/+-+-*/*,7.336.475.195.246.753.45/3.152.594.71-/+-+-*/*,True
6.079.233.447.555.582.74-^2+-//1-+9.811.65*,6.079.233.447.555.582.74-^2+-//1-+9.811.65*,False
0.57-5.629.386.22/*-4.539.868.66^--^2-^1,0.57-5.629.386.22/*-4.539.868.66^--^2-^1,True
7.461.753.354.056.140.979.50.38.25*++-+/-^1*,7.461.753.354.056.140.979.50.38.25*++-+/-^1*,True
3.124.319.04^1.447.877.169.319.52-*+^1-/*++,3.124.319.04^1.447.877.169.319.52-*+^1-/*++,False
9.457.150.163.061.341.810.87+^2*-*-^2+^1,9.457.150.163.061.341.810.87+^2*-*-^2+^1,True
1.573.382.986.295.993.04.588.83*+*//+-^2+9.51,1.573.382.986.295.993.04.588.83*+*//+-^2+9.51,True
4.28.416.369.77--**1.848.65//5.298.31.399.29+++,4.28.416.369.77--**1.848.65//5.298.31.399.29+++,True
8.114.57/+^29.78+6.60.7/+^28.62--*0.88,8.114.57/+^29.78+6.60.7/+^28.62--*0.88,False
3.711.62/+-14.17.616.75-^1/+1.399.652.9/+,3.711.62/+-14.17.616.75-^1/+1.399.652.9/+,False
1.629.332.583.989.125.629.390.91/-/-+++-^20.26,1.629.332.583.989.125.629.390.91/-/-+++-^20.26,True
6.127.997.08--^1*5.086.968.25**+^7.128.12-2,6.127.997.08--^1*5.086.968.25**+^7.128.12-2,True
1.619.836.99.982.960.279.7-^9.59+^1-^7.17**-,1.619.836.99.982.960.279.7-^9.59+^1-^7.17**-,False
6.586.48.35.935.98.434.525.029.93/*//+^2-+-,6.586.48.35.935.98.434.525.029.93/*//+^2-+-,True
3.389.64/*9.829.377.36++/9.549.888.68/-^2-8.2,3.389.64/*9.829.377.36++/9.549.888.68/-^2-8.2,False
0.359.137.566.153.23*-^2//-8.963.671.57+*+8.53,0.359.137.566.153.23*-^2//-8.963.671.57+*+8.53,False
-2.855.242.581.734.644.6+/+-/**4.88.377.99/*,-2.855.242.581.734.644.6+/+-/**4.88.377.99/*,False
