Original,Perturbed,Is_Equivalent
--43*54^78267,--43*54^78267,False
/52-4-^10188,/52-4-^10188,True
--86^962*886,--86^962*886,True
-10+^43^55122,-10+^43^55122,False
/-+731449/2517,/-+731449/2517,False
/+^2615*570,/+^2615*570,False
-/+5171^4914,-/+5171^4914,True
--^452*609876,--^452*609876,False
-/3755++297492,-/3755++297492,False
---7877^368533,---7877^368533,False
-+/*5315873285,-+/*5315873285,False
+-+484731^8218,+-+484731^8218,False
++/796252/4024,++/796252/4024,False
++^882^94217,++^882^94217,True
+++^7624889,+++^7624889,False
-/5177//91020,-/5177//91020,False
+-*8355^88140,+-*8355^88140,True
-/1^342^182,-/1^342^182,True
//514-/105764,//514-/105764,True
-+/268594^162,-+/268594^162,False
**5353-^51165,**5353-^51165,True
+^721+^45225,+^721+^45225,True
-^^111/898879,-^^111/898879,True
-^512**456947,-^512**456947,False
+55//+39394957,+55//+39394957,True
---+9539417887,---+9539417887,False
---/9648874113,---/9648874113,True
-98/59+2*6786,-98/59+2*6786,True
--23*/59687372,--23*/59687372,False
^+/86^5429429,^+/86^5429429,False
+-26/^2169672,+-26/^2169672,False
++-46^2329979,++-46^2329979,False
+/+3681/275626,+/+3681/275626,False
/*/5668-462693,/*/5668-462693,True
+-+8421^45135,+-+8421^45135,True
+-^15276*1327,+-^15276*1327,True
-60-+9920/2291,-60-+9920/2291,False
+/9855*/931477,+/9855*/931477,False
-+^882*97281,-+^882*97281,False
-*38^181*4519,-*38^181*4519,False
-+92^8456/8745,-+92^8456/8745,True
+^^29246/7598,+^^29246/7598,False
**-882617^2560,**-882617^2560,False
++^2128*342,++^2128*342,False
+*/495979/8737,+*/495979/8737,True
++*96754*6574,++*96754*6574,True
+*-*7327848440,+*-*7327848440,False
*73-+648/6529,*73-+648/6529,True
+/6989//137234,+/6989//137234,False
++2853*74^361,++2853*74^361,False
-*48*/91571086,-*48*/91571086,True
*56-/*6697643,*56-/*6697643,False
+*/2481/669238,+*/2481/669238,False
-++^25189186,-++^25189186,True
++87*79^80121,++87*79^80121,True
-^8728/*648893,-^8728/*648893,False
++54/9884*9465,++54/9884*9465,False
++^45512/8148,++^45512/8148,True
*-+-230783232,*-+-230783232,False
/74++/5842275,/74++/5842275,True
-*3065/66/9646,-*3065/66/9646,False
-+^391^45240,-+^391^45240,True
-+25//79539129,-+25//79539129,False
-+81/224*842,-+81/224*842,False
+/1/68^75136,+/1/68^75136,False
--5326*/103362,--5326*/103362,False
*41++^2119878,*41++^2119878,True
-+-2446/129,-+-2446/129,True
+-57/73^6326,+-57/73^6326,False
++-121/218854,++-121/218854,False
++92/3740^241,++92/3740^241,False
++74^8569*5445,++74^8569*5445,True
-43/*587^801,-43/*587^801,False
+*8449-3^771,+*8449-3^771,False
+-^22961/1770,+-^22961/1770,False
+33-^562^5550,+33-^562^5550,False
--*132338/3240,--*132338/3240,False
--17*759*316,--17*759*316,True
*61-*/23111438,*61-*/23111438,False
--++422177390,--++422177390,True
-/63^221*4089,-/63^221*4089,True
--/696688/5590,--/696688/5590,False
--^452^99118,--^452^99118,False
-+*422^326045,-+*422^326045,True
-+*646152*696,-+*646152*696,True
--+50^3314297,--+50^3314297,False
*+5722*56-2446,*+5722*56-2446,True
*///361433774,*///361433774,False
--1659*/989181,--1659*/989181,False
---683696/6699,---683696/6699,True
-57*/*63287284,-57*/*63287284,True
/-^34270/9193,/-^34270/9193,False
+++^31554844,+++^31554844,False
+-/5146-918511,+-/5146-918511,False
--/6875^53295,--/6875^53295,False
+^642/66^6916,+^642/66^6916,False
++17*9157-5418,++17*9157-5418,True
--*184674-7111,--*184674-7111,True
-^+2241*26186,-^+2241*26186,False
+70/**90406548,+70/**90406548,True
