Original,Perturbed,Is_Equivalent
+ + + - + - 19 7 22 ^ 62 1 / 10 23 ^ 70 2 10,+ + + - + - 19 7 22 ^ 62 1 / 10 23 ^ 70 2 10,True
- - + - ^ 2 1 74 3 * - 67 73 9 / 70 - 8 94,- - + - ^ 2 1 74 3 * - 67 73 9 / 70 - 8 94,False
- 43 * - + 90 92 / 72 22 - - + * 31 57 87 7 39,- 43 * - + 90 92 / 72 22 - - + * 31 57 87 7 39,False
+ - 6 ^ 96 1 - - + * 69 94 59 * 28 ^ 54 1 55,+ - 6 ^ 96 1 - - + * 69 94 59 * 28 ^ 54 1 55,True
+ - - + - 81 ^ 73 1 75 + * 49 31 97 73 * 75 52,+ - - + - 81 ^ 73 1 75 + * 49 31 97 73 * 75 52,False
* 28 - - / 68 80 55 + - - / 79 56 57 ^ 46 1 29,* 28 - - / 68 80 55 + - - / 79 56 57 ^ 46 1 29,False
+ - - - ^ 59 2 ^ 29 2 * 30 1 30 * * 53 7 84,+ - - - ^ 59 2 ^ 29 2 * 30 1 30 * * 53 7 84,True
- + + + * 37 ^ 58 32 ^ 61 1 - 2 3 95 / 41 79,- + + + * 37 ^ 58 32 ^ 61 1 - 2 3 95 / 41 79,False
- + + * / / 55 82 31 / - 26 61 14 ^ 6 2 69 50,- + + * / / 55 82 31 / - 26 61 14 ^ 6 2 69 50,False
- - + - - 17 79 / * 23 81 ^ 56 2 20 ^ 38 2 13,- - + - - 17 79 / * 23 81 ^ 56 2 20 ^ 38 2 13,True
+ - + - - / ^ 72 1 5 5 6 * 2 16 / 70 20 45,+ - + - - / ^ 72 1 5 5 6 * 2 16 / 70 20 45,False
+ + / / 28 60 ^ 4 1 - / * 8 68 29 17 / 2 93,+ + / / 28 60 ^ 4 1 - / * 8 68 29 17 / 2 93,False
+ - ^ 63 1 60 * * 39 95 + / - 29 54 12 / 16 16,+ - ^ 63 1 60 * * 39 95 + / - 29 54 12 / 16 16,False
+ - - - 46 * 61 - + 83 2 58 * 28 32 ^ 39 26 1,+ - - - 46 * 61 - + 83 2 58 * 28 32 ^ 39 26 1,False
- - + 35 47 / 71 ^ 81 1 - 38 - / 88 10 * 31 36,- - + 35 47 / 71 ^ 81 1 - 38 - / 88 10 * 31 36,False
+ * 55 ^ 16 1 + + - - 22 34 ^ 35 2 ^ 82 1 42,+ * 55 ^ 16 1 + + - - 22 34 ^ 35 2 ^ 82 1 42,True
- + + - - 72 / 59 28 ^ 6 2 ^ 67 1 ^ 99 2 28,- + + - - 72 / 59 28 ^ 6 2 ^ 67 1 ^ 99 2 28,False
- + / 18 ^ ^ 21 24 1 / / 8 56 ^ 5 77 ^ 7 86,- + / 18 ^ ^ 21 24 1 / / 8 56 ^ 5 77 ^ 7 86,False
^ - + - - - 25 ^ 84 1 47 92 * 95 83 ^ 77 45 60,^ - + - - - 25 ^ 84 1 47 92 * 95 83 ^ 77 45 60,False
+ 44 * 46 - 46 - + ^ / 37 78 19 ^ 26 2 / 41 31,+ 44 * 46 - 46 - + ^ / 37 78 19 ^ 26 2 / 41 31,False
- + + - / 94 ^ 17 2 32 59 ^ 34 1 / 6 * 85 61,- + + - / 94 ^ 17 2 32 59 ^ 34 1 / 6 * 85 61,False
+ + - - / / 95 13 ^ 32 34 ^ 13 1 94 45 / 87 25,+ + - - / / 95 13 ^ 32 34 ^ 13 1 94 45 / 87 25,True
+ + - - - + 79 ^ 6 2 53 ^ 12 47 67 53 * 82 38,+ + - - - + 79 ^ 6 2 53 ^ 12 47 67 53 * 82 38,True
+ - + ^ 52 1 ^ 24 92 * * 50 85 48 * * 94 44 73,+ - + ^ 52 1 ^ 24 92 * * 50 85 48 * * 94 44 73,True
+ - - + 58 2 94 65 + + ^ 36 ^ 87 2 ^ 98 1 97,+ - - + 58 2 94 65 + + ^ 36 ^ 87 2 ^ 98 1 97,False
+ - + + * / 70 55 94 46 48 / / 95 91 28 ^ 93 2,+ - + + * / 70 55 94 46 48 / / 95 91 28 ^ 93 2,True
- + + - 19 67 46 25 * 18 - + + * 14 62 54 98 22,- + + - 19 67 46 25 * 18 - + + * 14 62 54 98 22,False
+ + - + - + - ^ 52 1 78 63 98 ^ 60 1 85 39 13,+ + - + - + - ^ 52 1 78 63 98 ^ 60 1 85 39 13,False
+ - + / 76 25 / 28 57 * * * 3 3 37 ^ 73 1 92,+ - + / 76 25 / 28 57 * * * 3 3 37 ^ 73 1 92,True
- * / 3 11 ^ 55 2 + + + 74 / 74 87 / 66 45 52,- * / 3 11 ^ 55 2 + + + 74 / 74 87 / 66 45 52,True
- - + ^ * / 2 71 68 2 7 ^ 25 2 * * 31 98 54,- - + ^ * / 2 71 68 2 7 ^ 25 2 * * 31 98 54,False
- ^ 33 2 - + - - ^ 20 1 ^ 80 2 4 17 ^ 29 2,- ^ 33 2 - + - - ^ 20 1 ^ 80 2 4 17 ^ 29 2,True
- - + ^ 60 1 20 50 + - + 5 ^ 78 1 ^ 26 1 25,- - + ^ 60 1 20 50 + - + 5 ^ 78 1 ^ 26 1 25,False
/ 30 - - + 74 85 / 87 + - ^ 44 1 60 22 * 56 1,/ 30 - - + 74 85 / 87 + - ^ 44 1 60 22 * 56 1,True
+ + * 53 29 6 * 85 + - / 54 40 73 * 84 ^ 11 2,+ + * 53 29 6 * 85 + - / 54 40 73 * 84 ^ 11 2,True
- - 98 * / / 38 95 70 ^ 95 2 * / / 57 56 99 25,- - 98 * / / 38 95 70 ^ 95 2 * / / 57 56 99 25,True
+ + + - - 21 67 / / 40 83 ^ 3 2 ^ 29 2 99 93,+ + + - - 21 67 / / 40 83 ^ 3 2 ^ 29 2 99 93,False
+ / - + + - 4 4 85 ^ 47 2 / 63 67 + 89 1 85,+ / - + + - 4 4 85 ^ 47 2 / 63 67 + 89 1 85,False
- - - + - ^ 90 2 ^ 66 2 99 / / 68 95 65 89 59,- - - + - ^ 90 2 ^ 66 2 99 / / 68 95 65 89 59,True
/ / * 76 66 1 - - + + / 36 82 25 ^ 41 2 83 60,/ / * 76 66 1 - - + + / 36 82 25 ^ 41 2 83 60,True
