Original,Perturbed,Is_Equivalent
-917.48+^2---792.13-404.1/,-917.48+^2---792.13-404.1/,False
-876.73-297.79-284.04*^510.34/^2,-876.73-297.79-284.04*^510.34/^2,False
-912.77-82.721.06-22.29-330.49**--,-912.77-82.721.06-22.29-330.49**--,True
687.39--236.64193.2--^2*,687.39--236.64193.2--^2*,False
739.58-606.91+^2+670.1921.71/,739.58-606.91+^2+670.1921.71/,True
889.0163.67*-370.67-404.21-***,889.0163.67*-370.67-404.21-***,False
46.59+^-459.5356.8/+^2,46.59+^-459.5356.8/+^2,False
-589.11-477.52+-478.04279.43/*^1,-589.11-477.52+-478.04279.43/*^1,True
-405.18414.88-918.76-899.89*/-+2,-405.18414.88-918.76-899.89*/-+2,True
-725.26325.62919.19-872.4-^1/-,-725.26325.62919.19-872.4-^1/-,False
-215.98*-966.48-519.12++*/1,-215.98*-966.48-519.12++*/1,True
-957.12/-104.53-31.07+^2*254.9,-957.12/-104.53-31.07+^2*254.9,True
66.98391.24885.5-^404.9--2,66.98391.24885.5-^404.9--2,False
128.42299.1/+/+^2329.65,128.42299.1/+/+^2329.65,False
-561.57-167.65951.48535.97*+-^468.47,-561.57-167.65951.48535.97*+-^468.47,False
483.21--755.24-107.37-974.41+-*/,483.21--755.24-107.37-974.41+-*/,True
708.34+-738.68-931.73-^1//,708.34+-738.68-931.73-^1//,False
367.41-379.21^-431.96*/-^1,367.41-379.21^-431.96*/-^1,False
505.14394.32-272.8615.65/-^1*,505.14394.32-272.8615.65/-^1*,True
-496.48332.99-369.11-989.25/-^260.44+,-496.48332.99-369.11-989.25/-^260.44+,False
207.13-865.84820.51*+/*^-986.41,207.13-865.84820.51*+/*^-986.41,False
-985.36714.61*+-216.3286.58//+,-985.36714.61*+-216.3286.58//+,False
-65.71-614.83984.4-683.32-210.69-/^,-65.71-614.83984.4-683.32-210.69-/^,False
-755.59-+^2-400.64^776.84,-755.59-+^2-400.64^776.84,False
-+^2286.52395.63-+1,-+^2286.52395.63-+1,False
21.05415.69-615.55-754.28253.77///*,21.05415.69-615.55-754.28253.77///*,False
776.01611.09-573.33823.45/-^2*,776.01611.09-573.33823.45/-^2*,False
-919.26607.88462.18119.47//+^-612.46,-919.26607.88462.18119.47//+^-612.46,True
-637.91177.94*/63.89997.12+*2,-637.91177.94*/63.89997.12+*2,True
+-954.8343.78*/*416.67--6.44,+-954.8343.78*/*416.67--6.44,True
-457.21-+-236.86-651.08/+^1,-457.21-+-236.86-651.08/+^1,False
367.09340.94-545.43*--/-512.88,367.09340.94-545.43*--/-512.88,True
--*863.86-392.53*+^2,--*863.86-392.53*+^2,False
361.9+*-274.9541.25++--,361.9+*-274.9541.25++--,False
+396.87459.8+-+^1664.27,+396.87459.8+-+^1664.27,True
104.33252.13-782.26-863.86-608.8-*+/,104.33252.13-782.26-863.86-608.8-*+/,True
-409.31*-760.78-192.8/+*^-880.79,-409.31*-760.78-192.8/+*^-880.79,False
216.37/775.88-551.78662.72-^1-,216.37/775.88-551.78662.72-^1-,True
-821.4/*-860.74-674.59--1,-821.4/*-860.74-674.59--1,True
887.92^42.5681.23341.09+-^2,887.92^42.5681.23341.09+-^2,True
-514.51994.83435.9164.11/-//-684.47,-514.51994.83435.9164.11/-//-684.47,True
-332.91167.15-654.28-410.77//-^170.27,-332.91167.15-654.28-410.77//-^170.27,True
65.8+75.18-^2-^2,65.8+75.18-^2-^2,True
-543.89+^947.92116.21-703.17408.21-*,-543.89+^947.92116.21-703.17408.21-*,False
-398.54782.62365.94911.36-43.81/*+-,-398.54782.62365.94911.36-43.81/*+-,False
-465.59-71.77-+^-994.78195.31+2,-465.59-71.77-+^-994.78195.31+2,True
530.8-154.89*/68.64-316.26-^1,530.8-154.89*/68.64-316.26-^1,True
882.01/448.5968.87-211.74/-+/,882.01/448.5968.87-211.74/-+/,True
^-576.81//-966.07*//+,^-576.81//-966.07*//+,False
903.91-721.72-711.9+-223.76-428.96+/+,903.91-721.72-711.9+-223.76-428.96+/+,False
515.12-161.13573.77-437.45++-*-595.61,515.12-161.13573.77-437.45++-*-595.61,True
799.65307.04/620.53*+-^1,799.65307.04/620.53*+-^1,False
^+-836.31-265.59-767.74+^2+,^+-836.31-265.59-767.74+^2+,False
5.47-^2-246.09--521.22++,5.47-^2-246.09--521.22++,True
-916.08//-706.95/+^1+,-916.08//-706.95/+^1+,False
-122.6-449.27-18.81-++**/,-122.6-449.27-18.81-++**/,False
460.95^-23.27427.62+^2*-,460.95^-23.27427.62+^2*-,True
-148.66-719.92-754.09///222.78^2,-148.66-719.92-754.09///222.78^2,False
/-823.84//-92.25507.44-39.29+*,/-823.84//-92.25507.44-39.29+*,True
532.1280.08+*^-539.99-409.38/1,532.1280.08+*^-539.99-409.38/1,True
-376.74*440.88-614.35-596.75-^1,-376.74*440.88-614.35-596.75-^1,True
-337.82-491.38-994.46-670.93^*1+-,-337.82-491.38-994.46-670.93^*1+-,True
-990.87287.38201.34^+-^1962.77,-990.87287.38201.34^+-^1962.77,True
68.79+332.84-785.65654.22/^643.56-,68.79+332.84-785.65654.22/^643.56-,False
645.79-745.73296.82--986.69/**+,645.79-745.73296.82--986.69/**+,True
-131.9-135.3483.19-+^2^1,-131.9-135.3483.19-+^2^1,True
-762.13-869.9-944.63-951.84+/-^441.77,-762.13-869.9-944.63-951.84+/-^441.77,False
-338.13-568.24--603.73811.01707.0+-,-338.13-568.24--603.73811.01707.0+-,False
-615.75387.59166.92282.81-*+^2,-615.75387.59166.92282.81-*+^2,True
+/-184.33-189.73/--82.78-310.29-,+/-184.33-189.73/--82.78-310.29-,False
146.49+-668.98-914.24//^1+,146.49+-668.98-914.24//^1+,True
-545.78814.78-544.17-290.4--^512.72-,-545.78814.78-544.17-290.4--^512.72-,True
532.66*-57.23-773.46641.57-^-*,532.66*-57.23-773.46641.57-^-*,False
-981.6941.91-385.19-966.44*-+^2,-981.6941.91-385.19-966.44*-+^2,True
-429.35-880.32687.97++^2^2,-429.35-880.32687.97++^2^2,True
-761.8-166.3^-437.9*/-^1,-761.8-166.3^-437.9*/-^1,True
49.86*-543.72/-892.08+^-320.87-,49.86*-543.72/-892.08+^-320.87-,False
