Original,Perturbed,Is_Equivalent
95.6452.81-75.07-22.46/+///,95.6452.81-75.07-22.46/+///,False
-19.14-45.56/*5.472.06*^82.91,-19.14-45.56/*5.472.06*^82.91,False
-3.43-35.9663.970.04^^-*+,-3.43-35.9663.970.04^^-*+,False
3.56-44.57-62.62-97.29++^1*,3.56-44.57-62.62-97.29++^1*,True
-20.23-39.56-68.82-9.69**+^1,-20.23-39.56-68.82-9.69**+^1,True
96.8753.16++95.755.68++-,96.8753.16++95.755.68++-,True
/23.63-42.76-59.03*-^1+,/23.63-42.76-59.03*-^1+,True
-42.0291.76^-73.02--^1*,-42.0291.76^-73.02--^1*,False
10.1556.22-61.48+^/-^1,10.1556.22-61.48+^/-^1,False
76.4354.876.49-92.65^+^50.11*,76.4354.876.49-92.65^+^50.11*,False
--79.6562.74--2+^2,--79.6562.74--2+^2,True
*-75.29-9.31-51.87+/-9.5^-57.27,*-75.29-9.31-51.87+/-9.5^-57.27,False
-23.98*-96.84-50.3775.8256.21-/+,-23.98*-96.84-50.3775.8256.21-/+,False
17.18-31.48+-49.83/*++-95.46,17.18-31.48+-49.83/*++-95.46,False
28.97-28.67^-71.18/--+78.91,28.97-28.67^-71.18/--+78.91,True
34.6667.228.73-41.62++^46.92+,34.6667.228.73-41.62++^46.92+,False
-68.04--56.8-82.86/++*1,-68.04--56.8-82.86/++*1,True
71.41/^29.61//^21,71.41/^29.61//^21,False
-5.6592.9467.09-4.25-*+/*,-5.6592.9467.09-4.25-*+/*,False
16.2133.13/*-96.3294.96*/,16.2133.13/*-96.3294.96*/,True
-54.0797.13-65.26*--**-,-54.0797.13-65.26*--**-,False
68.37+6.69*-89.7115.69-2.93^*,68.37+6.69*-89.7115.69-2.93^*,True
52.9492.1492.810.9/+-^2,52.9492.1492.810.9/+-^2,True
-22.44*+9.8853.833.22-/+,-22.44*+9.8853.833.22-/+,True
-7.1866.47*-27.14-77.5/^1,-7.1866.47*-27.14-77.5/^1,False
-89.46-34.8174.4684.35++-/+,-89.46-34.8174.4684.35++-/+,False
48.4616.5916.0--+^2/,48.4616.5916.0--+^2/,True
22.9396.33-30.58-65.03+^+^2,22.9396.33-30.58-65.03+^+^2,False
-11.0430.9531.9271.17+^2*-,-11.0430.9531.9271.17+^2*-,False
-98.67-28.93-53.04-+1+^2,-98.67-28.93-53.04-+1+^2,False
17.96-32.82-80.2^*+*^2,17.96-32.82-80.2^*+*^2,False
-74.33-58.8698.851.63+*-^-44.22,-74.33-58.8698.851.63+*-^-44.22,False
-89.62+^78.16^-77.36+^7.16,-89.62+^78.16^-77.36+^7.16,False
-46.99-^-48.0739.8-42.9*/2,-46.99-^-48.0739.8-42.9*/2,True
-71.43/*-65.0837.4^-^2,-71.43/*-65.0837.4^-^2,False
26.02-48.59-96.2-71.83-+1-^,26.02-48.59-96.2-71.83-+1-^,True
-88.46-87.93-+^-87.24-28.78+2,-88.46-87.93-+^-87.24-28.78+2,True
62.61-91.61-81.0662.42//-/-12.04,62.61-91.61-81.0662.42//-/-12.04,True
-56.8271.29-50.0912.32-52.39-+--,-56.8271.29-50.0912.32-52.39-+--,True
+43.12-*69.44-52.3562.68+/,+43.12-*69.44-52.3562.68+/,False
6.82+^1--79.3+^1,6.82+^1--79.3+^1,True
92.02^-6.8953.3*///+,92.02^-6.8953.3*///+,False
-84.73+63.7699.5415.6970.9/*+,-84.73+63.7699.5415.6970.9/*+,False
*+-82.81-37.0977.42++^2,*+-82.81-37.0977.42++^2,True
32.26-*176.3-53.3166.02+*,32.26-*176.3-53.3166.02+*,True
74.4358.16-40.67-**48.39^/,74.4358.16-40.67-**48.39^/,True
43.785.18*^54.26^+^2,43.785.18*^54.26^+^2,False
14.7-83.45/-53.75/^2//,14.7-83.45/-53.75/^2//,True
/98.61-29.8531.99+^1+*,/98.61-29.8531.99+^1+*,True
/32.15/-^1-44.0463.48-,/32.15/-^1-44.0463.48-,True
76.7776.08/-24.12-72.48-^1*,76.7776.08/-24.12-72.48-^1*,False
66.8694.4-47.089.54-+/-/,66.8694.4-47.089.54-+/-/,True
-97.12*54.68^+*35.66-15.99+,-97.12*54.68^+*35.66-15.99+,False
29.411.96-45.13-19.27/*/-+,29.411.96-45.13-19.27/*/-+,True
-70.41--75.0279.6-55.95-^2+,-70.41--75.0279.6-55.95-^2+,False
79.09-93.22-42.51-16.5910.95-+//,79.09-93.22-42.51-16.5910.95-+//,False
+-27.197.1-65.51+^2**,+-27.197.1-65.51+^2**,False
-0.59-68.5-36.36+--^2,-0.59-68.5-36.36+--^2,True
90.4618.3336.11-10.06*//^-15.68,90.4618.3336.11-10.06*//^-15.68,True
+*^-89.564.49++/*,+*^-89.564.49++/*,False
-96.44-24.0265.6839.17+-^1/,-96.44-24.0265.6839.17+-^1/,True
60.3-28.7181.59/*/-^1,60.3-28.7181.59/*/-^1,True
-39.97/-40.0815.82+*-^1,-39.97/-40.0815.82+*-^1,False
-78.34/47.06-8.07+*-+,-78.34/47.06-8.07+*-+,False
^-0.04+21.9/*+^1,^-0.04+21.9/*+^1,True
-78.4-37.8942.5715.96-74.67/+/-,-78.4-37.8942.5715.96-74.67/+/-,True
-95.23+16.27-31.8811.85**/56.25,-95.23+16.27-31.8811.85**/56.25,True
/7.45-62.5952.99+/+^1,/7.45-62.5952.99+/+^1,True
^+-50.0-80.891.29+-^1,^+-50.0-80.891.29+-^1,True
86.96-24.32-1.86-32.641.74-+*-,86.96-24.32-1.86-32.641.74-+*-,True
-92.92-31.39-98.2318.12//+^2,-92.92-31.39-98.2318.12//+^2,True
-54.3470.012.34-43.8140.31*/-/,-54.3470.012.34-43.8140.31*/-/,True
98.3871.22-14.3931.49-42.54-+*/,98.3871.22-14.3931.49-42.54-+*/,False
^/9.98-1.978.2+^1+,^/9.98-1.978.2+^1+,False
-53.4759.8-87.97-++*--31.31,-53.4759.8-87.97-++*--31.31,False
53.4156.07^50.79-1.69/*+/,53.4156.07^50.79-1.69/*+/,True
-80.64*84.3744.58*/+-,-80.64*84.3744.58*/+-,False
94.91/-44.05-44.83-41.54-//-,94.91/-44.05-44.83-41.54-//-,False
61.9795.6577.927.07/^--84.01,61.9795.6577.927.07/^--84.01,False
-^32.6297.44+-/^2,-^32.6297.44+-/^2,False
-50.03-47.5965.98+72.53*++/,-50.03-47.5965.98+72.53*++/,True
7.8*97.19-/--^2,7.8*97.19-/--^2,False
-66.88-17.04-42.9299.49*-^1+,-66.88-17.04-42.9299.49*-^1+,True
2.78+++/-65.43-22.76^-,2.78+++/-65.43-22.76^-,False
-3.7340.24-25.1719.75/^^61.6+,-3.7340.24-25.1719.75/^^61.6+,False
6.19+*-27.79//*^2,6.19+*-27.79//*^2,False
-79.5361.224.2/+*-94.77/+,-79.5361.224.2/+*-94.77/+,False
-90.36-89.4-72.1-51.61-39.44*--/,-90.36-89.4-72.1-51.61-39.44*--/,True
-82.32^-41.454.9-^1+-,-82.32^-41.454.9-^1+-,False
98.15-1.0434.4966.5-99.2/***,98.15-1.0434.4966.5-99.2/***,False
56.71-16.0-90.11*+^2^2,56.71-16.0-90.11*+^2^2,True
-41.5-6.72-33.3321.1928.7/++-,-41.5-6.72-33.3321.1928.7/++-,True
93.16+^180.72.8222.31++,93.16+^180.72.8222.31++,False
-20.76-2.3820.82-43.45/-+^-57.6,-20.76-2.3820.82-43.45/-+^-57.6,True
86.279.51-52.03-30.7+//+,86.279.51-52.03-30.7+//+,False
-10.88/6.76-7.84/--22.4^87.45,-10.88/6.76-7.84/--22.4^87.45,False
-75.73-89.41-61.18-19.26+^1--,-75.73-89.41-61.18-19.26+^1--,True
-55.851.2-7.68/-+2^2,-55.851.2-7.68/-+2^2,False
65.34-22.9777.7-90.17/++^2,65.34-22.9777.7-90.17/++^2,False
-24.34^+*-32.51-^265.34,-24.34^+*-32.51-^265.34,True
