Original,Perturbed,Is_Equivalent
6.883.338.42*1.19*2.138.712.286.19--+/+++*0.754.579.456.26-+++7.263.55/,6.883.338.42*1.19*2.138.712.286.19--+/+++*0.754.579.456.26-+++7.263.55/,False
4.634.952.176.961.547.73/++*/*/4.911.52*7.82/1.84-/+6.390.3-**2.13+,4.634.952.176.961.547.73/++*/*/4.911.52*7.82/1.84-/+6.390.3-**2.13+,False
9.12-0.985.81+*0.86-8.116.157.4+**+-0.111.575.093.976.21-/5.058.08*-*-,9.12-0.985.81+*0.86-8.116.157.4+**+-0.111.575.093.976.21-/5.058.08*-*-,True
4.583.376.465.911.927.28.365.297.28+/-+-+*--1.383.511.519.2//*/9.241.71-,4.583.376.465.911.927.28.365.297.28+/-+-+*--1.383.511.519.2//*/9.241.71-,True
7.49*4.621.077.012.511.925.768.624.894.452.246.72+-/+/***+**/-2.090.47*,7.49*4.621.077.012.511.925.768.624.894.452.246.72+-/+/***+**/-2.090.47*,True
5.45-5.346.040.540.5--4.61.917.885.85.533.876.7**-/1.356.49/*//*+++,5.45-5.346.040.540.5--4.61.917.885.85.533.876.7**-/1.356.49/*//*+++,True
4.464.653.071.993.387.087.095.346.875.115.044.294.56-*1.547.55/+*++//////*,4.464.653.071.993.387.087.095.346.875.115.044.294.56-*1.547.55/+*++//////*,True
2.878.815.563.021.74+*+-/4.08.488.6+1.142.088.950.52+5.12/*+-/**/+,2.878.815.563.021.74+*+-/4.08.488.6+1.142.088.950.52+5.12/*+-/**/+,True
4.627.47.40.527.276.744.478.78+--+-//+6.617.5+/+9.269.389.179.95/++*,4.627.47.40.527.276.744.478.78+--+-//+6.617.5+/+9.269.389.179.95/++*,True
0.844.37*/0.79.299.046.338.75.695.56+//*-*-9.945.070.56-/**7.548.42*-,0.844.37*/0.79.299.046.338.75.695.56+//*-*-9.945.070.56-/**7.548.42*-,True
3.968.02.49+*-/0.986.592.497.472.353.340.757.84+9.593.74//++++///+3.15,3.968.02.49+*-/0.986.592.497.472.353.340.757.84+9.593.74//++++///+3.15,False
2.256.27/0.593.714.153.590.910.465.948.06/**+7.755.181.049.71-/-*/++//2.95,2.256.27/0.593.714.153.590.910.465.948.06/**+7.755.181.049.71-/-*/++//2.95,True
8.030.87/+--9.53*1.675.96/+1.752.896.757.969.167.948.688.86+-*+/*-+7.14,8.030.87/+--9.53*1.675.96/+1.752.896.757.969.167.948.688.86+-*+/*-+7.14,False
9.851.633.60.515.22*--+-8.864.255.93+/8.072.235.41.3/-/-*6.58.573.75*-,9.851.633.60.515.22*--+-8.864.255.93+/8.072.235.41.3/-/-*6.58.573.75*-,True
7.443.997.6-1.015.991.22.81+1.943.13/+**-+*//2.177.387.469.733.77//--,7.443.997.6-1.015.991.22.81+1.943.13/+**-+*//2.177.387.469.733.77//--,False
2.269.14-2.533.664.971.69+*/*-+*7.10.687.953.14*--*8.834.284.964.27-+*,2.269.14-2.533.664.971.69+*/*-+*7.10.687.953.14*--*8.834.284.964.27-+*,True
1.54-0.64/-+3.12*4.063.987.72*/*3.858.891.81+*/9.257.353.563.755.93--/+,1.54-0.64/-+3.12*4.063.987.72*/*3.858.891.81+*/9.257.353.563.755.93--/+,False
4.71.319.868.454.28.557.427.68++----*/3.836.896.880.248.276.43.11+/+/++,4.71.319.868.454.28.557.427.68++----*/3.836.896.880.248.276.43.11+/+/++,True
