Original,Perturbed,Is_Equivalent
3.326.026.132.843.84+*8.05.574.79+*+*--*7.96-,3.326.026.132.843.84+*8.05.574.79+*+*--*7.96-,False
/7.035.38*-/2.78-9.222.78++3.395.082.440.32++/,/7.035.38*-/2.78-9.222.78++3.395.082.440.32++/,True
5.434.023.582.636.485.92*5.72//**/***3.24/4.73,5.434.023.582.636.485.92*5.72//**/***3.24/4.73,False
6.971.944.99*2.516.051.46*-+/*--7.5+6.26*3.39,6.971.944.99*2.516.051.46*-+/*--7.5+6.26*3.39,False
0.284.287.019.69/5.88-+--+5.83*7.65//**2.3,0.284.287.019.69/5.88-+--+5.83*7.65//**2.3,True
9.19.95-/*9.016.51**+/-1.96/0.695.44.55*-,9.19.95-/*9.016.51**+/-1.96/0.695.44.55*-,False
8.71*7.911.94.297.278.9++-0.080.660.980.83**-+/,8.71*7.911.94.297.278.9++-0.080.660.980.83**-+/,False
7.31/2.08/+/6.575.98*9.03-++*6.721.61.16-/,7.31/2.08/+/6.575.98*9.03-++*6.721.61.16-/,False
8.492.31.67-*+8.92+4.161.489.03/4.834.01**++/,8.492.31.67-*+8.92+4.161.489.03/4.834.01**++/,True
9.370.481.97.927.495.618.795.587.59+**///+//*,9.370.481.97.927.495.618.795.587.59+**///+//*,False
4.728.376.553.449.427.92+/*+-/5.856.165.7+***,4.728.376.553.449.427.92+/*+-/5.856.165.7+***,True
7.498.423.384.835.88.323.6*8.494.13//-+-+-*-,7.498.423.384.835.88.323.6*8.494.13//-+-+-*-,True
8.370.22.021.354.267.15--*-/1.454.98++/7.76*8.74,8.370.22.021.354.267.15--*-/1.454.98++/7.76*8.74,False
3.862.2910.02.415.375.613.04+-*-*-+3.570.56+/0.19,3.862.2910.02.415.375.613.04+-*-*-+3.570.56+/0.19,False
6.541.633.071.669.373.491.91.79**/--/5.417.57/+/,6.541.633.071.669.373.491.91.79**/--/5.417.57/+/,True
6.831.32.719.984.80.737.58--/--/+8.82*+/-,6.831.32.719.984.80.737.58--/--/+8.82*+/-,False
1.476.631.144.91-/**9.628.30.85.496.13+///-2.47,1.476.631.144.91-/**9.628.30.85.496.13+///-2.47,True
9.64+9.9-9.89.63+/*/*/9.55.079.448.69//*,9.64+9.9-9.89.63+/*/*/9.55.079.448.69//*,True
4.83-8.50.65.35-*//2.17-4.548.767.45/-///,4.83-8.50.65.35-*//2.17-4.548.767.45/-///,False
9.09*2.956.37**8.999.067.26--+0.487.875.14/-/9.23,9.09*2.956.37**8.999.067.26--+0.487.875.14/-/9.23,True
4.39+8.028.076.633.221.93//++*/9.642.44+**7.49,4.39+8.028.076.633.221.93//++*/9.642.44+**7.49,True
5.724.635.735.937.528.367.04/*++-++4.938.555.3--,5.724.635.735.937.528.367.04/*++-++4.938.555.3--,True
4.66*7.643.45+//*7.687.696.547.658.375.16--/-*,4.66*7.643.45+//*7.687.696.547.658.375.16--/-*,False
0.54.31.251.714.92*-/**3.194.283.197.354.87+*+/,0.54.31.251.714.92*-/**3.194.283.197.354.87+*+/,False
2.915.25+4.046.793.05/0.58-***//+*6.133.69+,2.915.25+4.046.793.05/0.58-***//+*6.133.69+,False
1.86/1.845.385.72*-+9.694.662.476.226.96.19/---/,1.86/1.845.385.72*-+9.694.662.476.226.96.19/---/,False
