Original,Perturbed,Is_Equivalent
-++---++613*+-914272197384730612598/264813**633-678916-662-146,-++---++613*+-914272197384730612598/264813**633-678916-662-146,True
/-68*-377+-++-846276*/-44685230482///624-975---817*-55192914-948,/-68*-377+-++-846276*/-44685230482///624-975---817*-55192914-948,False
+208*635-++++/165844*800685*+-256/-120248-859477/-790833*335-910,+208*635-++++/165844*800685*+-256/-120248-859477/-790833*335-910,False
++/89-1244*497-681/803+-630*-166+---/889-22-670-763546+447629,++/89-1244*497-681/803+-630*-166+---/889-22-670-763546+447629,True
--+/--+--*752515608655**-643294-510-176*810535327/550-428527904,--+/--+--*752515608655**-643294-510-176*810535327/550-428527904,False
-+*//-399824-145763*//776-249-+-567*--633*-85047-689-108-961/-396389,-+*//-399824-145763*//776-249-+-567*--633*-85047-689-108-961/-396389,False
+-++52712452*236184-+/-50-780/*-68274--399760**644192-43218,+-++52712452*236184-+/-50-780/*-68274--399760**644192-43218,False
-+---++-+769-230981649-415/115-28/*-891-1874-63*225-218*150951,-+---++-+769-230981649-415/115-28/*-891-1874-63*225-218*150951,True
---++--554/+949-149-940*-72333*/457-62540*//236371-847516-65-539,---++--554/+949-149-940*-72333*/457-62540*//236371-847516-65-539,False
--/601*/-684-339-570445/361*826*-467-///584-527594574*/469731629,--/601*/-684-339-570445/361*826*-467-///584-527594574*/469731629,True
+-+498-877*-506-809-332*371+//856-103626--270**-383584--154*405-378,+-+498-877*-506-809-332*371+//856-103626--270**-383584--154*405-378,True
++----188294+-802/255627-688-991-+254//589944+-153*55080316159,++----188294+-802/255627-688-991-+254//589944+-153*55080316159,False
++/+++-259-593/+-589645808/308113*430-464/*844-85-972-384*866-438,++/+++-259-593/+-589645808/308113*430-464/*844-85-972-384*866-438,False
+++-32//40-222-416439+--+475/+--957781-47-887533-32-8*69389,+++-32//40-222-416439+--+475/+--957781-47-887533-32-8*69389,True
-+//-731-280955-249***-277128796--+699-*-29/436/-897-9032-340-170,-+//-731-280955-249***-277128796--+699-*-29/436/-897-9032-340-170,True
*-65-/*-291++--495*970446124647-211-/-555326--820-913**27127-608,*-65-/*-291++--495*970446124647-211-/-555326--820-913**27127-608,True
-++++--+41//-98595558239-221645295580///-705686163537/-26183,-++++--+41//-98595558239-221645295580///-705686163537/-26183,False
++462*/292-500-----434-966-821*-133204*993-805-158+--868*-48920394,++462*/292-500-----434-966-821*-133204*993-805-158+--868*-48920394,False
--+*-74*-600406709*522-920*//***312-362-625872--455-618-880-282354,--+*-74*-600406709*522-920*//***312-362-625872--455-618-880-282354,False
-626--/450519404-+-983682++--46933*563-69**519945308/-440-872,-626--/450519404-+-983682++--46933*563-69**519945308/-440-872,True
+--+***908936395--***-761-408677-901-251-759-793-872-518+*-906-314-997,+--+***908936395--***-761-408677-901-251-759-793-872-518+*-906-314-997,True
+/*-124*-222-644+--+/-116-919+--411663/769-486*610124886-393627363,+/*-124*-222-644+--+/-116-919+--411663/769-486*610124886-393627363,False
-+-++*/-100989583-944387*773421790+428*-463++107//-373-258-533-907,-+-++*/-100989583-944387*773421790+428*-463++107//-373-258-533-907,True
/+-662-761+*-828-560--879/651+-665/412+/249-174/*-710-427+/-521-62736,/+-662-761+*-828-560--879/651+-665/412+/249-174/*-710-427+/-521-62736,True
+-538-***520154-946-752-+--192306**584-294-826+--236/-883-158/-166592,+-538-***520154-946-752-+--192306**584-294-826+--236/-883-158/-166592,True
-**-906--/**-588-659143926-263**/**-970951-66-739-5-997-562/-910-572,-**-906--/**-588-659143926-263**/**-970951-66-739-5-997-562/-910-572,False
+-/+--16/-272591**-517-510168167*300-329/*/-221-696*-93555196-803,+-/+--16/-272591**-517-510168167*300-329/*/-221-696*-93555196-803,False
--++**609-469767758/-503--903-812**575-738-528**701-564++81-465329,--++**609-469767758/-503--903-812**575-738-528**701-564++81-465329,True
-+-925**78986-858+-+687408-843/114--526696*-986--22+447+-984-751,-+-925**78986-858+-+687408-843/114--526696*-986--22+447+-984-751,False
+++-772-501/**///-85420-305-503-639372-157-660-154//324-534166-33,+++-772-501/**///-85420-305-503-639372-157-660-154//324-534166-33,False
+-++--221-954*/-749-364-958*/233-784-347/662-477//-797//-796-640-354-115,+-++--221-954*/-749-364-958*/233-784-347/662-477//-797//-796-640-354-115,True
+++--+-19528760-246-933*407++/*-78-815597//663-863-70144*-665636,+++--+-19528760-246-933*407++/*-78-815597//663-863-70144*-665636,True
--571*-50++-661884+/-274397*-444-+-+151-640--/554769638708831-358,--571*-50++-661884+/-274397*-444-+-+151-640--/554769638708831-358,True
++-+-+-622-360**766121-380483-709+-**//-640372-849208-506-851646709,++-+-+-622-360**766121-380483-709+-**//-640372-849208-506-851646709,True
++-++-**368375-59-869//*711938659-320-590-499/17-782/-990-190900,++-++-**368375-59-869//*711938659-320-590-499/17-782/-990-190900,False
-----++++-523-402/-9749349-870559794-860*/**-930283415-113-383577,-----++++-523-402/-9749349-870559794-860*/**-930283415-113-383577,True
----+-531857*-834444/-203346*-406-73669//*//29779-643-287-982-73,----+-531857*-834444/-203346*-406-73669//*//29779-643-287-982-73,True
+/--424-377-239*-336-++++*413-923/413274+-371**143896-938-772493-483,+/--424-377-239*-336-++++*413-923/413274+-371**143896-938-772493-483,True
-+-*-809-550*++-+554458/*/-790862-510196778-754588/579810/123-830,-+-*-809-550*++-+554458/*/-790862-510196778-754588/579810/123-830,True
++-+/+--704835-119-175/**/-828721-847915-339-386+-666939//-120-795-294,++-+/+--704835-119-175/**/-828721-847915-339-386+-666939//-120-795-294,True
+--++-+-582*+/892537*433661309697*-792345-909-346223**-267630131,+--++-+-582*+/892537*433661309697*-792345-909-346223**-267630131,True
---+-+--317-658/-746-681*-579-421/*-584421-786*-798436826+/-11-62144,---+-+--317-658/-746-681*-579-421/*-584421-786*-798436826+/-11-62144,True
--+--963//-870-442-803*890-561*148-+--843574-406/-612-953726+-889964,--+--963//-870-442-803*890-561*148-+--843574-406/-612-953726+-889964,True
-/---/-39231*-811/850974-772*-987-877/*205822-891**-355214-51481,-/---/-39231*-811/850974-772*-987-877/*205822-891**-355214-51481,True
--++*//-59**694273586-940-560180*834617*//358-953398-143/-799694,--++*//-59**694273586-940-560180*834617*//358-953398-143/-799694,True
-/791-372-+/-736-401*30-105++476*/-416-601-442/-445-*-886-814+18343,-/791-372-+/-736-401*30-105++476*/-416-601-442/-445-*-886-814+18343,True
+--+--+975953343+921-627///-9563193-874-981/*-115*556-833-377154,+--+--+975953343+921-627///-9563193-874-981/*-115*556-833-377154,True
+-+++-345520703518*751350-279/-521--101-+-358+219981/*-734-161149,+-+++-345520703518*751350-279/-521--101-+-358+219981/*-734-161149,True
+-+++-++*+*363-92686679/-459-907-325-61-166215198/536923*-128-64,+-+++-++*+*363-92686679/-459-907-325-61-166215198/536923*-128-64,False
--++-987*-69858*224553-*//254-625-241467-999/651-+-720-170703,--++-987*-69858*224553-*//254-625-241467-999/651-+-720-170703,False
--731/676462+-+*/-81-731-157257-307/-180+-924539--606**107637-477,--731/676462+-+*/-81-731-157257-307/-180+-924539--606**107637-477,True
+---+++-130/316-276864/509941*286411*-162644662-783/181/866879,+---+++-130/316-276864/509941*286411*-162644662-783/181/866879,False
+-++9586**-410-736-+*--877861898-504/994-47-713*/*-767178-586-620,+-++9586**-410-736-+*--877861898-504/994-47-713*/*-767178-586-620,True
--/-45611/-854865-----908++-/-402-916*825-283-243/-432-732452594366,--/-45611/-854865-----908++-/-402-916*825-283-243/-432-732452594366,True
+--504/-923+-/545-783****-553-49191359-522/-537681/**-757731-7-586,+--504/-923+-/545-783****-553-49191359-522/-537681/**-757731-7-586,True
++--*-*-169-617-891-629/-241-587-146-673**98--413144710+423+-195-753,++--*-*-169-617-891-629/-241-587-146-673**98--413144710+423+-195-753,True
++291*340-648-+-+-+--260849-63/917-453249-948*/610-166769/750-729,++291*340-648-+-+-+--260849-63/917-453249-948*/610-166769/750-729,True
---/-827440*133-839*-516-432++/-280-238913+502*-++395273812960643,---/-827440*133-839*-516-432++/-280-238913+502*-++395273812960643,False
--+++/-857-187749381110-945+-*-863-273174-45**//588-733544-205760,--+++/-857-187749381110-945+-*-863-273174-45**//588-733544-205760,False
+-+*274--+-158157-482805684/-418-949/791-470/*//-402698-118-607146,+-+*274--+-158157-482805684/-418-949/791-470/*//-402698-118-607146,True
---838*/-993-541947++--556/-134-342*367/-413955//107-976**-959-86-27,---838*/-993-541947++--556/-134-342*367/-413955//107-976**-959-86-27,False
+///-233121-224711/-276//21216+--645/*-389268166-+522/-921951-358,+///-233121-224711/-276//21216+--645/*-389268166-+522/-921951-358,False
+**410-*-540++-639/-704734/*-+--204-72697-540421-41248949-319626,+**410-*-540++-639/-704734/*-+--204-72697-540421-41248949-319626,True
-++***-230-436964741432/*/*741900-418-325++*502-796-246-8*-26-323,-++***-230-436964741432/*/*741900-418-325++*502-796-246-8*-26-323,False
-++--++*/-498-946-69-71**-526825-269-393-5-343/*58-555-775*-247-955,-++--++*/-498-946-69-71**-526825-269-393-5-343/*58-555-775*-247-955,False
+--++-+-347-815824662****767-42455447468762/-388997/-752*-274-35,+--++-+-347-815824662****767-42455447468762/-388997/-752*-274-35,True
----*/**/-995485++-949354/62838-578-26529887-915-221633278-345,----*/**/-995485++-949354/62838-578-26529887-915-221633278-345,True
--++-+-/**-860847732-864-802-524-992584204*555-569***-387850-275602,--++-+-/**-860847732-864-802-524-992584204*555-569***-387850-275602,False
---++135-384-525*+-607-2676307*//-913144956+/-567644789--453464,---++135-384-525*+-607-2676307*//-913144956+/-567644789--453464,False
-352++-+***-332-522+401-184-106825961/*/-790571-698-330-/851-281-88,-352++-+***-332-522+401-184-106825961/*/-790571-698-330-/851-281-88,False
+-++--33668*-233166213//614-308848-+-+-730592-997-252/-240+141-836,+-++--33668*-233166213//614-308848-+-+-730592-997-252/-240+141-836,True
+--762*/*/*-857156*658484-655-882-53*-+/-222-467*-904-936373*512894,+--762*/*/*-857156*658484-655-882-53*-+/-222-467*-904-936373*512894,False
-++-29*-86-+385-959997-672---465/**793-428-567*-542-623**961-341-815,-++-29*-86-+385-959997-672---465/**793-428-567*-542-623**961-341-815,True
--**-37326-88/--*-380100293*-89576038-/*-899-235396*-295+-214977,--**-37326-88/--*-380100293*-89576038-/*-899-235396*-295+-214977,True
+++-/+///-48196120-461*342752/**686-475-935807-496226-973857-833,+++-/+///-48196120-461*342752/**686-475-935807-496226-973857-833,False
-++-354-338-801-193--555+/127125**504757-125-//748182-522/-240957,-++-354-338-801-193--555+/127125**504757-125-//748182-522/-240957,True
+-++++-25619832-817*843215//+**563-519558-701241-596*/321-398-123,+-++++-25619832-817*843215//+**563-519558-701241-596*/321-398-123,True
++---885-+101381687/-128825/-839807**/217301-634*-+553169269-618,++---885-+101381687/-128825/-839807**/217301-634*-+553169269-618,False
+-++--864/822-478-851598**/241670-335395--*+*-492211408-687607-820,+-++--864/822-478-851598**/241670-335395--*+*-492211408-687607-820,False
++--158*-614-127//*/**-112731-590*373-563-376-546776/**347759310-919,++--158*-614-127//*/**-112731-590*373-563-376-546776/**347759310-919,True
++---287-*-911475-354*/+*-210162-143-109++538181238*-409715/199443,++---287-*-911475-354*/+*-210162-143-109++538181238*-409715/199443,False
+++//-578-+798171/807-772-317*-486477*260-934/185-699+*-54-604-136,+++//-578-+798171/807-772-317*-486477*260-934/185-699+*-54-604-136,False
+++-+-+161-938874-780/625-568620/617831/-325-*379-854--927*40-600,+++-+-+161-938874-780/625-568620/617831/-325-*379-854--927*40-600,True
----337/*484-243-629*/197-335714/**-426145-807++106*742540/798-944,----337/*484-243-629*/197-335714/**-426145-807++106*742540/798-944,False
-**-74*602-188-951---/960-167-879//*67322-456384-*66518/320-329,-**-74*602-188-951---/960-167-879//*67322-456384-*66518/320-329,True
+-+--+++-/-303-64141/543-52-666881508/*-120-329-792-139-641*389423,+-+--+++-/-303-64141/543-52-666881508/*-120-329-792-139-641*389423,True
+-+588/-+++-430/-236+-621198/*602250652*348909-766272956480329,+-+588/-+++-430/-236+-621198/*602250652*348909-766272956480329,False
--684*//104+---34518+-879-500*-305-260/-199808462-432--983-532968,--684*//104+---34518+-879-500*-305-260/-199808462-432--983-532968,True
