Original,Perturbed,Is_Equivalent
++-9587/*75-21-73,++-9587/*75-21-73,True
++*-46-92--50-9-20,++*-46-92--50-9-20,True
--+-147346*-8858,--+-147346*-8858,True
*+*/68-13235790,*+*/68-13235790,True
/++-20-1213-5-59,/++-20-1213-5-59,True
/++31-76*567-53,/++31-76*567-53,True
-*26/-5782*11-42,-*26/-5782*11-42,True
+-70--99-46/67-84,+-70--99-46/67-84,False
*/**24-99-46-25-25,*/**24-99-46-25-25,True
/-*/8262618956,/-*/8262618956,True
-/63--191/-129,-/63--191/-129,True
++75/-45-55-93-34,++75/-45-55-93-34,True
+--+-47-28492925,+--+-47-28492925,True
-+*6643-5*-3116,-+*6643-5*-3116,False
///457653*-1350,///457653*-1350,False
++/2-99-29*82-9,++/2-99-29*82-9,True
-68-+/-91-9177-88,-68-+/-91-9177-88,False
---58*33-10098-36,---58*33-10098-36,False
-*-*7528-76-181,-*-*7528-76-181,False
+/+-74/82-18-76-95,+/+-74/82-18-76-95,True
/*-76-35+-92*9525,/*-76-35+-92*9525,True
--44-79*8*-9892,--44-79*8*-9892,True
--38//70-79/-5957,--38//70-79/-5957,True
-+-90-98--97/2550,-+-90-98--97/2550,True
--8-90*43-2-95,--8-90*43-2-95,True
//*-67-60-25/-8342,//*-67-60-25/-8342,False
**-661+*0-60-1,**-661+*0-60-1,True
-+98-95---1241-76,-+98-95---1241-76,True
+/27-41/*-7715-83,+/27-41/*-7715-83,True
-+-67-/-20-239849,-+-67-/-20-239849,False
+2--47/32/-6-70,+2--47/32/-6-70,True
-++14-2-26*4433,-++14-2-26*4433,True
+**-10-2272+8955,+**-10-2272+8955,False
+38/+*34711198,+38/+*34711198,False
+-85-*-899/48-41,+-85-*-899/48-41,True
---86-5680*-8451,---86-5680*-8451,True
--*-918038*-3959,--*-918038*-3959,True
/35-70/61-7291,/35-70/61-7291,False
-+**-2285-1559-13,-+**-2285-1559-13,False
+-*4922*-5-2735,+-*4922*-5-2735,False
+*/35-44-73/-2420,+*/35-44-73/-2420,True
+--90-5++92-91-66,+--90-5++92-91-66,True
--238/*51192,--238/*51192,True
-++7*-30648368,-++7*-30648368,False
*-74*+-59*-124274,*-74*+-59*-124274,True
+/*63-516*8916,+/*63-516*8916,False
+--23*-790+-989,+--23*-790+-989,False
+*3135*/-73-6169,+*3135*/-73-6169,False
+86*+92/-33337,+86*+92/-33337,True
*--1163-96*73-5,*--1163-96*73-5,False
--+58/-80-92-92,--+58/-80-92-92,True
++19*1339/1556,++19*1339/1556,False
-/-3410/*2415-25,-/-3410/*2415-25,False
*/-42/38-9-9129,*/-42/38-9-9129,True
--+-6980/-57-75,--+-6980/-57-75,True
***/-4033-19-2169,***/-4033-19-2169,False
+/+42+1-237232,+/+42+1-237232,False
+-77-93**48-330,+-77-93**48-330,False
--/-59-31-11*1287,--/-59-31-11*1287,True
-*6512/79--8955,-*6512/79--8955,True
+-/-53111869-23,+-/-53111869-23,False
/-/-107984*2054,/-/-107984*2054,False
+-2599//-5113-28,+-2599//-5113-28,True
-61*/*-74238097,-61*/*-74238097,False
/-12**-30-72*-37-19,/-12**-30-72*-37-19,False
*//-90-90-35/52-37,*//-90-90-35/52-37,True
+--242**8-26-25,+--242**8-26-25,False
**/*8989-6462-88,**/*8989-6462-88,True
+++*29-78-239116,+++*29-78-239116,True
/*/*23-86-94-4-29,/*/*23-86-94-4-29,False
-+-9025*38-5812,-+-9025*38-5812,True
+---1745-35/9621,+---1745-35/9621,False
-**-90-65-9*-59-26,-**-90-65-9*-59-26,True
+17*//-52-96-34-88,+17*//-52-96-34-88,True
+++41-62-71*84-46,+++41-62-71*84-46,False
++92//-78-9784-46,++92//-78-9784-46,True
+90/**-7249-7846,+90/**-7249-7846,True
+*++6679-71440,+*++6679-71440,True
//*/2059237894,//*/2059237894,False
-/**-164839-79-8,-/**-164839-79-8,True
/*/*-5-23317414,/*/*-5-23317414,True
+-65*/+199-61-57,+-65*/+199-61-57,True
+--7/-64-66-3781,+--7/-64-66-3781,False
++++-29613493-1,++++-29613493-1,False
/-70*-47+58/-29-9,/-70*-47+58/-29-9,True
-26*-1---41491,-26*-1---41491,True
+/6018/74/-67-1,+/6018/74/-67-1,True
--+73*16337331,--+73*16337331,True
++45*-2994*99-75,++45*-2994*99-75,True
//36-4/*-7-2033,//36-4/*-7-2033,False
+20-**14-3839-72,+20-**14-3839-72,True
-44/--2+-22-28-65,-44/--2+-22-28-65,False
+31+/+782464-90,+31+/+782464-90,False
+-/3747-14--30-19,+-/3747-14--30-19,True
--*+-452773-54-53,--*+-452773-54-53,False
++/-57-34*-18635,++/-57-34*-18635,False
+++4873-56*27-74,+++4873-56*27-74,True
