Original,Perturbed,Is_Equivalent
0.06 0.57 0.36 + /,0.36 + 0.57 - 0.06,False
-0.53 - 0.29 + /,0.29 + 0.48 / -0.53,False
0.43 -0.22 -0.91 / /,-0.91 / -0.22 / 0.43,True
0.85 -0.04 -1.0 * /,-1.0 * -0.04 + 0.85,False
-0.8 0.73 0.06 - -,0.06 - 0.73 - -0.8,True
0.27 0.38 -0.61 * *,-0.61 * 0.38 * 0.27,True
-0.2 0.14 -0.8 * -,-0.8 + 0.14 - -0.2,False
0.78 -0.3 0.65 - -,0.65 - -0.3 - 0.78,True
0.49 -0.91 0.49 * /,0.49 * -0.91 * 0.49,False
-0.86 -0.95 0.0 + +,0.0 / -0.95 + -0.86,False
0.89 0.47 -0.16 / /,-0.16 / 0.47 / 0.89,True
-0.01 0.87 -0.85 / /,-0.85 / 0.87 / -0.01,True
0.45 -0.7 -0.08 / -,-0.08 / -0.7 - 0.45,True
0.17 -0.56 0.75 / *,0.75 / -0.56 * 0.17,True
-0.41 0.77 -0.57 * +,-0.57 * 0.77 / -0.41,False
0.85 -0.18 0.13 - +,0.13 - -0.18 + 0.85,True
* 0.06 -0.59 - *,-0.59 - 0.06 * 0.38,False
0.3 -0.94 0.98 / -,0.98 / -0.94 - 0.3,True
-0.46 -0.09 0.28 * /,0.28 * -0.09 / -0.46,True
-0.65 -0.39 -0.81 + *,-0.81 + -0.39 * -0.65,True
0.12 0.11 -0.65 + *,-0.65 / 0.11 * 0.12,False
0.06 0.93 0.81 * *,0.81 + 0.93 * 0.06,False
0.04 -0.87 0.63 / *,0.63 / -0.87 - 0.04,False
-0.91 / -0.93 + /,-0.93 + -0.09 / -0.91,False
* 0.82 -0.56 - -,-0.56 - 0.82 - -0.07,False
0.68 0.21 -0.02 * -,-0.02 * 0.21 - 0.68,True
0.42 0.94 -0.64 / *,-0.64 / 0.94 + 0.42,False
-0.84 -0.09 * - -,0.62 - -0.09 - -0.84,False
0.29 + 0.75 / *,0.75 / 0.57 * 0.29,False
-0.96 0.73 -0.33 * /,-0.33 / 0.73 / -0.96,False
0.49 -0.8 0.84 - +,0.84 - -0.8 + 0.49,True
