Original,Perturbed,Is_Equivalent
-0.38 -0.38 -0.11 -0.6 -0.66 -0.62 0.74 0.14 0.32 / * * / - / - -,-0.38 -0.38 -0.11 -0.6 -0.66 -0.62 0.74 0.14 0.32 * * * / - / - -,False
-0.16 -0.06 0.44 -0.04 * - ^ 2 / + -0.03 -0.19 0.82 * + ^ 2,-0.16 -0.06 0.44 -0.04 * - ^ 2 / + -0.03 -0.19 0.82 * + ^ 2,True
-0.71 0.99 0.44 -0.86 -0.92 -0.53 -0.18 - / + + + ^ 2 - - /,-0.71 0.99 0.44 -0.86 -0.92 -0.53 -0.18 -0.79 / + + + ^ 2 - - /,False
-0.55 0.79 0.69 -0.6 0.47 -0.62 0.28 / * + ^ 1 - * + ^ 1,-0.55 0.79 0.69 -0.6 0.47 -0.62 0.28 / * + ^ 1 - * + ^ 1,True
-0.46 0.86 0.19 -1.0 -0.5 + + - 0.18 -0.05 -0.49 * + - - ^ 1,-0.46 0.86 0.19 -1.0 -0.5 + + - 0.18 -0.05 -0.49 * + - - ^ 1,True
-0.88 0.42 0.16 0.68 -0.81 0.71 * * * / - * 0.39 + ^ 2 -0.99,-0.88 0.42 0.16 0.68 -0.81 0.71 * * * / - * 0.39 + ^ 2 -0.99,True
-0.93 -0.88 -0.44 + ^ 1 - ^ 1 - ^ 1 0.68 0.21 + ^ 2,-0.93 -0.88 -0.44 + ^ 1 - ^ 1 - ^ 1 0.68 0.21 + ^ 2,True
-0.32 -0.99 -0.25 -0.99 0.68 - - - / - -0.04 0.51 -0.88 + ^ 2 *,-0.32 -0.99 -0.25 -0.99 0.68 - - - / - -0.04 0.51 -0.88 + ^ 2 *,True
-0.87 0.66 0.2 -0.94 0.19 -0.07 -0.4 0.63 0.08 + ^ / - * - * -,-0.87 0.66 0.2 -0.94 0.19 -0.07 -0.4 0.63 0.08 + - / - * - * -,False
-0.66 0.84 * + ^ 2 0.06 -0.13 -0.02 0.38 0.8 / / * / - 2,-0.66 0.84 * + ^ 2 0.06 -0.13 -0.02 0.38 0.8 / / * / ^ 2,False
-0.13 0.94 -0.52 * * - 0.7 0.97 -0.95 0.12 / + ^ 1 / + -,-0.13 0.94 -0.52 * * - 0.7 0.97 -0.95 0.12 0.49 + ^ 1 / + -,False
* 0.15 0.13 0.99 -0.62 0.68 0.94 -0.74 0.47 + - / * / / - +,0.16 0.15 0.13 0.99 -0.62 0.68 0.94 -0.74 0.47 + - / * / / - +,False
0.18 -0.49 0.7 * + ^ 2 / -0.38 + ^ 2 -0.73 - 0.88 0.29 *,0.18 -0.49 0.7 * + ^ 2 / -0.38 + ^ 2 -0.73 - 0.88 0.29 *,True
-0.5 -0.99 -0.16 - * 0.53 -0.98 -0.08 0.16 -0.13 0.14 / * + / - *,-0.5 -0.99 -0.16 - * 0.53 -0.98 -0.08 0.16 -0.13 0.14 / * + / - *,True
-0.61 -0.36 / + ^ 2 -0.92 0.63 -0.58 0.4 - + + / -0.32 -0.88 *,-0.61 -0.36 / + ^ 2 -0.92 0.63 -0.58 0.4 - + + / -0.32 -0.88 *,True
0.37 -0.32 1.0 / / * -0.51 -0.01 + + ^ 1 / 0.94 * ^ 2,0.37 -0.32 1.0 / / * -0.51 -0.01 + + ^ 1 -0.9 0.94 * ^ 2,False
0.96 * -0.94 -0.46 -0.34 / + + * -0.47 -0.84 -0.87 -0.43 * + * /,0.96 -0.71 -0.94 -0.46 -0.34 / + + * -0.47 -0.84 -0.87 -0.43 * + * /,False
-0.26 0.88 -0.49 0.89 0.22 -0.53 0.26 -0.59 0.99 / / * / / + / -,-0.26 0.88 -0.49 0.89 0.22 -0.53 0.26 -0.59 0.99 / / * / / + / -,True
/ -0.76 -0.42 -0.83 -0.85 -0.46 * * / + ^ 2 + ^ 1 - 0.11,-0.72 -0.76 -0.42 -0.83 -0.85 -0.46 * * / + ^ 2 + ^ 1 - 0.11,False
0.01 -0.12 -0.11 0.71 * - ^ 1 + * -0.62 + -0.19 0.14 / ^ -0.5,0.01 -0.12 -0.11 0.71 * - ^ 1 + * -0.62 + -0.19 0.14 / ^ 2,False
0.76 -0.7 + ^ 1 * 0.39 -0.85 0.46 0.41 + ^ 2 - ^ 2 +,0.76 -0.7 + ^ 1 * 0.39 -0.85 0.46 0.41 + ^ 2 - ^ 2 +,True
-0.9 -0.01 + ^ -0.11 -0.35 0.72 0.55 -0.77 -0.12 * / + - / 2 +,-0.9 -0.01 + ^ -0.11 -0.35 0.72 0.55 -0.77 -0.12 * / + - / 2 +,True
-1.0 0.46 -0.73 - + + * 0.79 -0.09 + ^ 1 0.84 * - ^ 1,-1.0 0.46 -0.73 - + + * 0.79 -0.09 + ^ 1 0.84 -0.6 - ^ 1,False
-0.98 -0.46 0.85 0.17 - / + / 0.69 0.36 -0.39 -0.92 0.33 - / * *,-0.98 -0.46 0.85 0.17 - / + / 0.69 0.36 -0.39 -0.92 0.33 - / * *,True
0.65 0.93 * * 0.66 0.05 * / 0.08 0.25 - / 0.11 + 0.2 ^ 1,0.65 0.93 * * 0.66 0.05 * / 0.08 0.25 - / 0.11 * 0.2 ^ 1,False
0.29 - 0.67 0.71 -0.35 + - / -0.43 0.78 -0.93 + ^ 1 * ^ 1,0.29 - 0.67 0.71 -0.35 + - / -0.43 0.78 -0.93 + ^ 1 * ^ 1,True
0.38 0.38 -0.48 0.91 0.7 -0.06 0.36 + ^ 2 - + - * / ^ 1,0.38 0.38 -0.48 0.91 0.7 -0.06 0.36 + ^ 2 + + - * / ^ 1,False
0.03 0.64 -0.32 0.42 + -0.14 -0.2 + + * + / - * -0.89 -0.75 -,0.03 0.64 -0.32 0.42 -0.48 -0.14 -0.2 + + * + / - * -0.89 -0.75 -,False
0.31 0.25 -0.78 -0.63 0.03 -0.4 -0.03 / + ^ 1 - ^ 1 * * -,0.31 0.25 -0.78 -0.63 0.03 -0.4 -0.03 / + ^ 1 - ^ 1 * * -,True
0.53 -0.51 0.44 0.98 -0.79 0.33 -0.85 * - - * 1 + / + ^ 1,0.53 -0.51 0.44 0.98 -0.79 0.33 -0.85 * - - ^ 1 + / + ^ 1,False
+ -0.06 -0.95 -0.81 0.26 0.14 -0.98 -0.74 + ^ 2 + * * + * -,0.65 -0.06 -0.95 -0.81 0.26 0.14 -0.98 -0.74 + ^ 2 + * * + * -,False
