Original,Perturbed,Is_Equivalent
- + - -88 / / * / 41 90 -80 -55 ^ 47 2 / -8 59 42,- + - -88 / / * / 41 90 -80 -55 ^ 47 2 / -8 59 42,True
+ - - + - * -37 21 55 -21 ^ 49 2 ^ -58 1 ^ -7 2,+ - - + - * -37 21 55 -21 ^ 49 2 ^ -58 1 ^ -7 2,True
+ / * * * -16 32 -80 6 80 / / / / 7 -35 -20 -57 -70,+ / * * * -16 32 -80 6 80 / / / / 7 -35 -20 -57 66,False
/ / * / - - - -86 -12 44 * 63 ^ 31 2 -35 -25 32 78,/ / * - - - - -86 -12 44 * 63 ^ 31 2 -35 -25 32 78,False
* -59 / -69 - 97 / -39 * / / 57 86 -51 - ^ 88 1 -86,* -59 / -69 - 97 / -39 * / / 57 86 -51 - ^ 88 1 -86,True
- + + + + 70 * / -22 -98 -85 -60 + 21 2 / -55 49 -71,- + + + + 70 * / -22 -98 -85 -60 ^ 21 2 / -55 49 -71,False
- -64 ^ - + / -53 2 16 * + * 27 -58 / -45 -68 30 1,- -64 ^ - + / -53 2 16 * + * -68 -58 / -45 -68 30 1,False
/ -53 + + ^ -5 2 * 5 ^ 61 2 * 13 * 59 ^ -39 1,/ -53 + + ^ -5 2 * 5 ^ 61 2 * 13 * 59 ^ -39 1,True
- ^ + + - -32 * 38 ^ -24 1 / 94 -60 82 1 / -46 -79,- ^ + + - -32 * 38 ^ -24 1 / 94 -60 24 1 / -46 -79,False
- ^ -84 2 / + - ^ -99 2 16 * -38 -13 - 84 / -75 63,- ^ -84 2 / + - ^ -99 2 16 * -38 -13 - 84 / -75 63,True
- - + - ^ -11 2 31 / * -93 -16 ^ -92 1 ^ -75 2 82,- - + - ^ -11 2 31 / * -93 -16 ^ -92 1 ^ -75 2 82,True
+ - / -54 ^ -31 1 / -39 ^ 44 1 - + 4 ^ 52 2 -77,+ - / -54 ^ -31 1 / -39 ^ 44 1 - + 4 ^ 52 2 -77,True
+ - - + / 44 + ^ -66 1 53 -7 / -73 29 -54 ^ -16 1,+ - - + / 44 + ^ -66 1 53 -7 / -73 29 -54 ^ -16 1,True
+ + ^ -28 2 84 + + + ^ -93 2 -72 - -82 2 ^ 7 1,+ + ^ -28 2 84 + + + ^ -93 2 -72 ^ -82 2 ^ 7 1,False
+ + - + + 2 * -39 ^ -74 2 -94 / -1 76 ^ 77 1 39,+ + - + + 2 * -39 ^ -74 2 -94 / -1 76 ^ 77 1 39,True
