Original,Perturbed,Is_Equivalent
-1.92 / -3.56 -8.98 6.87 8.54 * + -,-1.92 / -3.56 -8.98 6.87 8.54 * / -,False
-7.44 9.86 7.79 4.16 * / - * -8.25,-7.44 9.86 7.79 4.16 * / - * -8.25,True
-6.95 2.93 6.93 -3.1 -0.6 - / + /,-6.95 2.93 6.93 -3.1 -0.6 - / + /,True
-2.65 - 8.03 + 9.17 -2.47 + / /,-2.65 - 8.03 9.22 9.17 -2.47 + / /,False
/ -9.24 * / 3.24 -7.36 -1.62 / /,9.55 -9.24 * / 3.24 -7.36 -1.62 / /,False
-9.31 1.23 -4.74 - * * 4.0 6.04 *,-9.31 1.23 -4.74 * * * 4.0 6.04 *,False
9.15 -8.67 2.11 6.49 -5.96 - / - *,9.15 -8.67 2.11 6.49 -5.96 - / - *,True
-6.99 9.06 2.82 - - - 3.41 + 6.86,-6.99 9.06 2.82 - - - 3.41 + 6.86,True
3.03 5.22 5.96 -7.96 -4.44 / + - /,3.03 5.22 5.96 -7.96 -4.44 / + - /,True
-6.86 6.46 2.95 - + / 2.7 0.12 +,-6.86 6.46 2.95 - + / 2.7 0.12 +,True
-8.83 + -9.01 / 4.29 -1.55 + * *,-8.83 + -9.01 / 4.29 -1.55 6.23 * *,False
-2.14 -8.49 7.74 / / * 5.42 -8.82 -,-2.14 -8.49 7.74 / / * 5.42 -8.82 /,False
7.26 5.83 2.85 8.59 - / - + -4.61,7.26 5.83 2.85 8.59 - / - + -4.61,True
2.83 -5.93 -6.39 * -8.71 - * - *,2.83 -5.93 -6.39 -3.51 -8.71 - * - *,False
-7.61 -9.05 -6.5 5.41 -5.03 * / - /,-7.61 -9.05 -6.5 5.41 -5.03 * / - /,True
* -8.5 2.72 - - * 7.14 -2.63 /,-4.04 -8.5 2.72 - - * 7.14 -2.63 /,False
0.31 - 4.85 7.2 2.84 * / + *,0.31 1.55 4.85 7.2 2.84 * / + *,False
-1.58 * -9.84 -3.6 -6.08 * / * -,-1.58 -6.56 -9.84 -3.6 -6.08 * / * -,False
4.25 -7.69 -6.51 - + 8.83 4.78 * +,4.25 -7.69 -6.51 + + 8.83 4.78 * +,False
9.74 -9.44 2.87 -9.01 / - / / 1.2,9.74 -9.44 2.87 -9.01 / - / / 1.2,True
-5.24 * 5.06 7.97 -7.72 * - + +,-5.24 5.06 5.06 7.97 -7.72 * - + +,False
-2.39 3.22 1.92 6.93 -0.98 + / - *,-2.39 3.22 1.92 6.93 -0.98 + / - /,False
-5.48 -3.2 * - * -9.39 -9.45 / -7.64,-5.48 -3.2 * - * -9.39 -9.45 / -7.64,True
-1.75 -2.85 - 7.48 9.59 -5.23 - * -,-1.75 -2.85 - 7.48 9.59 -5.23 - * -,True
-4.27 3.87 6.53 0.84 5.61 / / / +,-4.27 3.87 6.53 0.84 5.61 / / / +,True
-6.49 -2.59 6.69 -4.8 3.46 * + / *,-6.49 -2.59 6.69 -4.8 3.46 - + / *,False
7.22 - + - -1.98 -2.19 + / 7.04,7.22 -2.1 + - -1.98 -2.19 + / 7.04,False
8.54 -4.98 5.58 -9.26 -2.77 * - * *,8.54 -4.98 5.58 -9.26 -2.77 * - * *,True
-0.96 -9.17 7.11 9.0 5.97 * + + /,-0.96 -9.17 7.11 9.0 5.97 + + + /,False
-7.53 * -2.42 -4.95 2.4 - * - -8.23,-7.53 * -2.42 -4.95 2.4 - - - -8.23,False
-5.4 + -8.5 -2.48 0.94 / - + *,-5.4 -7.76 -8.5 -2.48 0.94 / - + *,False
