Formula,Result
79 9 + 73 -40 / 46 / -57 - -,31.04
64 20 / -44 + 86 51 / 30 * -,-91.39
18 -95 + 84 77 5 * 61 - * +,27139
14 -16 / -50 -29 + -66 -63 + - -,-50.88
-84 -94 -29 / 38 + -28 + - 99 -,-196.24
70 91 84 63 * 35 * / + -15 +,55.0
-18 67 -8 -32 -10 / -14 * + / +,-19.27
24 -32 - -84 6 -38 41 / + / -,72.56
12 99 * 98 -5 66 / - -59 + /,30.4
18 -65 / 94 + -30 27 -75 / / -,10.39
-55 -34 * 29 -31 -83 - 44 - - -,1849
-22 52 - 3 + 38 -75 * + 38 +,-2883
-30 15 11 * 88 24 -74 / / - -,-466.33
-87 -65 * 32 36 / + -14 -95 / -,5655.74
-48 -55 / -88 -89 * -47 * - 71 -,368033.87
38 -27 -13 / 77 * - -1 -23 * +,-98.92
65 51 -37 / 45 16 / -2 + * -,66.12
-65 -53 / -22 * 11 -20 70 + / +,-26.76
38 -47 * -50 -3 / 96 -99 - - -,-1607.67
69 29 -80 * + 62 - 14 + -28 -,-2271
-67 -67 + 61 89 - -13 65 / - -,-106.2
88 -10 75 / - -36 46 / + 77 -,10.35
36 7 * 0 - -38 -71 * 41 / -,186.2
59 -70 -1 / + 75 21 * + 48 -,1656.0
24 70 * 18 42 -22 + 36 - * -,1968
74 83 75 -56 / -3 + 85 - * -,7489.16
-58 -83 / -38 - -2 + -80 61 * -,4916.7
84 -65 * 22 / -3 - 19 -60 * +,-1385.18
-94 -27 -63 / + -85 -86 / 82 + +,-10.58
46 15 - -46 35 * 9 * + -30 +,-14489
26 34 * -84 / -33 19 * -43 * +,26950.48
