Original,Perturbed,Is_Equivalent
-73 + -54 - -51,- + -73 -54 -82,False
-54 - -62 / 58,- -54 / -62 -60,False
-12 - 85 - -30,- - -12 85 -30,True
97 * -57 * 55,* * -64 -57 55,False
68 + 42 + -73,+ + 68 42 -73,True
-87 - 40 * -85,- -87 * 40 -85,True
64 * 29 * 7,* * 64 29 7,True
8 / -31 * 58,- / 8 -31 58,False
50 * -9 * -88,* * 50 -9 -88,True
64 - 7 / -4,- 64 / 7 90,False
-21 * 24 - -96,- * -21 -86 -96,False
15 / -82 - -25,* / 15 -82 -25,False
11 * 52 + -14,+ + 11 52 -14,False
13 + -58 * 95,- + 13 -58 95,False
33 / -49 / 49,/ / 33 -49 49,True
90 * 31 + -97,+ * 62 31 -97,False
-13 + -70 * -90,+ -13 * -70 -90,True
-92 - 74 + -63,+ - -92 74 -63,True
14 + -57 + 25,+ + 14 -57 25,False
-84 + 93 / 36,+ -84 / 69 36,False
87 + 74 / 16,+ 87 / 74 16,True
-15 / -45 * 10,* / -15 -45 10,True
-91 / 47 + -73,+ / -91 47 -73,True
-69 + -69 + -8,+ * -69 -69 -8,False
99 + 74 / 37,+ 99 / 74 37,True
32 * -98 + -78,+ * 32 -98 -78,True
-21 + -95 * 37,+ 67 * -95 37,False
32 / 36 - 38,- / 32 36 38,True
-59 / 8 + -75,+ / -59 8 -75,True
42 - -38 - 16,- - -42 -38 16,False
-52 / 24 + 22,* / -52 24 22,False
