Original,Perturbed,Is_Equivalent
( -0.11 / 0.43 * -0.37 / * + -0.14 - -0.3 ),-0.3 -0.14 -0.06 -0.37 0.43 -0.11 / * / + -,False
0.25 / -0.16 * - / 0.36 / 0.41 + 0.43,0.43 0.41 0.36 0.11 -0.16 0.25 / * / / +,False
* / 0.27 - -0.42 - -0.3 * 0.27 / ( 0.42 ),0.27 -0.3 -0.42 0.27 0.35 / - - * / 0.42,False
-0.39 - 0.22 + -0.42 * 0.03 * ( -0.4 + -0.48 ),0.03 -0.42 0.22 -0.39 - + * * -0.48 -0.4 +,True
-0.43 * / / -0.19 / -0.14 + -0.04 * 0.33,0.33 -0.04 -0.14 -0.19 -0.39 -0.43 * / / + *,False
-0.27 / 0.4 / 0.34 * ( 0.2 - 0.04 * -0.49 ),0.34 0.4 -0.27 / / * -0.49 0.04 0.2 - /,False
0.2 / -0.3 * ( -0.01 + 0.33 ) * 0.44 * -0.07,-0.07 0.44 -0.3 0.2 / - * 0.33 -0.01 + *,False
( 0.07 * 0.33 - -0.1 / 0.38 + -0.1 + -0.14 ),-0.14 -0.1 0.38 -0.1 0.33 0.07 * - / + +,True
-0.07 + ( 0.41 - 0.24 ) - -0.34 / 0.38 - 0.17,0.17 0.38 -0.34 -0.07 - + 0.24 0.41 - / -,True
0.43 * 0.12 + ( 0.26 * 0.29 ) / -0.23 / 0.37,0.37 -0.23 0.12 0.43 * + / 0.29 0.26 * /,True
0.13 / 0.32 / -0.23 * - * ( -0.41 - -0.46 ),-0.13 -0.23 0.32 0.13 / / * * -0.46 -0.41 -,False
-0.31 * -0.15 / -0.38 / 0.28 / * * 0.17,0.17 -0.28 0.28 -0.38 -0.15 -0.31 * / / / *,False
-0.15 / -0.01 + -0.15 + -0.08 * 0.32 + -0.03,-0.03 0.32 -0.08 -0.15 -0.01 -0.15 / + + * +,True
0.1 + -0.35 / 0.03 + ( 0.3 - -0.22 - -0.39 ),0.03 -0.35 0.1 + / + -0.39 -0.22 0.3 - -,True
( -0.07 * 0.47 + 0.02 ) * ( -0.28 - ( -0.15 + / ) ),* 0.02 0.47 -0.07 * + -0.28 - 0.46 -0.15 +,False
-0.35 * 0.27 * 0.08 / ( 0.37 * -0.5 * 0.45 ),0.08 0.27 -0.35 * * / 0.45 -0.5 0.37 * *,True
0.44 / ( 0.15 * ( -0.15 / 0.03 - -0.06 / 0.15 ) ),0.44 / 0.15 * 0.15 -0.06 0.03 -0.15 / - /,True
( -0.4 / 0.47 / ( 0.35 * 0.31 + ( -0.32 / -0.31 ) ) ),0.47 -0.4 / / 0.31 0.35 - + -0.31 -0.32 /,False
0.14 / -0.4 + -0.15 + ( 0.5 - -0.08 + 0.08 ),-0.15 -0.4 0.14 / + + 0.08 -0.08 0.5 - +,True
0.04 * ( -0.06 / -0.32 ) * -0.02 + -0.03 * 0.03,0.03 -0.03 -0.02 0.04 * * -0.32 -0.06 / + *,True
-0.25 * -0.45 + 0.39 * -0.3 / 0.12 / /,-0.29 0.12 -0.3 0.39 -0.45 -0.25 * + * / /,False
0.25 + -0.29 / + / ( -0.13 * -0.39 ) * 0.43,0.43 -0.12 -0.29 0.25 + / * / -0.39 -0.13 *,False
0.25 / 0.33 - -0.3 * 0.18 / + - -0.48,-0.48 0.32 0.18 -0.3 0.33 0.25 / - * / -,False
-0.02 - 0.26 / ( 0.17 * 0.33 + ( -0.41 - -0.07 ) ),0.26 -0.02 - / 0.33 0.17 * + -0.07 -0.41 -,True
-0.47 / 0.33 - -0.38 / -0.41 + 0.14 + 0.08,0.08 0.14 -0.41 -0.38 0.33 -0.47 / - / + +,True
-0.41 / 0.05 - ( 0.44 / 0.16 ) - -0.46 * -0.39,-0.39 -0.46 0.05 -0.41 / - - 0.16 0.44 / *,True
-0.08 + -0.03 + 0.43 - 0.18 - 0.09 - ( 0.26 ),0.09 0.18 0.43 -0.03 -0.08 + * - - - 0.26,False
0.07 + -0.04 + 0.03 - -0.05 / 0.07 + 0.39,0.39 0.07 -0.05 0.03 -0.04 0.07 + + - / +,True
( -0.15 * -0.12 + 0.49 + ( 0.17 * ( 0.18 + ( -0.48 ) ) ) ),0.49 -0.12 -0.15 * + + 0.17 * 0.18 + -0.48,True
-0.05 * 0.35 + 0.11 + -0.25 + 0.2 - -0.1,-0.1 0.2 -0.25 0.11 0.35 -0.05 * + + + -,True
-0.49 / ( 0.48 + 0.41 + -0.17 * 0.14 - 0.28 ),-0.49 / 0.28 0.14 -0.17 0.41 0.48 + + * -,True
