Original,Perturbed,Is_Equivalent
+ 0.07 ^ 0.01 0.1,+ 0.07 - 0.01 0.1,False
/ 0.1 + - 0.04,/ 0.1 + 0.06 0.04,False
2 ^ + 0.02 0.09,2 ^ + 0.02 0.09,True
+ / 1 ^ 0.07,+ 0.02 1 ^ 0.07,False
* 0.09 0.08 * 0.06,* 0.09 0.08 * 0.06,True
/ 0.06 - 0.07 -,/ 0.06 - 0.07 0.09,False
- ^ / 0.03 0.09,- 0.06 / 0.03 0.09,False
0.05 ^ - 0.1 0.1,1 ^ - 0.1 0.1,False
2 ^ + 0.06 0.02,2 ^ + 0.06 0.02,True
* 0.07 + 0.1 0.04,* 0.07 + 0.1 0.04,True
+ 0.05 * 0.05 0.1,+ 0.05 * 0.05 0.1,True
* + * 0.02 0.01,* 0.07 * 0.02 0.01,False
/ 0.06 + 0.05 0.06,/ 0.06 + 0.05 0.06,True
- 0.07 + 0.06 0.04,- 0.07 + 0.06 0.04,True
+ 0.04 + 0.04 -,+ 0.04 + 0.04 0.07,False
+ 0.02 / 0.01 0.05,+ 0.02 / 0.01 0.05,True
* 0.09 - 0.07 0.07,* 0.09 - 0.07 0.07,True
- 0.08 0.03 * 0.04,- 0.08 0.03 - 0.04,False
* 0.09 1 ^ 0.02,* 0.09 1 ^ 0.02,True
* 0.05 * 0.1 *,* 0.05 * 0.1 0.03,False
/ 0.06 0.05 1 ^,/ 0.06 0.05 1 ^,True
+ 0.09 - 0.08 ^,+ 0.09 - 0.08 0.03,False
/ 0.08 1 ^ 0.03,/ 0.08 1 ^ 0.03,True
2 ^ + - 0.1,2 ^ + 0.09 0.1,False
- 0.01 0.1 - 0.07,- 0.01 0.1 - 0.07,True
2 ^ - 0.03 0.1,2 ^ - 0.03 0.1,True
/ 0.06 / * 0.09,/ 0.06 / 0.08 0.09,False
/ 0.08 * 0.02 0.04,+ 0.08 * 0.02 0.04,False
* 0.08 + 0.02 0.01,* 0.08 + 0.02 0.01,True
+ 0.07 / 0.05 0.06,+ 0.07 / 0.05 0.06,True
+ 0.02 - 0.06 0.08,+ 0.02 - 0.06 0.08,True
