Original,Perturbed,Is_Equivalent
* 0.43 -0.13 + -0.41,-0.41 + -0.13 0.43 *,True
+ 0.56 + -0.24 -0.19,-0.19 -0.24 0.56 + +,True
- -0.36 - + 0.38,0.38 0.5 -0.36 - -,False
* -0.71 + -0.42 -0.7,-0.7 -0.42 -0.71 * -,False
- 0.95 - 0.45 -0.27,-0.27 0.45 0.95 - -,True
- + - 0.54 0.92,0.92 0.54 -0.53 - -,False
+ -0.5 - 0.11 0.9,0.9 0.11 -0.5 + -,True
* 0.88 + 0.89 0.21,0.21 0.89 0.88 * +,True
/ -1.0 * / -0.81,-0.81 / 0.98 -1.0 /,False
/ -1.0 + -0.22 0.74,0.74 -0.22 -1.0 / +,True
/ -0.72 -0.13 + 0.31,0.31 + -0.13 -0.72 /,True
* -0.23 - + 0.01,0.01 -0.23 * + -0.36,False
+ / 0.94 * -0.41,-0.41 * 0.94 0.59 +,False
+ -0.47 - -0.43 0.85,0.85 -0.43 -0.47 - -,False
+ -0.32 * -0.06 -0.42,-0.42 -0.06 -0.32 + *,True
/ -0.15 0.79 + +,-0.25 -0.15 / + 0.79,False
* -0.33 * -0.13 0.05,0.05 -0.13 -0.33 * *,True
-0.57 * -0.21 - 0.67,0.67 - -0.21 / -0.57,False
/ -0.75 + -0.9 -0.63,-0.63 -0.9 -0.75 / +,True
- 0.21 + -0.9 -0.33,-0.33 -0.9 0.21 - /,False
- -0.37 + -0.03 -0.17,-0.17 -0.03 -0.37 - +,True
/ -0.67 / -0.34 0.57,0.57 -0.34 -0.67 / /,True
* 0.02 -0.38 + -0.89,-0.89 0.02 * + -0.38,True
- 0.61 + 0.11 -0.85,-0.85 0.11 0.61 - +,True
- + + -0.38 0.53,0.53 -0.38 -0.46 - +,False
* / -0.51 - -0.08,-0.08 -0.34 * - -0.51,False
- - 0.48 / -0.04,-0.04 / 0.48 -0.19 -,False
+ 0.45 0.37 + 0.45,0.45 0.45 + + 0.37,True
/ 0.87 * 0.8 0.96,0.96 0.8 0.87 / -,False
* 0.88 0.88 + 0.89,0.89 0.88 * + 0.88,True
* -0.36 / -0.88 0.56,0.56 -0.88 -0.36 * /,True
